"EnterKey","CowKey","EventDate","LactNumber","LactNumberEst","StockClass","FertStatus","Method","TransferID","LactStatus","DueDate","DueSire","Comment"
"1","1","1990-04-04 00:00:00","","0","HEIFER","","PRES","","","","",""
"2","2","1990-04-19 00:00:00","","0","HEIFER","","PRES","","","","",""
"3","3","1990-03-15 00:00:00","","0","HEIFER","","PRES","","","","",""
"4","4","1990-03-29 00:00:00","","0","HEIFER","","PRES","","","","",""
"5","5","1990-04-18 00:00:00","","0","HEIFER","","PRES","","","","",""
"6","6","1990-03-12 00:00:00","","0","HEIFER","","PRES","","","","",""
"7","7","1990-03-16 00:00:00","","0","HEIFER","","PRES","","","","",""
"8","8","1990-03-15 00:00:00","","0","HEIFER","","PRES","","","","",""
"9","9","1984-08-10 00:00:00","3","1","COW","","PRES","","","","",""
"10","10","1988-03-21 00:00:00","2","0","COW","","PRES","","","","",""
"11","11","1988-03-24 00:00:00","2","0","COW","","PRES","","","","",""
"12","12","1989-03-03 00:00:00","1","0","COW","","PRES","","","","",""
"13","13","1987-03-29 00:00:00","3","0","COW","","PRES","","","","",""
"14","14","1985-01-29 00:00:00","5","0","COW","","PRES","","","","",""
"15","15","1982-03-17 00:00:00","7","0","COW","","PRES","","","","",""
"16","16","1986-08-22 00:00:00","4","0","COW","","PRES","","","","",""
"17","17","1979-04-13 00:00:00","7","0","COW","","PRES","","","","",""
"18","18","1982-08-12 00:00:00","6","0","COW","","PRES","","","","",""
"19","19","1987-05-04 00:00:00","3","0","COW","","PRES","","","","",""
"20","20","1984-04-14 00:00:00","6","0","COW","","PRES","","","","",""
"21","21","1982-08-13 00:00:00","8","0","COW","","PRES","","","","",""
"22","22","1987-04-01 00:00:00","3","0","COW","","PRES","","","","",""
"23","23","1987-03-01 00:00:00","1","0","COW","","PRES","","","","",""
"24","24","1989-08-01 00:00:00","1","0","COW","","PRES","","","","",""
"25","25","1983-03-09 00:00:00","6","0","COW","","PRES","","","","",""
"26","26","1984-07-20 00:00:00","5","0","COW","","PRES","","","","",""
"27","27","1989-03-05 00:00:00","1","0","COW","","PRES","","","","",""
"28","28","1983-09-21 00:00:00","6","0","COW","","PRES","","","","",""
"29","29","1985-08-11 00:00:00","5","0","COW","","PRES","","","","",""
"30","30","1987-04-01 00:00:00","3","0","COW","","PRES","","","","",""
"31","31","1991-05-30 00:00:00","1","0","COW","","PRES","","","","",""
"32","32","1991-03-21 00:00:00","2","1","COW","","PRES","","","","",""
"33","33","1984-08-08 00:00:00","5","0","COW","","PRES","","","","",""
"34","34","1985-08-28 00:00:00","4","0","COW","","PRES","","","","",""
"35","35","1985-09-22 00:00:00","4","0","COW","","PRES","","","","",""
"36","36","1985-08-01 00:00:00","4","0","COW","","PRES","","","","",""
"37","37","1987-03-01 00:00:00","1","0","COW","","PRES","","","","",""
"38","38","1986-04-22 00:00:00","4","0","COW","","PRES","","","","",""
"39","39","1984-07-13 00:00:00","6","0","COW","","PRES","","","","",""
"40","40","1982-03-22 00:00:00","7","0","COW","","PRES","","","","",""
"41","41","1986-05-10 00:00:00","5","0","COW","","PRES","","","","",""
"42","42","1990-02-25 00:00:00","","0","HEIFER","","PRES","","","","",""
"43","43","1990-03-09 00:00:00","1","0","COW","","PRES","","","","",""
"44","44","1990-03-16 00:00:00","1","0","COW","","PRES","","","","",""
"45","45","1991-05-30 00:00:00","1","0","COW","","PRES","","","","",""
"46","46","1992-04-03 00:00:00","","0","CALF","","PRES","","DRY","","",""
"47","47","1992-04-03 00:00:00","","0","CALF","","PRES","","DRY","","",""
"48","48","1991-03-04 00:00:00","","0","HEIFER","","PRES","","DRY","","",""
"49","49","1992-03-19 00:00:00","","0","HEIFER","","PRES","","DRY","","",""
"50","50","1992-03-04 00:00:00","","0","HEIFER","","PRES","","DRY","","",""
"51","51","1991-03-31 00:00:00","","0","HEIFER","","PRES","","DRY","","",""
"52","52","1992-03-06 00:00:00","","0","HEIFER","","PRES","","DRY","","",""
"53","53","1992-03-05 00:00:00","","0","HEIFER","","PRES","","DRY","","",""
"54","54","1992-03-06 00:00:00","","0","HEIFER","","PRES","","DRY","","",""
"55","55","1992-03-08 00:00:00","","0","HEIFER","","PRES","","DRY","","",""
"56","56","1992-03-11 00:00:00","","0","HEIFER","","PRES","","DRY","","",""
"57","57","1992-03-16 00:00:00","","0","HEIFER","","PRES","","DRY","","",""
"58","58","1992-03-17 00:00:00","","0","HEIFER","","PRES","","DRY","","",""
"59","59","1992-03-23 00:00:00","","0","HEIFER","","PRES","","DRY","","",""
"60","60","1992-04-02 00:00:00","","0","HEIFER","","PRES","","DRY","","",""
"61","61","1992-04-05 00:00:00","","0","HEIFER","","PRES","","DRY","","",""
"62","62","1992-04-06 00:00:00","","0","HEIFER","","PRES","","DRY","","",""
"63","63","1992-04-14 00:00:00","","0","HEIFER","","PRES","","DRY","","",""
"64","64","1992-04-10 00:00:00","","0","HEIFER","","PRES","","DRY","","",""
"65","65","1987-03-14 00:00:00","5","0","COW","","PRES","","","","",""
"66","66","1986-03-31 00:00:00","5","0","COW","","PRES","","","","",""
"67","67","1984-03-29 00:00:00","7","0","COW","","PRES","","","","",""
"68","68","1987-03-24 00:00:00","4","0","COW","","PRES","","","","",""
"69","69","1987-04-01 00:00:00","4","0","COW","","PRES","","","","",""
"70","70","1986-08-11 00:00:00","5","0","COW","","PRES","","","","",""
"71","71","1987-04-01 00:00:00","5","0","COW","","PRES","","","","",""
"72","72","1988-03-29 00:00:00","3","0","COW","","PRES","","","","",""
"73","73","1987-05-06 00:00:00","4","0","COW","","PRES","","","","",""
"74","74","1988-03-29 00:00:00","4","0","COW","","PRES","","","","",""
"75","75","1985-04-08 00:00:00","6","0","COW","","PRES","","","","",""
"76","76","1990-04-16 00:00:00","1","0","COW","","PRES","","","","",""
"77","77","1987-04-01 00:00:00","4","0","COW","","PRES","","","","",""
"78","78","1984-04-21 00:00:00","7","0","COW","","PRES","","","","",""
"79","79","1985-04-27 00:00:00","6","0","COW","","PRES","","","","",""
"80","80","1987-04-01 00:00:00","4","0","COW","","PRES","","","","",""
"81","81","1981-04-11 00:00:00","9","0","COW","","PRES","","","","",""
"82","82","1985-08-05 00:00:00","5","0","COW","","PRES","","","","",""
"83","83","1988-04-27 00:00:00","4","0","COW","","PRES","","","","",""
"84","84","1984-08-01 00:00:00","6","0","COW","","PRES","","","","",""
"85","85","1983-04-08 00:00:00","7","0","COW","","PRES","","","","",""
"86","86","1984-07-25 00:00:00","6","0","COW","","PRES","","","","",""
"87","87","1989-03-07 00:00:00","1","0","COW","","PRES","","","","",""
"88","88","1989-03-17 00:00:00","2","0","COW","","PRES","","","","",""
"89","89","1985-08-20 00:00:00","6","0","COW","","PRES","","","","",""
"90","90","1990-03-25 00:00:00","1","0","COW","","PRES","","","","",""
"91","91","1982-08-16 00:00:00","7","0","COW","","PRES","","","","",""
"92","92","1990-03-12 00:00:00","1","0","COW","","PRES","","","","",""
"93","93","1983-10-01 00:00:00","7","0","COW","","PRES","","","","",""
"94","94","1984-08-15 00:00:00","7","0","COW","","PRES","","","","",""
"95","95","1983-10-01 00:00:00","7","0","COW","","PRES","","","","",""
"96","96","1981-03-17 00:00:00","9","0","COW","","PRES","","","","",""
"97","97","1986-04-14 00:00:00","5","0","COW","","PRES","","","","",""
"98","98","1984-07-23 00:00:00","7","0","COW","","PRES","","","","",""
"99","99","1984-07-23 00:00:00","6","0","COW","","PRES","","","","",""
"100","100","1984-07-18 00:00:00","6","0","COW","","PRES","","","","",""
"101","101","1989-03-22 00:00:00","3","0","COW","","PRES","","","","",""
"102","102","1983-09-21 00:00:00","8","0","COW","","PRES","","","","",""
"103","103","1987-05-03 00:00:00","5","0","COW","","PRES","","","","",""
"104","104","1982-07-27 00:00:00","8","0","COW","","PRES","","","","",""
"105","105","1988-04-01 00:00:00","4","0","COW","","PRES","","","","",""
"106","106","1982-08-01 00:00:00","6","0","COW","","PRES","","","","",""
"107","107","1987-04-01 00:00:00","5","0","COW","","PRES","","","","",""
"108","108","1989-03-06 00:00:00","3","0","COW","","PRES","","","","",""
"109","109","1980-08-22 00:00:00","8","0","COW","","PRES","","","","",""
"110","110","1990-03-04 00:00:00","2","0","COW","","PRES","","","","",""
"111","111","1988-04-22 00:00:00","5","0","COW","","PRES","","","","",""
"112","112","1990-03-09 00:00:00","2","0","COW","","PRES","","","","",""
