CalvKey,CowKey,calvDate,calvType,assist,estimated,comment,VF,ObservedFM,AbortionCause,CalvingEase
1,9,31/03/92,NORMAL,,0,,,,,
2,10,19/04/91,INDUCE,,0,,,,,
3,11,24/03/91,NORMAL,,0,,,,,
4,12,28/02/91,NORMAL,,0,,,,,
5,13,6/03/91,NORMAL,,0,,,,,
6,14,20/03/91,NORMAL,,0,,,,,
7,15,19/03/91,NORMAL,,0,,,,,
8,16,14/03/92,NORMAL,,0,,,,,
9,16,5/04/91,NORMAL,,0,,,,,
10,17,22/04/91,INDUCE,,0,,,,,
11,18,24/04/91,NORMAL,,0,,,,,
12,19,24/04/91,NORMAL,,0,,,,,
13,20,25/04/91,NORMAL,,0,,,,,
14,21,20/04/92,NORMAL,,0,,,,,
15,22,4/05/91,NORMAL,,0,,,,,
16,23,30/05/91,NORMAL,,0,,,,,
17,24,26/05/91,NORMAL,,0,,,,,
18,25,11/01/91,ABORT,,0,,,,,
19,26,5/03/91,NORMAL,,0,,,,,
20,27,2/03/91,NORMAL,,0,,,,,
21,28,30/03/91,NORMAL,,0,,,,,
22,29,9/03/92,NORMAL,,0,,,,,
23,29,4/03/91,NORMAL,,0,,,,,
24,30,28/03/91,NORMAL,,0,,,,,
25,31,30/05/91,NORMAL,,0,,,,,
26,32,21/03/91,NORMAL,,0,,,,,
27,33,20/03/91,NORMAL,,0,,,,,
28,34,17/03/91,INDUCE,,0,,,,,
29,35,29/04/91,NORMAL,,0,,,,,
30,36,1/05/91,NORMAL,,0,,,,,
31,37,30/05/91,INDUCE,,0,,,,,
32,38,8/04/91,NORMAL,,0,,,,,
33,39,15/04/92,NORMAL,,0,,,,,
34,40,8/05/91,NORMAL,,0,,,,,
35,41,25/03/92,NORMAL,,0,,,,,
36,43,30/09/91,NORMAL,,0,,,,,
37,44,1/10/91,NORMAL,,0,,,,,
38,45,30/05/91,NORMAL,,0,,,,,
39,65,27/03/93,NORMAL,,0,,,,,
40,65,30/04/92,NORMAL,,0,,,,,
41,65,20/03/91,INDUCE,,0,,,,,
42,66,23/03/92,NORMAL,,0,,,,,
43,66,22/03/91,NORMAL,,0,,,,,
44,67,18/04/93,NORMAL,,0,,,,,
45,67,5/05/92,NORMAL,,0,,,,,
46,67,9/03/91,NORMAL,,0,,,,,
47,68,12/05/92,NORMAL,,0,,,,,
48,68,21/03/91,NORMAL,,0,,,,,
49,69,24/03/92,NORMAL,,0,,,,,
50,69,20/03/91,INDUCE,,0,,,,,
51,70,25/03/93,NORMAL,,0,,,,,
52,70,17/03/92,NORMAL,,0,,,,,
53,70,13/03/91,NORMAL,,0,,,,,
54,71,7/04/93,INDUCE,,0,,,,,
55,71,8/03/92,NORMAL,,0,,,,,
56,71,10/03/91,NORMAL,,0,,,,,
57,72,6/03/92,NORMAL,,0,,,,,
58,72,5/03/91,NORMAL,,0,,,,,
59,73,16/03/92,NORMAL,,0,,,,,
60,73,28/04/91,NORMAL,,0,,,,,
61,74,17/04/93,NORMAL,,0,,,,,
62,74,18/03/92,NORMAL,,0,,,,,
63,74,28/03/91,NORMAL,,0,,,,,
64,75,11/03/92,NORMAL,,0,,,,,
65,75,19/03/91,NORMAL,,0,,,,,
66,76,4/03/92,NORMAL,,0,,,,,
67,77,22/03/92,NORMAL,,0,,,,,
68,77,9/04/91,NORMAL,,0,,,,,
69,78,7/04/92,NORMAL,,0,,,,,
70,78,30/04/91,NORMAL,,0,,,,,
71,79,25/03/92,INDUCE,,0,,,,,
72,79,11/03/91,NORMAL,,0,,,,,
73,80,15/04/92,NORMAL,,0,,,,,
74,80,25/03/91,NORMAL,,0,,,,,
75,81,7/04/93,INDUCE,,0,,,,,
76,81,17/03/92,INDUCE,,0,,,,,
77,81,20/03/91,INDUCE,,0,,,,,
78,82,24/03/92,INDUCE,,0,,,,,
79,82,19/04/91,INDUCE,,0,,,,,
80,83,7/04/93,INDUCE,,0,,,,,
81,83,25/03/92,NORMAL,,0,,,,,
82,83,20/03/91,INDUCE,,0,,,,,
83,84,3/04/92,NORMAL,,0,,,,,
84,84,30/03/91,NORMAL,,0,,,,,
85,85,14/03/92,NORMAL,,0,,,,,
86,85,9/03/91,NORMAL,,0,,,,,
87,86,19/04/92,NORMAL,,0,,,,,
88,86,20/03/91,INDUCE,,0,,,,,
89,87,10/03/91,NORMAL,,0,,,,,
90,88,8/05/92,NORMAL,,0,,,,,
91,88,28/02/91,NORMAL,,0,,,,,
92,89,10/04/93,NORMAL,,0,,,,,
93,89,23/03/92,NORMAL,,0,,,,,
94,89,18/04/91,INDUCE,,0,,,,,
95,90,14/03/92,NORMAL,,0,,,,,
96,91,22/03/92,NORMAL,,0,,,,,
97,91,27/03/91,NORMAL,,0,,,,,
98,92,2/05/92,NORMAL,,0,,,,,
99,93,13/04/92,NORMAL,,0,,,,,
100,93,11/03/91,NORMAL,,0,,,,,
101,94,3/04/93,NORMAL,,0,,,,,
102,94,25/04/92,NORMAL,,0,,,,,
103,94,22/03/91,NORMAL,,0,,,,,
104,95,19/03/92,NORMAL,,0,,,,,
105,95,8/03/91,NORMAL,,0,,,,,
106,96,7/04/93,INDUCE,,0,,,,,
107,96,16/04/92,NORMAL,,0,,,,,
108,96,10/04/91,NORMAL,,0,,,,,
109,97,20/03/92,NORMAL,,0,,,,,
110,97,15/03/91,NORMAL,,0,,,,,
111,98,25/04/93,NORMAL,,0,,,,,
112,98,16/03/92,NORMAL,,0,,,,,
113,98,5/04/91,NORMAL,,0,,,,,
114,99,28/02/92,NORMAL,,0,,,,,
115,99,14/03/91,NORMAL,,0,,,,,
116,100,9/03/92,NORMAL,,0,,,,,
117,100,18/03/91,NORMAL,,0,,,,,
