"short","long","catInCodeGroups","Notes","SuperCat","Country","inMin"
"ABORTN","Abortion Reasons","0","","","",""
"ABRED","Abnormal Repro Diag","0","","","",""
"AGEGP","Age Group","0","","","",""
"AGEGPD","Age Group Detailed","0","","","",""
"ALLCATS","All Categories","0","","R","",""
"ARDL","AR Download Settings","0","","","",""
"ASSIST","Calving Assistance","0","Added 210498 JWL","","",""
"BOUGHT","Bought Lact Status","0","","","",""
"CBDE","Batch Data Entry","0","","","",""
"CLFFTE","Calf Fate","0","","","",""
"CLFSEX","Calf Sex","0","","","",""
"CLVSPREAD","Calving spread anal","0","","","",""
"CLVTYP","Calving Type","0","","","",""
"CODEOP","Codebook Operations","0","","","",""
"COWDE","Data Entry Events","0","","","",""
"COWDEMIN","Data Entry Events","0","","","","Y"
"COWTYP","Cow Type","0","","","",""
"CULLIN","Cull Guide Options","0","","","",""
"CUSTOM","Custom Items","0","","","",""
"DAILAV","Daily Average","0","The list of variables to use.","","",""
"DAYMON","Day or Month","0","","","",""
"DCALV","Calving Diseases","1","","D","",""
"DISEASES","All Disease Cats","0","","R","",""
"DLAME","Lameness Diseases","1","","D","",""
"DMAST","Mastitis Diseases","1","","D","",""
"DMETAB","Metabolic Diseases","1","","D","",""
"DMISC","Misc. Diseases","1","","D","",""
"DORWK","Day or Week","0","","","",""
"DREPRO","Reproductive Disease","1","","D","",""
"DRYOFFREASON","Drying off reason","1","210498 JWL","","",""
"FATE","Fate","0","","","",""
"FERTST","Fertility Status","0","","","",""
"GPHCPX","Cow Prd Gph X Axis","0","","","",""
"GPHCPY","Cow Prd Gph Y Axis","0","","","",""
"GPHHPY","Herd Prd Gph Y Axis","0","","","",""
"GROUP","Select Cows Group","0","","","",""
"GROUPMIN","Select Cows Group","0","","","","Y"
"HEAT","Reason For Heat","0","","","",""
"HEATC","Heart Certainty","0","","","AUS",""
"HEATD","Heat Detection","0","","","AUS",""
"HLPREG","How Long Preg","0","","","",""
"INCALF","In Calf Analyses","0","","","",""
"LACTST","Lactation Status","0","","","",""
"LEGORQ","Leg Or Quarter","0","","","",""
"MALEDE","Data Entry (males)","0","","","",""
"MANAGE","Mangement Events","1","","","",""
"MBDE","Male Batch D.E.","0","","","",""
"NRRPREG","NRR / Preg analyses","0","","","",""
"NUMBER","Numeric Strings","0","","","",""
"PD1","Preg Diagnosis","0","","","",""
"PD2","Preg Diag (A.S.)","0","","","",""
"PLSPER","PLS_Period","0","","","",""
"PREMATE","Premating Heat Anal","0","","","",""
"REDIAG","Repro Exam Diagnosis","1","","","",""
"REMREA","Removal Reason","1","","","",""
"REMTYP","Removal Report Type","0","","","",""
"REREAS","Repro Exam Reason","1","","","",""
"RETINT","Return Interval Anal","0","","","",""
"RLACTS","Lacts for Reports","0","","","",""
"RPT SR","Sub Rate Report Type","0","","","",""
"RPTCPC","Cow Prd Cell Rpts","0","","","",""
"RPTCPG","Cow Prd Graphs","0","","","",""
"RPTCPL","cow Prd Lact Rpts","0","","","",""
"RPTCPM","Cow Prd Mult Rpts","0","","","",""
"RPTCPS","Cow Prd Single Rpts","0","","","",""
"SAMPLE","Sample Type","1","","","",""
"SCLASS","Stock Class","0","For Cow Stuff","","",""
"SEMENSTORE","Semen Storage","0","","","AUS",""
"SEMENTYPE","Semen Type","0","","","AUS",""
"SERVIC","Service Types","0","","","",""
"SORNS","Seasonal or not","0","","","",""
"SPLITSTRAW","Split Straw","0","","","",""
"STKTYP","Stock Type","0","For Herd Stuff","","",""
"T_ANTB","Antibiotic","1","","T","",""
"T_ANTP","AntiParasitic","1","","T","",""
"T_CLVI","Calv Induction","1","","T","",""
"T_DCT","Dry Cow Therapy","1","","T","",""
"T_HORM","Hormones","1","","T","",""
"T_INTR","Intramammary","1","","T","",""
"T_META","Metabolic","1","","T","",""
"T_MISC","Misc Treatment","1","","T","",""
"TESTPER","Test Performed","0","","","",""
"TPROC","Procedure","1","","T","",""
"TREATMENTS","All Treatment Cats","0","","R","",""
"TSAMPL","Sample Type","0","","","",""
"TTRACE","Trace Elements","1","","T","",""
"TVACCI","Vaccinations","1","","T","",""
"VETORF","Vet or Farmer","0","","","",""
"VETRPT","Vet Visit Report","0","","","",""
"VETSHT","Vet Visit Sheet","0","","","",""
"VRREAS","Vet Request Reason","0","","","",""
"WCANAL","Weight / CS analyses","0","","","",""
"WCGPHX","Wt/CS graph X axis","0","","","",""
"WCGPHY","Wt/CS graph Y axis","0","","","",""
"WCSORT","Wt/CS anal sort","0","","","",""
"WGPHX","Wt graph X axis","0","","","",""
"WGPHY","Wt graph Y axis","0","","","",""
"WORKERS","Workers","0","","","AUS",""
"BIOMETHOD","Animal Detail Create","0","","","",""
"ACTIONTAKEN","Discrepancy Actions","0","","","",""
