CowKey,Herd,CowExternalKey,LifetimeID,PedigreeNumber,ElectronicID,RemovalDate,BirthDate,BoughtDate,ToCullDate,LactationNumber,LactNumberEst,BW,BWReliability,Name,Breed,Sire,Dam,DamExternalKey,comment,InitialLactationStatus,InitialDueSire,InitialDueDate,RemovalFate,RemovalReason1,RemovalReason2,RemovalReason3,RemovalComment,StockClass,ABVFat,ABVProtein,ABVMilk,TransferID,PW,CowNumber,PWRel,ExpCalfPW,ExpCalfPWRel
1,Sep-99,,ABCD-90-58,,,22/10/91,4/04/90,,,,0,,,,F     ,83274,81101,,,,,,SOLD,FTC,,,,HEIFER,,,,,,9058,,,
2,Sep-99,,ABCD-90-69,,,22/10/91,19/04/90,,,,0,,,,F12   ,83256,8791,,,,,,SOLD,FTC,,,,HEIFER,,,,,,9069,,,
3,Sep-99,,ABCD-90-32,,,25/09/91,15/03/90,,,,0,,,,F     ,84223,866,,,,,,SOLD,,,,,HEIFER,,,,,,9032,,,
4,Sep-99,,ABCD-90-53,,,22/10/91,29/03/90,,,,0,,,,F     ,83284,872,,,,,,SOLD,FTC,,,,HEIFER,,,,,,9053,,,
5,Sep-99,,ABCD-90-68,,,22/10/91,18/04/90,,,,0,,,,F     ,84284,8558,,,,,,SOLD,FTC,,,,HEIFER,,,,,,9068,,,
6,Sep-99,,ABCD-90-23,,,22/10/91,12/03/90,,,,0,,,,F     ,83202,8714,,,,,,SOLD,FTC,,,,HEIFER,,,,,,9023,,,
7,Sep-99,,ABCD-90-35,,,22/10/91,16/03/90,,,,0,,,,F     ,83274,8547,,,,,,SOLD,FTC,,,,HEIFER,,,,,,9035,,,
8,Sep-99,,ABCD-90-33,,,25/09/91,15/03/90,,,,0,,,,F12   ,84264,8542,,,,,,SOLD,,,,,HEIFER,,,,,,9033,,,
9,Sep-99,,ABCD-84-82,,,23/08/92,10/08/84,,,3,1,,,PURPLE - 92,F     ,76219,,,,,,,DIED,UNKNWN,,,,COW,,,,,,10,,,
10,Sep-99,6740973,ABCD-88-5,,,17/02/92,21/03/88,,,2,0,,,BLUE - 5,F     ,78229,9/9999/DAISY,,,,,,CULLED,FTC,,,,COW,,,,,,11,,,
