"diseaseKey","cowKey","disDate","disType","VF","Reason","Quarter","Comment"
"1","36","1992-02-04 00:00:00","DMAST","FARMER","MAST","",""
"2","39","1992-04-18 00:00:00","DMISC","","FOGFEV","","(Suspected)"
"3","41","1992-03-31 00:00:00","DLAME","FARMER","LAME","FLEFT",""
"4","65","1992-06-22 00:00:00","DLAME","FARMER","LAME","FRIGHT","opened/cleaned"
"5","65","1992-12-23 00:00:00","DLAME","FARMER","LAME","BRIGHT",""
"6","67","1992-11-03 00:00:00","DMAST","FARMER","MAST","BLEFT",""
"7","69","1992-03-24 00:00:00","DMAST","FARMER","MAST","BLEFT",""
"8","70","1992-04-22 00:00:00","DLAME","FARMER","LAME","BRIGHT","Tendon injury"
"9","70","1992-06-22 00:00:00","DLAME","FARMER","LAME","BRIGHT","opened/cleaned"
"10","72","1992-03-11 00:00:00","DMAST","","MAST","BRIGHT",""
"11","72","1992-08-19 00:00:00","DLAME","FARMER","LAME","BLEFT",""
"12","73","1992-02-04 00:00:00","DMAST","FARMER","MAST","",""
"13","74","1993-05-07 00:00:00","DLAME","FARMER","LAME","BRIGHT","opened/cleaned"
"14","74","1992-08-15 00:00:00","DLAME","FARMER","LAME","BRIGHT","opened/cleaned"
"15","75","1992-05-11 00:00:00","DLAME","FARMER","LAME","FRIGHT","cleaned/opened"
"16","76","1992-05-04 00:00:00","DMISC","FARMER","MALCAT","",""
"17","77","1992-07-21 00:00:00","DLAME","FARMER","LAME","BLEFT","opened/cleaned"
"18","78","1992-07-13 00:00:00","DLAME","FARMER","LAME","FRIGHT",""
"19","79","1992-10-20 00:00:00","DLAME","FARMER","FTROT","BRIGHT",""
"20","79","1992-11-04 00:00:00","DLAME","FARMER","LAME","FRIGHT",""
"21","80","1992-06-15 00:00:00","DLAME","FARMER","LAME","FRIGHT","opened/cleaned"
"22","83","1992-06-26 00:00:00","DMAST","FARMER","MAST","BRIGHT","opened/cleaned"
"23","83","1992-08-15 00:00:00","DMAST","FARMER","MAST","BLEFT",""
"24","84","1992-05-11 00:00:00","DLAME","FARMER","LAME","BLEFT","opened/cleaned"
"25","84","1992-06-30 00:00:00","DLAME","FARMER","LAME","BRIGHT","opened/cleaned"
"26","84","1992-12-09 00:00:00","DMAST","FARMER","MAST","BLEFT",""
"27","85","1992-03-15 00:00:00","DMETAB","FARMER","MLKFEV","",""
"28","85","1992-03-19 00:00:00","DLAME","FARMER","LAME","BRIGHT",""
"29","85","1992-06-28 00:00:00","DLAME","FARMER","LAME","BLEFT","opened/cleaned"
"30","85","1992-08-12 00:00:00","DLAME","FARMER","LAME","BLEFT","opened/cleaned"
"31","86","1992-09-25 00:00:00","DLAME","FARMER","LAME","BLEFT",""
"32","89","1992-08-11 00:00:00","DLAME","FARMER","LAME","BLEFT","cleaned/clear"
"33","89","1992-08-14 00:00:00","DLAME","FARMER","LAME","BLEFT",""
"34","91","1992-03-28 00:00:00","DMAST","FARMER","MAST","BRIGHT",""
"35","91","1992-08-03 00:00:00","DLAME","FARMER","LAME","BRIGHT","opened/cleaned"
"36","93","1992-06-23 00:00:00","DMAST","FARMER","MAST","FLEFT",""
"37","93","1992-08-19 00:00:00","DMAST","FARMER","MAST","BLEFT",""
"38","93","1992-09-10 00:00:00","DLAME","FARMER","LAME","BRIGHT","opened/cleaned"
"39","93","1991-12-13 00:00:00","DLAME","FARMER","LAME","BRIGHT",""
"40","95","1992-03-19 00:00:00","DMETAB","FARMER","MLKFEV","",""
"41","95","1992-08-10 00:00:00","DLAME","FARMER","LAME","BRIGHT","opened/cleaned"
"42","95","1992-08-12 00:00:00","DLAME","FARMER","LAME","BRIGHT",""
"43","96","1993-04-08 00:00:00","DMAST","FARMER","MAST","FLEFT",""
"44","96","1993-04-09 00:00:00","DMETAB","FARMER","MLKFEV","",""
"45","96","1992-02-04 00:00:00","DMAST","FARMER","MAST","FRIGHT",""
"46","97","1992-08-07 00:00:00","DLAME","FARMER","LAME","BRIGHT",""
"47","99","1992-02-04 00:00:00","DMAST","FARMER","MAST","FLEFT",""
"48","100","1992-08-17 00:00:00","DLAME","FARMER","LAME","FLEFT",""
"49","100","1992-09-21 00:00:00","DLAME","FARMER","LAME","BRIGHT","opened/cleaned"
"50","100","1992-12-23 00:00:00","DLAME","FARMER","LAME","BRIGHT","opened/cleaned"
"51","100","1992-03-04 00:00:00","DLAME","FARMER","LAME","BRIGHT","20ml Mylipen"
"52","101","1993-09-23 00:00:00","DMAST","FARMER","MAST","BLEFT",""
"53","101","1993-09-25 00:00:00","DMAST","FARMER","MAST","BLEFT",""
"54","101","1992-08-11 00:00:00","DLAME","FARMER","LAME","BRIGHT","opned/cleaned"
"55","102","1993-04-08 00:00:00","DREPRO","FARMER","RETMEM","",""
"56","103","1992-03-11 00:00:00","DREPRO","FARMER","RETMEM","",""
"57","104","1993-04-26 00:00:00","DLAME","FARMER","LAME","BRIGHT",""
"58","104","1993-06-07 00:00:00","DMAST","FARMER","MAST","FLEFT",""
"59","104","1992-05-11 00:00:00","DMETAB","FARMER","MLKFEV","",""
"60","104","1992-08-12 00:00:00","DLAME","FARMER","LAME","BLEFT","opened/cleaned"
"61","104","1992-08-23 00:00:00","DLAME","FARMER","LAME","BRIGHT",""
