"doKey","cowKey","doDate","comment","reason"
"1","10","1992-01-27 00:00:00","",""
"2","11","1992-01-27 00:00:00","",""
"3","12","1992-01-27 00:00:00","",""
"4","13","1992-01-27 00:00:00","",""
"5","14","1992-01-27 00:00:00","",""
"6","15","1992-01-27 00:00:00","",""
"7","16","1992-01-27 00:00:00","",""
"8","17","1992-01-27 00:00:00","",""
"9","18","1992-01-27 00:00:00","",""
"10","19","1992-01-27 00:00:00","",""
"11","20","1992-01-27 00:00:00","",""
"12","22","1992-01-27 00:00:00","",""
"13","23","1992-01-27 00:00:00","",""
"14","24","1992-01-27 00:00:00","",""
"15","25","1992-01-27 00:00:00","",""
"16","26","1992-01-27 00:00:00","",""
"17","27","1992-01-27 00:00:00","",""
"18","28","1992-01-27 00:00:00","",""
"19","29","1992-01-17 00:00:00","",""
"20","30","1992-01-27 00:00:00","",""
"21","31","1992-01-27 00:00:00","",""
"22","32","1992-01-27 00:00:00","",""
"23","33","1992-01-27 00:00:00","",""
"24","34","1992-01-27 00:00:00","",""
"25","35","1992-01-27 00:00:00","",""
"26","36","1992-01-27 00:00:00","",""
"27","37","1992-01-27 00:00:00","",""
"28","38","1992-01-27 00:00:00","",""
"29","40","1992-01-27 00:00:00","",""
"30","43","1992-01-27 00:00:00","",""
"31","44","1992-01-27 00:00:00","",""
"32","65","1993-01-15 00:00:00","",""
"33","65","1992-01-17 00:00:00","",""
"34","65","1991-01-17 00:00:00","",""
"35","66","1993-02-05 00:00:00","",""
"36","66","1992-01-27 00:00:00","",""
"37","67","1993-02-05 00:00:00","",""
"38","67","1992-01-27 00:00:00","",""
"39","68","1993-02-05 00:00:00","",""
"40","68","1992-01-27 00:00:00","",""
"41","69","1993-02-05 00:00:00","",""
"42","69","1992-01-27 00:00:00","",""
"43","70","1993-01-15 00:00:00","",""
"44","70","1992-01-17 00:00:00","",""
"45","71","1992-09-09 00:00:00","",""
"46","71","1992-01-17 00:00:00","",""
"47","72","1993-02-05 00:00:00","",""
"48","72","1992-01-17 00:00:00","",""
"49","73","1993-02-05 00:00:00","",""
"50","73","1992-01-17 00:00:00","",""
"51","74","1993-01-15 00:00:00","",""
"52","74","1992-01-27 00:00:00","",""
"53","75","1992-11-04 00:00:00","",""
"54","75","1992-01-17 00:00:00","",""
"55","76","1992-12-04 00:00:00","",""
"56","77","1992-01-27 00:00:00","",""
"57","78","1993-02-05 00:00:00","",""
"58","78","1992-01-27 00:00:00","",""
"59","79","1993-02-05 00:00:00","",""
"60","79","1992-01-27 00:00:00","",""
"61","80","1992-01-27 00:00:00","",""
"62","81","1993-02-05 00:00:00","",""
"63","81","1992-01-27 00:00:00","",""
"64","82","1992-01-27 00:00:00","",""
"65","83","1993-02-05 00:00:00","",""
"66","83","1992-01-27 00:00:00","",""
"67","84","1992-12-23 00:00:00","",""
"68","84","1992-01-27 00:00:00","",""
"69","85","1993-02-05 00:00:00","",""
"70","85","1992-01-27 00:00:00","",""
"71","86","1993-02-05 00:00:00","",""
"72","86","1992-01-27 00:00:00","",""
"73","87","1992-01-27 00:00:00","",""
"74","88","1993-02-05 00:00:00","",""
"75","88","1992-01-27 00:00:00","",""
"76","89","1993-02-05 00:00:00","",""
"77","89","1992-01-27 00:00:00","",""
"78","90","1993-02-05 00:00:00","",""
"79","91","1993-02-05 00:00:00","",""
"80","91","1992-01-27 00:00:00","",""
"81","92","1993-02-05 00:00:00","",""
"82","93","1993-01-15 00:00:00","",""
"83","93","1992-01-27 00:00:00","",""
"84","94","1993-01-15 00:00:00","",""
"85","94","1992-01-17 00:00:00","",""
"86","95","1993-02-05 00:00:00","",""
"87","95","1992-01-27 00:00:00","",""
"88","96","1993-02-05 00:00:00","",""
"89","96","1992-01-27 00:00:00","",""
"90","97","1993-02-05 00:00:00","",""
"91","97","1992-01-27 00:00:00","",""
"92","98","1993-02-05 00:00:00","",""
"93","98","1992-01-27 00:00:00","",""
"94","99","1993-01-15 00:00:00","",""
"95","99","1992-01-17 00:00:00","",""
"96","100","1993-02-05 00:00:00","",""
"97","100","1992-01-17 00:00:00","",""
"98","101","1994-01-14 00:00:00","",""
"99","101","1993-02-05 00:00:00","",""
"100","101","1992-01-17 00:00:00","",""
"101","102","1993-05-05 00:00:00","",""
"102","102","1993-02-05 00:00:00","",""
"103","102","1992-01-27 00:00:00","",""
"104","103","1994-01-14 00:00:00","",""
"105","103","1993-02-05 00:00:00","",""
"106","103","1992-01-17 00:00:00","",""
"107","104","1993-06-11 00:00:00","",""
"108","104","1993-01-15 00:00:00","",""
"109","104","1992-01-17 00:00:00","",""
"110","105","1994-01-14 00:00:00","",""
"111","105","1993-02-05 00:00:00","",""
"112","105","1992-01-27 00:00:00","",""
"113","106","1993-05-05 00:00:00","",""
"114","106","1993-01-15 00:00:00","",""
"115","106","1992-01-17 00:00:00","",""
"116","107","1994-01-14 00:00:00","",""
"117","107","1993-02-05 00:00:00","",""
"118","107","1992-01-27 00:00:00","",""
"119","108","1994-01-14 00:00:00","",""
"120","108","1993-02-05 00:00:00","",""
"121","108","1992-01-27 00:00:00","",""
"122","109","1994-01-14 00:00:00","",""
"123","109","1993-02-05 00:00:00","",""
"124","109","1992-01-27 00:00:00","",""
"125","110","1994-01-14 00:00:00","",""
"126","111","1994-01-14 00:00:00","",""
"127","111","1993-01-15 00:00:00","",""
"128","111","1992-01-27 00:00:00","",""
"129","112","1994-01-14 00:00:00","",""
"130","112","1993-01-15 00:00:00","",""
"131","113","1993-05-05 00:00:00","",""
"132","113","1992-09-09 00:00:00","",""
"133","113","1992-01-17 00:00:00","",""
"134","114","1994-01-14 00:00:00","",""
"135","114","1993-02-05 00:00:00","",""
"136","114","1992-01-27 00:00:00","",""
"137","115","1994-01-14 00:00:00","",""
"138","115","1993-01-15 00:00:00","",""
"139","115","1992-01-27 00:00:00","",""
"140","116","1994-01-14 00:00:00","",""
"141","116","1993-02-05 00:00:00","",""
"142","116","1992-01-27 00:00:00","",""
"143","117","1994-01-14 00:00:00","",""
"144","117","1993-01-15 00:00:00","",""
"145","118","1993-05-05 00:00:00","",""
"146","118","1993-02-05 00:00:00","",""
"147","119","1994-01-14 00:00:00","",""
"148","119","1993-01-15 00:00:00","",""
"149","119","1992-01-27 00:00:00","",""
"150","120","1994-01-14 00:00:00","",""
"151","120","1993-02-05 00:00:00","",""
"152","120","1992-01-27 00:00:00","",""
"153","121","1993-02-05 00:00:00","",""
"154","121","1992-01-27 00:00:00","",""
"155","122","1994-01-14 00:00:00","",""
"156","122","1993-02-05 00:00:00","",""
"157","122","1992-01-27 00:00:00","",""
"158","123","1994-01-14 00:00:00","",""
"159","123","1993-01-15 00:00:00","",""
"160","123","1992-01-17 00:00:00","",""
"161","124","1994-01-14 00:00:00","",""
"162","124","1993-02-05 00:00:00","",""
"163","124","1992-01-27 00:00:00","",""
"164","125","1993-05-13 00:00:00","",""
"165","125","1992-09-09 00:00:00","",""
"166","126","1994-01-14 00:00:00","",""
"167","126","1993-01-15 00:00:00","",""
"168","127","1994-01-14 00:00:00","",""
"169","127","1993-02-05 00:00:00","",""
"170","127","1992-01-27 00:00:00","",""
"171","128","1994-01-14 00:00:00","",""
"172","128","1993-01-15 00:00:00","",""
"173","128","1992-01-27 00:00:00","",""
"174","129","1994-01-14 00:00:00","",""
"175","129","1992-01-27 00:00:00","",""
"176","130","1994-01-14 00:00:00","",""
"177","131","1994-01-14 00:00:00","",""
"178","132","1994-01-14 00:00:00","",""
"179","132","1993-01-15 00:00:00","",""
"180","132","1992-01-27 00:00:00","",""
"181","133","1994-01-14 00:00:00","",""
"182","134","1994-01-14 00:00:00","",""
"183","134","1993-02-05 00:00:00","",""
"184","134","1992-01-17 00:00:00","",""
"185","135","1994-01-14 00:00:00","",""
"186","135","1992-01-27 00:00:00","",""
"187","136","1994-01-14 00:00:00","",""
"188","136","1993-02-05 00:00:00","",""
"189","136","1992-01-17 00:00:00","",""
"190","137","1993-06-11 00:00:00","",""
"191","137","1993-02-05 00:00:00","",""
"192","137","1992-01-17 00:00:00","",""
"193","138","1994-01-14 00:00:00","",""
"194","139","1993-05-05 00:00:00","",""
"195","139","1993-01-15 00:00:00","",""
"196","139","1992-01-27 00:00:00","",""
"197","140","1993-02-05 00:00:00","",""
"198","140","1992-01-27 00:00:00","",""
"199","141","1994-01-14 00:00:00","",""
"200","141","1993-02-05 00:00:00","",""
"201","141","1992-01-27 00:00:00","",""
"202","142","1994-01-14 00:00:00","",""
"203","142","1993-01-15 00:00:00","",""
"204","143","1994-01-14 00:00:00","",""
"205","143","1993-01-15 00:00:00","",""
"206","143","1992-01-27 00:00:00","",""
"207","144","1994-01-14 00:00:00","",""
"208","144","1993-01-15 00:00:00","",""
"209","145","1994-01-14 00:00:00","",""
"210","145","1993-02-05 00:00:00","",""
"211","145","1992-01-17 00:00:00","",""
"212","146","1994-01-14 00:00:00","",""
"213","146","1993-01-15 00:00:00","",""
"214","146","1992-01-27 00:00:00","",""
"215","147","1994-01-14 00:00:00","",""
"216","147","1993-02-05 00:00:00","",""
"217","148","1994-01-14 00:00:00","",""
"218","149","1994-01-14 00:00:00","",""
"219","149","1993-02-05 00:00:00","",""
"220","149","1992-01-27 00:00:00","",""
"221","150","1994-01-14 00:00:00","",""
"222","150","1993-02-05 00:00:00","",""
"223","150","1992-01-27 00:00:00","",""
"224","151","1994-01-14 00:00:00","",""
"225","151","1993-01-15 00:00:00","",""
"226","151","1992-01-27 00:00:00","",""
"227","152","1994-01-14 00:00:00","",""
"228","152","1993-01-15 00:00:00","",""
"229","154","1994-01-14 00:00:00","",""
"230","154","1993-01-15 00:00:00","",""
"231","154","1992-01-27 00:00:00","",""
"232","155","1994-01-14 00:00:00","",""
"233","155","1993-02-05 00:00:00","",""
"234","155","1992-01-27 00:00:00","",""
"235","156","1994-01-14 00:00:00","",""
"236","156","1993-02-05 00:00:00","",""
"237","156","1992-01-17 00:00:00","",""
"238","157","1994-01-14 00:00:00","",""
"239","158","1994-01-14 00:00:00","",""
"240","158","1993-02-05 00:00:00","",""
"241","158","1992-01-27 00:00:00","",""
"242","159","1994-01-14 00:00:00","",""
"243","160","1994-01-14 00:00:00","",""
"244","160","1993-01-15 00:00:00","",""
"245","160","1992-01-27 00:00:00","",""
"246","161","1994-01-14 00:00:00","",""
"247","161","1993-02-05 00:00:00","",""
"248","161","1992-01-17 00:00:00","",""
"249","163","1994-01-14 00:00:00","",""
"250","164","1994-01-14 00:00:00","",""
"251","164","1993-01-15 00:00:00","",""
"252","165","1992-01-17 00:00:00","",""
"255","167","1994-01-14 00:00:00","",""
"256","167","1993-02-05 00:00:00","",""
"257","167","1992-01-17 00:00:00","",""
"261","169","1994-01-14 00:00:00","",""
"262","169","1993-02-05 00:00:00","",""
"267","171","1994-01-14 00:00:00","",""
"269","172","1994-01-14 00:00:00","",""
"271","173","1994-01-14 00:00:00","",""
"272","173","1993-02-05 00:00:00","",""
"277","175","1994-01-14 00:00:00","",""
"279","176","1994-01-14 00:00:00","",""
"280","176","1993-01-15 00:00:00","",""
"281","176","1992-01-27 00:00:00","",""
"283","177","1994-01-14 00:00:00","",""
"284","177","1993-02-05 00:00:00","",""
"285","177","1992-01-27 00:00:00","",""
"288","178","1994-01-14 00:00:00","",""
"289","178","1993-02-05 00:00:00","",""
"290","178","1992-01-17 00:00:00","",""
"292","179","1994-01-14 00:00:00","",""
"295","180","1994-01-14 00:00:00","",""
"301","183","1994-01-14 00:00:00","",""
"302","183","1993-01-15 00:00:00","",""
"303","183","1992-01-27 00:00:00","",""
"305","184","1994-01-14 00:00:00","",""
"306","184","1993-02-05 00:00:00","",""
"307","184","1992-01-17 00:00:00","",""
"309","185","1994-01-14 00:00:00","",""
"310","185","1993-01-15 00:00:00","",""
"311","185","1992-01-17 00:00:00","",""
"314","186","1994-01-14 00:00:00","",""
"315","186","1993-02-05 00:00:00","",""
"316","186","1992-01-27 00:00:00","",""
"318","187","1994-01-14 00:00:00","",""
"319","187","1993-02-05 00:00:00","",""
"320","187","1992-01-17 00:00:00","",""
"323","188","1994-01-14 00:00:00","",""
"324","188","1993-02-05 00:00:00","",""
"326","189","1994-01-14 00:00:00","",""
"327","189","1993-01-15 00:00:00","",""
"328","189","1992-01-27 00:00:00","",""
"329","190","1993-09-24 00:00:00","",""
"330","190","1994-01-14 00:00:00","",""
"331","190","1993-02-05 00:00:00","",""
"332","190","1992-01-17 00:00:00","",""
"335","191","1994-01-14 00:00:00","",""
"336","191","1993-01-15 00:00:00","",""
"339","192","1994-01-14 00:00:00","",""
"345","195","1994-01-14 00:00:00","",""
"346","195","1993-02-05 00:00:00","",""
"349","196","1994-01-14 00:00:00","",""
"352","197","1994-01-14 00:00:00","",""
"353","197","1993-02-05 00:00:00","",""
"357","199","1994-01-14 00:00:00","",""
"358","199","1993-01-15 00:00:00","",""
"361","200","1994-01-14 00:00:00","",""
"362","200","1993-01-15 00:00:00","",""
"365","201","1994-01-14 00:00:00","",""
"366","201","1992-01-27 00:00:00","",""
"372","204","1994-01-14 00:00:00","",""
"373","204","1993-01-15 00:00:00","",""
"377","206","1994-01-14 00:00:00","",""
"378","206","1993-02-05 00:00:00","",""
"379","206","1992-01-27 00:00:00","",""
"381","207","1994-01-14 00:00:00","",""
"382","207","1993-01-15 00:00:00","",""
"383","207","1992-01-17 00:00:00","",""
"385","208","1994-01-14 00:00:00","",""
"386","208","1993-02-05 00:00:00","",""
"387","208","1992-01-27 00:00:00","",""
"389","209","1994-01-14 00:00:00","",""
"390","209","1993-01-15 00:00:00","",""
"391","209","1992-01-27 00:00:00","",""
