"HeatKey","CowKey","heatDate","comment","HeatObservedBy","HeatDetectionMethod","HeatDetectionCertainty"
"1","10","1991-05-28 00:00:00","","","",""
"2","11","1991-05-24 00:00:00","","","",""
"3","12","1991-04-22 00:00:00","","","",""
"4","12","1991-05-13 00:00:00","","","",""
"5","13","1991-05-05 00:00:00","","","",""
"6","13","1991-05-27 00:00:00","","","",""
"7","14","1991-04-21 00:00:00","","","",""
"8","14","1991-05-14 00:00:00","","","",""
"9","15","1991-05-27 00:00:00","","","",""
"10","16","1991-04-29 00:00:00","","","",""
"11","16","1991-05-21 00:00:00","","","",""
"12","17","1991-04-28 00:00:00","","","",""
"13","17","1991-05-15 00:00:00","","","",""
"14","18","1991-05-17 00:00:00","","","",""
"15","19","1991-05-10 00:00:00","","","",""
"16","20","1991-05-05 00:00:00","","","",""
"17","21","1992-05-30 00:00:00","","","",""
"18","22","1991-05-27 00:00:00","","","",""
"19","27","1991-04-22 00:00:00","","","",""
"20","27","1991-05-11 00:00:00","","","",""
"21","29","1991-04-26 00:00:00","","","",""
"22","30","1991-05-06 00:00:00","","","",""
"23","32","1991-04-22 00:00:00","","","",""
"24","32","1991-05-13 00:00:00","","","",""
"25","33","1991-05-28 00:00:00","","","",""
"26","34","1991-05-23 00:00:00","","","",""
"27","35","1991-04-30 00:00:00","","","",""
"28","38","1991-05-24 00:00:00","","","",""
"29","40","1991-05-28 00:00:00","","","",""
"30","65","1993-05-13 00:00:00","","","",""
"31","66","1992-05-18 00:00:00","","","",""
"32","66","1992-05-31 00:00:00","","","",""
"33","66","1991-04-29 00:00:00","","","",""
"34","66","1991-05-27 00:00:00","","","",""
"35","67","1993-05-23 00:00:00","","","",""
"36","67","1992-05-14 00:00:00","","","",""
"37","67","1992-05-31 00:00:00","","","",""
"38","68","1991-05-21 00:00:00","","","",""
"39","69","1991-04-30 00:00:00","","","",""
"40","69","1991-05-24 00:00:00","","","",""
"41","70","1992-05-24 00:00:00","","","",""
"42","70","1991-04-30 00:00:00","","","",""
"43","71","1992-05-18 00:00:00","","","",""
"44","71","1991-05-18 00:00:00","","","",""
"45","72","1991-04-18 00:00:00","","","",""
"46","72","1991-05-13 00:00:00","","","",""
"47","73","1992-05-18 00:00:00","","","",""
"48","73","1992-05-27 00:00:00","","","",""
"49","73","1992-05-31 00:00:00","","","",""
"50","73","1991-05-04 00:00:00","","","",""
"51","73","1991-05-21 00:00:00","","","",""
"52","74","1993-05-12 00:00:00","","","",""
"53","74","1993-05-29 00:00:00","","","",""
"54","74","1992-05-22 00:00:00","","","",""
"55","74","1991-04-17 00:00:00","","","",""
"56","74","1991-05-09 00:00:00","","","",""
"57","74","1991-05-29 00:00:00","","","",""
"58","75","1992-05-16 00:00:00","","","",""
"59","75","1992-05-23 00:00:00","","","",""
"60","75","1991-04-18 00:00:00","","","",""
"61","75","1991-04-28 00:00:00","","","",""
"62","75","1991-05-18 00:00:00","","","",""
"63","76","1992-05-28 00:00:00","","","",""
"64","77","1992-05-12 00:00:00","","","",""
"65","77","1991-05-07 00:00:00","","","",""
"66","77","1991-05-08 00:00:00","","","",""
"67","77","1991-05-29 00:00:00","","","",""
"68","78","1992-05-18 00:00:00","","","",""
"69","79","1991-04-25 00:00:00","","","",""
"70","80","1992-05-24 00:00:00","","","",""
"71","80","1991-05-04 00:00:00","","","",""
"72","80","1991-05-22 00:00:00","","","",""
"73","81","1993-05-12 00:00:00","","","",""
"74","81","1991-05-21 00:00:00","","","",""
"75","82","1991-05-05 00:00:00","","","",""
"76","83","1993-05-13 00:00:00","","","",""
"77","83","1992-05-14 00:00:00","","","",""
"78","83","1991-04-30 00:00:00","","","",""
"79","83","1991-05-23 00:00:00","","","",""
"80","84","1991-05-06 00:00:00","","","",""
"81","84","1991-05-27 00:00:00","","","",""
"82","85","1991-04-30 00:00:00","","","",""
"83","85","1991-05-22 00:00:00","","","",""
"84","89","1992-05-21 00:00:00","","","",""
"85","89","1991-05-29 00:00:00","","","",""
"86","90","1992-05-26 00:00:00","","","",""
"87","90","1992-05-27 00:00:00","","","",""
"88","91","1992-05-12 00:00:00","","","",""
"89","91","1991-05-09 00:00:00","","","",""
"90","92","1992-05-30 00:00:00","","","",""
"91","93","1992-05-26 00:00:00","","","",""
"92","93","1991-05-02 00:00:00","","","",""
"93","93","1991-05-24 00:00:00","","","",""
"94","94","1993-05-29 00:00:00","","","",""
"95","94","1992-05-29 00:00:00","","","",""
"96","94","1991-04-22 00:00:00","","","",""
"97","94","1991-05-11 00:00:00","","","",""
"98","95","1992-05-23 00:00:00","","","",""
"99","95","1992-05-31 00:00:00","","","",""
