"joinKey","cowKey","jsDate","jeDate","joinSire","jsComment","jeComment"
"1","9","1992-07-13 00:00:00","","000000","",""
"2","65","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"3","66","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"4","67","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"5","68","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"6","69","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"7","70","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"8","71","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"9","72","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"10","73","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"11","74","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"12","75","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"13","76","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"14","77","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"15","78","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"16","79","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"17","80","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"18","81","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"19","82","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"20","83","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"21","84","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"22","85","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"23","86","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"24","87","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"25","88","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"26","89","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"27","90","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"28","91","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"29","92","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"30","93","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"31","94","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"32","95","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"33","96","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"34","97","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"35","98","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"36","99","1992-07-13 00:00:00","1992-08-24 00:00:00","","",""
"37","100","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"38","101","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"39","101","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"40","102","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"41","103","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"42","103","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"43","104","1993-07-12 00:00:00","","","",""
"44","104","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"45","105","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"46","105","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"47","106","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"48","107","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"49","107","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"50","108","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"51","108","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"52","109","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"53","109","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"54","110","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"55","111","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"56","111","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"57","112","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"58","112","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"59","113","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"60","114","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"61","114","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"62","115","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"63","115","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"64","116","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
