"EventKey","CowKey","evDate","evType","VF","Reason","Diagnosis","Extra","Comment"
"1","43","1992-01-17 00:00:00","GRAZOF","","","","",""
"2","44","1992-01-17 00:00:00","GRAZOF","","","","",""
"3","129","1992-01-17 00:00:00","GRAZOF","","","","",""
"4","201","1992-01-17 00:00:00","GRAZOF","","","","",""
"5","226","1992-01-17 00:00:00","GRAZOF","","","","",""
"6","270","1992-01-17 00:00:00","GRAZOF","","","","",""
"7","277","1992-01-17 00:00:00","GRAZOF","","","","",""
"8","294","1992-01-17 00:00:00","GRAZOF","","","","",""
"9","315","1992-01-17 00:00:00","GRAZOF","","","","",""
"10","316","1992-01-17 00:00:00","GRAZOF","","","","",""
"11","507","1992-01-17 00:00:00","GRAZOF","","","","",""
"12","651","1992-01-17 00:00:00","GRAZOF","","","","",""
