"type","name","fKey"
"TECH","ctgw","0"
"TECH","jpwp","0"
"TECH","cydx","0"
"TECH","cvcx","0"
"BATCH","EB622","0"
"BATCH","ea136","0"
"BATCH","8688","0"
"BATCH","Hu6097","0"
"BATCH","EB804","0"
"BATCH","NQ98","0"
"BATCH","AA278","0"
"BATCH","ED275","0"
"BATCH","EA398","0"
"BATCH","EB507","0"
"BATCH","ED244","0"
"BATCH","ED224","0"
"BATCH","ED542","0"
"BATCH","AO17","0"
"BATCH","A018","0"
"BATCH","XM94","0"
"BATCH","AO19","0"
"BATCH","AO21","0"
"BATCH","AO22","0"
"BATCH","AO23","0"
"BATCH","AO24","0"
"BATCH","AO25","0"
"BATCH","AO26","0"
"TECH","JQPM","0"
"BATCH","AO28","0"
"BATCH","EC857","0"
"BATCH","AO31","0"
"BATCH","AO33","0"
"BATCH","AO35","0"
"BATCH","AO36","0"
"BATCH","AO37","0"
"BATCH","AO97","0"
"BATCH","AO99","0"
"BATCH","AI01","0"
"BATCH","AI14","0"
"BATCH","AI10","0"
"BATCH","A125","0"
"BATCH","A127","0"
"BATCH","A130","0"
"BATCH","A142","0"
"BATCH","A145","0"
"BATCH","AI45","0"
"BATCH","AI66","0"
"BATCH","AI65","0"
"BATCH","AI69","0"
"BATCH","F354","0"
"BATCH","EA372","0"
"BATCH","AI96","0"
"BATCH","A202","0"
"BATCH","A221","0"
"BATCH","A224","0"
"BATCH","A225","0"
"BATCH","A251","0"
"BATCH","A249","0"
"BATCH","A277","0"
"BATCH","A281","0"
"BATCH","A278","0"
"BATCH","A302","0"
"BATCH","A303","0"
"BATCH","A308","0"
"BATCH","A326","0"
"BATCH","A328","0"
"BATCH","A332","0"
"BATCH","A349","0"
"BATCH","M937","0"
"BATCH","A345","0"
"BATCH","E A372","0"
"BATCH","A368","0"
"BATCH","M937","0"
"BATCH","M937","0"
"BATCH","A373","0"
"BATCH","A387","0"
"BATCH","A406","0"
