ServKey,CowKey,servDate,servType,Sire,Technician,Batch,comment,HeatObservedBy,HeatDetectionMethod,HeatDetectionCertainty,HoursSinceObservedHeat,SemenType,SemenStorage,SemenUnitCost,TimeOfAI,SplitStraw,DateHeatDetected
1,1,4/06/91,AI,85264,DCBA,,,,,,,,,,,,
2,2,4/06/91,AI,85264,DCBA,,,,,,,,,,,,
3,3,5/06/91,AI,83283,DCBA,,,,,,,,,,,,
4,4,5/06/91,AI,86279,DCBA,,,,,,,,,,,,
5,5,6/06/91,AI,86202,DCBA,,,,,,,,,,,,
6,6,6/06/91,AI,86202,DCBA,,,,,,,,,,,,
7,9,26/06/92,AI,87203,DCBA,,,,,,,,,,,,
8,9,21/07/92,NM,0,,,,,,,,,,,,,
9,10,18/06/91,AI,83283,,,,,,,,,,,,,
10,10,7/07/91,AI,86279,DCBA,,,,,,,,,,,,
11,10,30/07/91,NM,,,,,,,,,,,,,,
12,10,19/08/91,NM,,,,,,,,,,,,,,
13,11,29/06/91,AI,85273,DCBA,,,,,,,,,,,,
14,11,23/07/91,NM,,,,,,,,,,,,,,
15,12,1/06/91,AI,86279,DCBA,,,,,,,,,,,,
16,12,12/08/91,NM,,,,,,,,,,,,,,
17,13,11/06/91,AI,85273,,,,,,,,,,,,,
18,13,11/07/91,AI,85273,JACK,,,,,,,,,,,,
19,14,8/06/91,AI,86279,,,,,,,,,,,,,
20,14,29/06/91,AI,85273,DCBA,,,,,,,,,,,,
21,14,18/07/91,NM,,,,,,,,,,,,,,
22,15,22/06/91,AI,86279,DCBA,,,,,,,,,,,,
23,15,13/08/91,NM,,,,,,,,,,,,,,
24,15,25/08/91,NM,,,,,,,,,,,,,,
25,16,14/06/91,AI,85273,,,,,,,,,,,,,
26,17,18/06/91,AI,83283,DCBA,,,,,,,,,,,,
27,18,1/07/91,AI,85273,BOB,,,,,,,,,,,,
28,19,19/06/91,AI,83283,DCBA,,,,,,,,,,,,
29,20,11/06/91,AI,85203,,,,,,,,,,,,,
30,20,5/07/91,AI,86279,BOB,,,,,,,,,,,,
31,24,29/06/91,AI,85273,DCBA,,,,,,,,,,,,
32,24,14/08/91,NM,,,,,,,,,,,,,,
