"LifetimeID","Name","Breed","DamLifetimeID","SireLifetimeID","BWRel","FatRel","ProteinRel","MilkRel","WeightRel","SurvivalRel","BW","FatBV","ProteinBV","MilkBV","WeightBV","SurvivalBV","DateBWUpdated","FirstDateUsed","LastDateUsed"
"000000","","","","","","","","","","","","","","","","","","1992-06-28 00:00:00","1997-11-30 00:00:00"
"20274","","","","","","","","","","","","","","","","","","1996-06-12 00:00:00","1996-06-12 00:00:00"
"21208","","","","","","","","","","","","","","","","","","1996-06-11 00:00:00","1996-06-11 00:00:00"
"24205","","","","","","","","","","","","","","","","","","1998-10-13 00:00:00","1998-10-14 00:00:00"
"290274","","","","","","","","","","","","","","","","","","1997-11-22 00:00:00","1997-11-22 00:00:00"
"608746","","","","","32.9000","","","","","","-3.2000","","","","","","1998-04-03 00:00:00","",""
"63684","","","","","99.0000","","","","","","58.6000","","","","","","1997-08-11 00:00:00","",""
"662033","","","","","93.1000","","","","","","104.5000","","","","","","1998-04-03 00:00:00","",""
"662163","","","","","","","","","","","","","","","","","","1995-11-02 00:00:00","1995-11-02 00:00:00"
"662637","","","","","94.6000","","","","","","91.0000","","","","","","1998-04-03 00:00:00","",""
"666050","","Sweedish Red","","","","","","","","","","","","","","","","1998-06-03 00:00:00","1998-06-09 00:00:00"
"71285","","","","","","","","","","","","","","","","","","1998-10-24 00:00:00","1998-10-24 00:00:00"
"75217","","","","","","","","","","","","","","","","","","1998-11-12 00:00:00","1998-11-12 00:00:00"
"76264","","","","","99.0000","","","","","","8.1000","","","","","","1998-04-03 00:00:00","",""
"77209","","","","","99.0000","","","","","","30.2000","","","","","","1998-04-03 00:00:00","",""
"80224","","","","","99.0000","","","","","","9.9000","","","","","","1998-04-03 00:00:00","",""
"80241","","","","","99.0000","","","","","","13.2000","","","","","","1998-04-03 00:00:00","",""
"80279","","","","","","","","","","","","","","","","","","1992-06-03 00:00:00","1992-06-03 00:00:00"
"81246","","","","","99.0000","","","","","","14.5000","","","","","","1998-01-09 00:00:00","",""
"81252","","","","","99.0000","","","","","","39.5000","","","","","","1997-09-05 00:00:00","",""
"82228","","","","","99.0000","","","","","","11.5000","","","","","","1998-04-03 00:00:00","",""
"82252","","","","","99.0000","","","","","","-9.1000","","","","","","1998-04-03 00:00:00","",""
"82279","","","","","99.0000","","","","","","39.3000","","","","","","1997-09-05 00:00:00","",""
"82282","","","","","99.0000","","","","","","10.2000","","","","","","1998-01-09 00:00:00","",""
"83209","","","","","99.0000","","","","","","-5.9000","","","","","","1998-04-03 00:00:00","",""
"83246","","","","","99.0000","","","","","","21.9000","","","","","","1998-01-09 00:00:00","",""
"83253","","","","","99.0000","","","","","","-27.9000","","","","","","1998-04-03 00:00:00","",""
"83256","","","","","99.0000","","","","","","7.2000","","","","","","1998-04-03 00:00:00","",""
"83274","","","","","99.0000","","","","","","50.7000","","","","","","1998-04-03 00:00:00","",""
"83283","","","","","99.0000","","","","","","37.1000","","","","","","1998-04-03 00:00:00","",""
"84223","","","","","99.0000","","","","","","41.4000","","","","","","1998-04-03 00:00:00","",""
"84260","","","","","99.0000","","","","","","47.3000","","","","","","1998-04-03 00:00:00","",""
"84264","","","","","99.0000","","","","","","62.1000","","","","","","1998-04-03 00:00:00","",""
"84284","","","","","99.0000","","","","","","18.1000","","","","","","1998-04-03 00:00:00","",""
"85203","","","","","99.0000","","","","","","53.6000","","","","","","1998-04-03 00:00:00","",""
"85210","","","","","99.0000","","","","","","67.9000","","","","","","1998-04-03 00:00:00","",""
"85264","","","","","99.0000","","","","","","60.9000","","","","","","1998-04-03 00:00:00","",""
"85268","","","","","99.0000","","","","","","79.4000","","","","","","1998-04-03 00:00:00","",""
"85273","","","","","99.0000","","","","","","39.3000","","","","","","1998-04-03 00:00:00","",""
"86202","","","","","99.0000","","","","","","26.6000","","","","","","1998-04-03 00:00:00","",""
"86279","","","","","99.0000","","","","","","61.2000","","","","","","1998-04-03 00:00:00","1992-06-04 00:00:00","1992-06-11 00:00:00"
"87203","","","","","99.0000","","","","","","44.3000","","","","","","1998-04-03 00:00:00","1992-06-02 00:00:00","1995-11-16 00:00:00"
"87205","","","","","99.0000","","","","","","30.4000","","","","","","1998-04-03 00:00:00","",""
"87208","","","","","99.0000","","","","","","59.6000","","","","","","1998-04-03 00:00:00","1992-06-03 00:00:00","1992-06-10 00:00:00"
"87224","","","","","99.0000","","","","","","57.9000","","","","","","1998-04-03 00:00:00","1992-06-01 00:00:00","1993-11-05 00:00:00"
