"treatKey","cowKey","treatDate","treatType","VF","reason","diseaseKey","comment","Cost","WitholdingPeriod"
"1","9","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"2","15","1991-09-24 00:00:00","T_INTR","FARMER","CLOXAG","","cut teat stitch","",""
"3","21","1992-05-11 00:00:00","T_ANTB","VET","PESSAR","","2x Terramycin","",""
"4","21","1992-05-11 00:00:00","T_HORM","FARMER","PROSTA","","","",""
"5","21","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"6","29","1991-09-26 00:00:00","T_ANTB","FARMER","STRETP","","mouth infection","",""
"7","39","1992-04-18 00:00:00","T_MISC","FARMER","ANTHIS","","","",""
"8","39","1992-04-18 00:00:00","T_ANTB","FARMER","OXYTET","","25ml Terramycin","",""
"9","39","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"10","41","1992-03-31 00:00:00","T_ANTB","FARMER","PENSA","","Mylipen","",""
"11","41","1992-04-01 00:00:00","T_ANTB","FARMER","CEPORX","","25ml","",""
"12","48","1992-05-19 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"13","51","1992-05-19 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"14","65","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"15","65","1992-12-23 00:00:00","T_ANTB","FARMER","PENSA","","Mylipen","",""
"16","65","1993-01-15 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"17","66","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"18","66","1993-02-05 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"19","67","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"20","67","1992-11-03 00:00:00","T_INTR","FARMER","MASTAL","","","",""
"21","67","1993-02-05 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"22","68","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"23","68","1992-06-24 00:00:00","T_HORM","VET","PROSTA","","","",""
"24","68","1993-02-05 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"25","69","1992-03-24 00:00:00","T_INTR","FARMER","SPEC F","","","",""
"26","69","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"27","69","1993-02-05 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"28","70","1992-04-22 00:00:00","T_ANTB","FARMER","PENSA","","20ml Mylipen","",""
"29","70","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"30","70","1993-01-15 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"31","71","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"32","71","1992-06-24 00:00:00","T_HORM","VET","PROSTA","","","",""
"33","71","1993-03-24 00:00:00","T_CLVI","FARMER","F IND","","","",""
"34","72","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
