vreKey,cowKey,vreDate,reason,diagnosis,extra,vetKey,comment
1,1,3/09/91,PREGD,EMPTY,,,
2,2,3/09/91,PREGD,EMPTY,,,
3,3,3/09/91,PREGD,PREG,35 WKS,,
4,4,3/09/91,PREGD,EMPTY,,,
5,5,3/09/91,PREGD,EMPTY,,,
6,6,3/09/91,PREGD,EMPTY,FMUMMY,,
7,7,3/09/91,PREGD,EMPTY,,,
8,8,3/09/91,PREGD,PREG,36 WKS,,
9,9,24/06/92,NVO,AWF,,,
10,10,26/09/91,PREGD,EMPTY,,,
11,10,5/11/91,PREGD,EMPTY,,,
12,11,26/09/91,PREGD,EMPTY,,,
13,11,5/11/91,PREGD,EMPTY,,,
14,12,26/09/91,PREGD,EMPTY,,,
15,12,5/11/91,PREGD,EMPTY,,,
16,13,26/09/91,PREGD,PREG,L SER,,
17,13,13/11/91,PREGD,EMPTY,,,
18,14,26/09/91,PREGD,PREG,L SER,,
19,15,26/09/91,PREGD,EMPTY,,,
20,15,5/11/91,PREGD,EMPTY,,,
21,16,26/09/91,PREGD,PREG,L SER,,
22,17,26/09/91,PREGD,EMPTY,PYOMET,,
23,17,5/11/91,PREGD,EMPTY,,,
24,18,5/11/91,PREGD,EMPTY,,,
25,18,13/11/91,PREGD,EMPTY,,,
26,19,26/09/91,PREGD,EMPTY,,,
27,19,5/11/91,PREGD,EMPTY,,,
28,20,26/09/91,PREGD,EMPTY,PYOMET,,
29,20,5/11/91,PREGD,EMPTY,PYOMET,,
30,21,11/05/92,OTHERC,ENDO,,,
31,21,24/06/92,NVO,CYCCLP,,,
32,22,26/09/91,PREGD,EMPTY,,,
33,22,5/11/91,PREGD,EMPTY,,,
34,24,26/09/91,PREGD,EMPTY,,,
35,24,5/11/91,PREGD,EMPTY,,,
36,25,26/09/91,PREGD,EMPTY,,,
37,25,5/11/91,PREGD,EMPTY,,,
38,26,26/09/91,PREGD,EMPTY,,,
39,26,5/11/91,PREGD,EMPTY,,,
40,27,26/09/91,PREGD,EMPTY,,,
41,27,5/11/91,PREGD,EMPTY,,,
42,28,26/09/91,PREGD,EMPTY,,,
43,28,5/11/91,PREGD,EMPTY,,,
44,29,26/09/91,PREGD,PREG,L SER,,
45,30,26/09/91,PREGD,EMPTY,,,
46,30,5/11/91,PREGD,EMPTY,,,
47,32,26/09/91,PREGD,PREG,L SER,,
48,32,13/11/91,PREGD,EMPTY,,,
49,33,26/09/91,PREGD,EMPTY,,,
50,33,5/11/91,PREGD,EMPTY,,,
51,34,26/09/91,PREGD,EMPTY,,,
52,34,5/11/91,PREGD,EMPTY,,,
53,35,26/09/91,PREGD,EMPTY,,,
54,35,5/11/91,PREGD,EMPTY,,,
55,36,26/09/91,PREGD,EMPTY,,,
56,38,26/09/91,PREGD,EMPTY,,,
57,38,5/11/91,PREGD,EMPTY,,,
58,40,26/09/91,PREGD,EMPTY,,,
59,40,5/11/91,PREGD,EMPTY,,,
60,48,29/09/92,PREGD,PREG,17 WKS,,
61,51,29/09/92,PREGD,PREG,17 WKS,,
62,65,6/10/92,PREGD,PREG,L SER,,
63,65,3/09/91,PREGD,EMPTY,,,
64,65,26/09/91,PREGD,PREG,L SER,,
65,66,6/10/92,PREGD,EMPTY,,,
66,66,27/01/93,NVO,PREG,12 WKS,,
67,66,26/09/91,PREGD,PREG,L SER,,
68,67,6/10/92,PREGD,PREG,L SER,,
69,67,26/09/91,PREGD,PREG,L SER,,
70,67,29/03/84,NEWCOW,PREG,DDUNC,,9/05/1992
71,68,24/06/92,NVO,CYCCLP,,,
72,68,6/10/92,PREGD,EMPTY,,,
73,68,27/01/93,NVO,PREG,13 WKS,,
74,68,26/09/91,PREGD,PREG,8 WKS,,
75,69,6/10/92,PREGD,EMPTY,,,
