EnterKey,CowKey,EventDate,LactNumber,LactNumberEst,StockClass,FertStatus,Method,TransferID,LactStatus,DueDate,DueSire,Comment
1,1,"04/04/05 00:00:00",,0,"HEIFER",,"PRES",,,,,
2,2,"04/19/05 00:00:00",,0,"HEIFER",,"PRES",,,,,
3,3,"03/15/05 00:00:00",,0,"HEIFER",,"PRES",,,,,
4,4,"03/29/05 00:00:00",,0,"HEIFER",,"PRES",,,,,
5,5,"04/18/05 00:00:00",,0,"HEIFER",,"PRES",,,,,
6,6,"03/12/05 00:00:00",,0,"HEIFER",,"PRES",,,,,
7,7,"03/16/05 00:00:00",,0,"HEIFER",,"PRES",,,,,
8,8,"03/15/05 00:00:00",,0,"HEIFER",,"PRES",,,,,
9,9,"08/10/99 00:00:00",3,1,"COW",,"PRES",,,,,
10,10,"03/21/03 00:00:00",2,0,"COW",,"PRES",,,,,
11,11,"03/24/03 00:00:00",2,0,"COW",,"PRES",,,,,
12,12,"03/03/04 00:00:00",1,0,"COW",,"PRES",,,,,
13,13,"03/29/02 00:00:00",3,0,"COW",,"PRES",,,,,
14,14,"01/29/00 00:00:00",5,0,"COW",,"PRES",,,,,
15,15,"03/17/97 00:00:00",7,0,"COW",,"PRES",,,,,
16,16,"08/22/01 00:00:00",4,0,"COW",,"PRES",,,,,
17,17,"04/13/94 00:00:00",7,0,"COW",,"PRES",,,,,
18,18,"08/12/97 00:00:00",6,0,"COW",,"PRES",,,,,
19,19,"05/04/02 00:00:00",3,0,"COW",,"PRES",,,,,
20,20,"04/14/99 00:00:00",6,0,"COW",,"PRES",,,,,
21,21,"08/13/97 00:00:00",8,0,"COW",,"PRES",,,,,
22,22,"04/01/02 00:00:00",3,0,"COW",,"PRES",,,,,
23,23,"03/01/02 00:00:00",1,0,"COW",,"PRES",,,,,
24,24,"08/01/04 00:00:00",1,0,"COW",,"PRES",,,,,
25,25,"03/09/98 00:00:00",6,0,"COW",,"PRES",,,,,
26,26,"07/20/99 00:00:00",5,0,"COW",,"PRES",,,,,
27,27,"03/05/04 00:00:00",1,0,"COW",,"PRES",,,,,
28,28,"09/21/98 00:00:00",6,0,"COW",,"PRES",,,,,
29,29,"08/11/00 00:00:00",5,0,"COW",,"PRES",,,,,
30,30,"04/01/02 00:00:00",3,0,"COW",,"PRES",,,,,
31,31,"05/30/06 00:00:00",1,0,"COW",,"PRES",,,,,
32,32,"03/21/06 00:00:00",2,1,"COW",,"PRES",,,,,
33,33,"08/08/99 00:00:00",5,0,"COW",,"PRES",,,,,
34,34,"08/28/00 00:00:00",4,0,"COW",,"PRES",,,,,
35,35,"09/22/00 00:00:00",4,0,"COW",,"PRES",,,,,
36,36,"08/01/00 00:00:00",4,0,"COW",,"PRES",,,,,
37,37,"03/01/02 00:00:00",1,0,"COW",,"PRES",,,,,
38,38,"04/22/01 00:00:00",4,0,"COW",,"PRES",,,,,
39,39,"07/13/99 00:00:00",6,0,"COW",,"PRES",,,,,
40,40,"03/22/97 00:00:00",7,0,"COW",,"PRES",,,,,
41,41,"05/10/01 00:00:00",5,0,"COW",,"PRES",,,,,
