ExitKey,CowKey,EventDate,RemovalFate,RemovalReason1,RemovalReason2,RemovalReason3
1,1,"10/22/06 00:00:00","SOLD","FTC",,
2,2,"10/22/06 00:00:00","SOLD","FTC",,
3,3,"09/25/06 00:00:00","SOLD",,,
4,4,"10/22/06 00:00:00","SOLD","FTC",,
5,5,"10/22/06 00:00:00","SOLD","FTC",,
6,6,"10/22/06 00:00:00","SOLD","FTC",,
7,7,"10/22/06 00:00:00","SOLD","FTC",,
8,8,"09/25/06 00:00:00","SOLD",,,
9,9,"08/23/07 00:00:00","DIED","UNKNWN",,
10,10,"02/17/07 00:00:00","CULLED","FTC",,
11,11,"02/17/07 00:00:00","CULLED","FTC",,
12,12,"02/17/07 00:00:00","CULLED","FTC",,
13,13,"02/17/07 00:00:00","CULLED","FTC",,
14,14,"02/25/07 00:00:00","CULLED","FTC",,
15,15,"02/25/07 00:00:00","CULLED","FTC",,
16,16,"03/15/07 00:00:00","DIED","MLKFEV","BLOATREM",
17,17,"02/25/07 00:00:00","CULLED","FTC",,
18,18,"02/17/07 00:00:00","CULLED","FTC",,
19,19,"02/25/07 00:00:00","CULLED","FTC",,
20,20,"02/17/07 00:00:00","CULLED","FTC",,
21,21,"06/26/07 00:00:00","DIED","UNKNWN",,
22,22,"02/25/07 00:00:00","CULLED","FTC",,
23,23,"02/17/07 00:00:00","CULLED",,,
24,24,"02/25/07 00:00:00","CULLED","FTC",,
25,25,"02/17/07 00:00:00","CULLED","FTC",,
26,26,"02/17/07 00:00:00","CULLED","FTC",,
27,27,"02/17/07 00:00:00","CULLED","FTC",,
28,28,"02/17/07 00:00:00","CULLED","FTC",,
29,29,"03/10/07 00:00:00","DIED","MLKFEV",,
30,30,"02/17/07 00:00:00","CULLED","FTC",,
31,31,"02/17/07 00:00:00","CULLED",,,
32,32,"02/17/07 00:00:00","CULLED",,,
33,33,"02/25/07 00:00:00","CULLED","FTC",,
34,34,"02/17/07 00:00:00","CULLED",,,
35,35,"02/17/07 00:00:00","CULLED",,,
36,36,"02/25/07 00:00:00","CULLED","FTC",,
37,37,"02/17/07 00:00:00","CULLED",,,
38,38,"02/17/07 00:00:00","CULLED",,,
39,39,"05/17/07 00:00:00","DIED","OTHERC",,
40,40,"02/17/07 00:00:00","CULLED",,,
41,41,"04/15/07 00:00:00","DIED","INJURY",,
42,42,"03/22/07 00:00:00","CULLED","FTC",,
43,43,"02/17/07 00:00:00","SOLD",,,
44,44,"02/17/07 00:00:00","SOLD",,,
45,45,"02/17/07 00:00:00","CULLED",,,
46,46,"07/18/07 00:00:00","DIED","BLOATREM",,
47,47,"07/02/07 00:00:00","DIED","BLOATREM",,
48,48,"05/12/08 00:00:00","SOLD",,,
