CalvKey,CowKey,calvDate,calvType,assist,estimated,comment,VF,TechnicianID,ObservedFM,AbortionCause,CalvingEase
1,9,"03/31/07 00:00:00","NORMAL",,0,,,,,,
2,10,"04/19/06 00:00:00","INDUCE",,0,,,,,,
3,11,"03/24/06 00:00:00","NORMAL",,0,,,,,,
4,12,"02/28/06 00:00:00","NORMAL",,0,,,,,,
5,13,"03/06/06 00:00:00","NORMAL",,0,,,,,,
6,14,"03/20/06 00:00:00","NORMAL",,0,,,,,,
7,15,"03/19/06 00:00:00","NORMAL",,0,,,,,,
8,16,"03/14/07 00:00:00","NORMAL",,0,,,,,,
9,16,"04/05/06 00:00:00","NORMAL",,0,,,,,,
10,17,"04/22/06 00:00:00","INDUCE",,0,,,,,,
11,18,"04/24/06 00:00:00","NORMAL",,0,,,,,,
12,19,"04/24/06 00:00:00","NORMAL",,0,,,,,,
13,20,"04/25/06 00:00:00","NORMAL",,0,,,,,,
14,21,"04/20/07 00:00:00","NORMAL",,0,,,,,,
15,22,"05/04/06 00:00:00","NORMAL",,0,,,,,,
16,23,"05/30/06 00:00:00","NORMAL",,0,,,,,,
17,24,"05/26/06 00:00:00","NORMAL",,0,,,,,,
18,25,"01/11/06 00:00:00","ABORT",,0,,,,,,
19,26,"03/05/06 00:00:00","NORMAL",,0,,,,,,
20,27,"03/02/06 00:00:00","NORMAL",,0,,,,,,
21,28,"03/30/06 00:00:00","NORMAL",,0,,,,,,
22,29,"03/09/07 00:00:00","NORMAL",,0,,,,,,
23,29,"03/04/06 00:00:00","NORMAL",,0,,,,,,
24,30,"03/28/06 00:00:00","NORMAL",,0,,,,,,
25,31,"05/30/06 00:00:00","NORMAL",,0,,,,,,
26,32,"03/21/06 00:00:00","NORMAL",,0,,,,,,
27,33,"03/20/06 00:00:00","NORMAL",,0,,,,,,
28,34,"03/17/06 00:00:00","INDUCE",,0,,,,,,
29,35,"04/29/06 00:00:00","NORMAL",,0,,,,,,
30,36,"05/01/06 00:00:00","NORMAL",,0,,,,,,
31,37,"05/30/06 00:00:00","INDUCE",,0,,,,,,
32,38,"04/08/06 00:00:00","NORMAL",,0,,,,,,
33,39,"04/15/07 00:00:00","NORMAL",,0,,,,,,
34,40,"05/08/06 00:00:00","NORMAL",,0,,,,,,
35,41,"03/25/07 00:00:00","NORMAL",,0,,,,,,
36,43,"09/30/06 00:00:00","NORMAL",,0,,,,,,
37,44,"10/01/06 00:00:00","NORMAL",,0,,,,,,
38,45,"05/30/06 00:00:00","NORMAL",,0,,,,,,
39,65,"03/27/08 00:00:00","NORMAL",,0,,,,,,
40,65,"04/30/07 00:00:00","NORMAL",,0,,,,,,
41,65,"03/20/06 00:00:00","INDUCE",,0,,,,,,
42,66,"03/23/07 00:00:00","NORMAL",,0,,,,,,
43,66,"03/22/06 00:00:00","NORMAL",,0,,,,,,
44,67,"04/18/08 00:00:00","NORMAL",,0,,,,,,
45,67,"05/05/07 00:00:00","NORMAL",,0,,,,,,
46,67,"03/09/06 00:00:00","NORMAL",,0,,,,,,
47,68,"05/12/07 00:00:00","NORMAL",,0,,,,,,
48,68,"03/21/06 00:00:00","NORMAL",,0,,,,,,
49,69,"03/24/07 00:00:00","NORMAL",,0,,,,,,
50,69,"03/20/06 00:00:00","INDUCE",,0,,,,,,
51,70,"03/25/08 00:00:00","NORMAL",,0,,,,,,
52,70,"03/17/07 00:00:00","NORMAL",,0,,,,,,
53,70,"03/13/06 00:00:00","NORMAL",,0,,,,,,
54,71,"04/07/08 00:00:00","INDUCE",,0,,,,,,
55,71,"03/08/07 00:00:00","NORMAL",,0,,,,,,
56,71,"03/10/06 00:00:00","NORMAL",,0,,,,,,
57,72,"03/06/07 00:00:00","NORMAL",,0,,,,,,
58,72,"03/05/06 00:00:00","NORMAL",,0,,,,,,
59,73,"03/16/07 00:00:00","NORMAL",,0,,,,,,
60,73,"04/28/06 00:00:00","NORMAL",,0,,,,,,
61,74,"04/17/08 00:00:00","NORMAL",,0,,,,,,
62,74,"03/18/07 00:00:00","NORMAL",,0,,,,,,
63,74,"03/28/06 00:00:00","NORMAL",,0,,,,,,
64,75,"03/11/07 00:00:00","NORMAL",,0,,,,,,
65,75,"03/19/06 00:00:00","NORMAL",,0,,,,,,
66,76,"03/04/07 00:00:00","NORMAL",,0,,,,,,
67,77,"03/22/07 00:00:00","NORMAL",,0,,,,,,
68,77,"04/09/06 00:00:00","NORMAL",,0,,,,,,
69,78,"04/07/07 00:00:00","NORMAL",,0,,,,,,
70,78,"04/30/06 00:00:00","NORMAL",,0,,,,,,
71,79,"03/25/07 00:00:00","INDUCE",,0,,,,,,
72,79,"03/11/06 00:00:00","NORMAL",,0,,,,,,
73,80,"04/15/07 00:00:00","NORMAL",,0,,,,,,
74,80,"03/25/06 00:00:00","NORMAL",,0,,,,,,
75,81,"04/07/08 00:00:00","INDUCE",,0,,,,,,
76,81,"03/17/07 00:00:00","INDUCE",,0,,,,,,
77,81,"03/20/06 00:00:00","INDUCE",,0,,,,,,
78,82,"03/24/07 00:00:00","INDUCE",,0,,,,,,
79,82,"04/19/06 00:00:00","INDUCE",,0,,,,,,
80,83,"04/07/08 00:00:00","INDUCE",,0,,,,,,
81,83,"03/25/07 00:00:00","NORMAL",,0,,,,,,
82,83,"03/20/06 00:00:00","INDUCE",,0,,,,,,
