cat,code,catMaster,catReport,required,retired,comment,Country,inMin,inPilot,SubCode,UserDefined,PDAEventType
"ABORTION","ABORTUNSPEC","DREPRO",0,1,0,"08102000 GRA Added",,,0,0,0,
"ABORTION","BRUCELLOSIS","DREPRO",0,1,0,"08102000 GRA Added",,,0,0,0,
"ABORTION","CAMPYLO","DREPRO",0,1,0,"08102000 GRA Added",,,0,0,0,
"ABORTION","FUNGAL","DREPRO",0,1,0,"08102000 GRA Added",,,0,0,0,
"ABORTION","IATROGENIC","DREPRO",0,1,0,"08102000 GRA Added",,,0,0,0,
"ABORTION","LEPTO","DREPRO",0,1,0,"08102000 GRA Added",,,0,0,0,
"ABORTION","LISTERIA","DREPRO",0,1,0,"08102000 GRA Added",,,0,0,0,
"ABORTION","MACRACARPA","DREPRO",0,1,0,"08102000 GRA Added",,,0,0,0,
"ABORTION","NEOSPORA","DREPRO",0,1,0,"08102000 GRA Added",,,0,0,0,
"ABORTN","BRUCELLOSIS","ABORTN",0,1,0,,,,0,0,0,
"ABORTN","CAMPYLO","ABORTN",0,1,0,,,,0,0,0,
"ABORTN","FUNGAL","ABORTN",0,1,0,,,,0,0,0,
"ABORTN","IATROGENIC","ABORTN",0,1,0,,,,0,0,0,
"ABORTN","LEPTO","ABORTN",0,1,0,,,,0,0,0,
"ABORTN","LISTERIA","ABORTN",0,1,0,,,,0,0,0,
"ABORTN","MACRACARPA","ABORTN",0,1,0,,,,0,0,0,
"ABORTN","NEOSPORA","ABORTN",0,1,0,,,,0,0,0,
"ABORTN","UNDIAGNOSED","ABORTN",0,1,0,,,,0,0,0,
"ABRED","APLAS","ABRED",0,1,0,,,,0,0,0,
"ABRED","CERVIC","ABRED",0,1,0,,,,0,0,0,
"ABRED","CYSTOV","ABRED",0,1,0,,,,0,0,0,
"ABRED","ENDO","ABRED",0,1,0,,,,0,0,0,
"ABRED","FMUMMY","ABRED",0,1,0,,,,0,0,0,
"ABRED","OVARAD","ABRED",0,1,0,,,,0,0,0,
"ABRED","OVARTU","ABRED",0,1,0,,,,0,0,0,
"ABRED","PYOMET","ABRED",0,1,0,,,,0,0,0,
"ABRED","SPECPOS","ABRED",0,1,0,,,,0,0,0,
"ABRED","UTABCS","ABRED",0,1,0,,,,0,0,0,
"ABRED","UTADHN","ABRED",0,1,0,,,,0,0,0,
"ABRED","VAGINI","ABRED",0,1,0,,,,0,0,0,
"ABRED","VAGTER","ABRED",0,1,0,,,,0,0,0,
"ACTIONTAKEN","ALL","ACTIONTAKEN",0,1,0,,,,0,0,0,
"ACTIONTAKEN","COMPARED","ACTIONTAKEN",0,1,0,,,,0,0,0,
"ACTIONTAKEN","EDITED","ACTIONTAKEN",0,1,0,,,,0,0,0,
"ACTIONTAKEN","YTDO","ACTIONTAKEN",0,1,0,,,,0,0,0,
"AGEGP","2YEAR","AGEGP",0,1,0,,,,0,0,0,
"AGEGP","3YEAR","AGEGP",0,1,0,,,,0,0,0,
"AGEGP","4TO8YR","AGEGP",0,1,0,,,,0,0,0,
"AGEGP","9PLUS","AGEGP",0,1,0,,,,0,0,0,
"AGEGP","UNKNWN","AGEGP",0,1,0,,,,0,0,0,
"AGEGPD","4YEAR","AGEGPD",0,1,0,,,,0,0,0,
"AGEGPD","5TO6YR","AGEGPD",0,1,0,,,,0,0,0,
"AGEGPD","7TO8YR","AGEGPD",0,1,0,,,,0,0,0,
"AGEGPD","9PLUS","AGEGPD",0,1,0,,,,0,0,0,
"ARDL","ADD","ARDL",0,1,0,,,,0,0,0,
"ARDL","CHECK","ARDL",0,1,0,,,,0,0,0,
"ARDL","IGNORE","ARDL",0,1,0,,,,0,0,0,
"ARDL","OVERWR","ARDL",0,1,0,,,,0,0,0,
"ARTHRITIS","ARTHRDEG","DLAME",0,1,0,,,,0,0,0,
