short,long,Alias,AliasPDA,notes,Country,inMin,LICCode,CodeFavourite,HistoricCode,CodeDescription,CodeID
"1","One",,,,,,,0,0,,168
"10DAYPERIOD","10 Days",,,,,,,0,0,,169
"2","Two",,,,,,,0,0,,170
"2INDUCT","Second induction",,,"01112000 GRA replaced",,,,0,0,,171
"2LASTSERVICE","2nd Last Service",,,"13082000 GRA Fixed",,,,0,0,,172
"2YEAR","2 Year Old",,,,,,,0,0,,173
"3","Three",,,,,,,0,0,,174
"3INDUCT","Third induction",,,"01112000 GRA Replaced",,,,0,0,,175
"3LASTSERVICE","3rd Last Service",,,"13082000 GRA Fixed",,,,0,0,,176
"3YEAR","3 Year Old",,,,,,,0,0,,177
"4","Four",,,,,,,0,0,,178
"4TO8YR","4 To 8 Year Old",,,,,,,0,0,,179
"4YEAR","4 Year Old",,,,,,,0,0,,180
"5","Five",,,,,,,0,0,,181
"5TO6YR","5 To 6 Year Old",,,,,,,0,0,,182
"5YEAR","5 Year Old",,,,,,,0,0,,183
"6YEAR","6 Year Old",,,,,,,0,0,,184
"7DAYPERIOD","7 Days",,,,,,,0,0,,185
"7TO8YR","7 To 8 Year Old",,,,,,,0,0,,186
"7YEAR","7 Year Old",,,,,,,0,0,,187
"8YEAR","8 Year Old",,,,,,,0,0,,188
"9PLUS","9+ Years Old",,,,,,,0,0,,189
"ABOMASULCR","Abomasal ulcer",,,,,,"AM",0,0,,190
"ABOMASUNSPEC","Abomassal disorder, unspecified",,,"05092000 GRA Added",,,"AM",0,0,,191
"ABORT","Abortion",,,,,,"AB",0,0,,192
"ABORTD","Aborted",,,,,,,0,0,,193
"ABORTION","Abortion reasons",,,"08102000 GRA Added",,,"AB",0,0,,194
"ABORTUNSPEC","Abortion, unspecified",,,"08102000 GRA Added",,,"AB",0,0,,195
"ABREC","Abortion recorded",,,"04092000 GRA fixed",,,,0,0,,196
"ABSCES","Abscess, unspecified",,,"13082000 GRA Fixed",,,"AC",0,0,,197
"ABSUS","Abortion suspected",,,"13082000 GRA Fixed",,,,0,0,,198
"ACALF","Autumn Calf",,,,,,,0,0,,199
"ACCIDENT","Injury or Accident",,,"20112000 GRA Added",,,"IA",0,0,,200
"ACRES","Acres",,,"30012001 GRA Added",,,,0,0,,201
"ADD","Add",,,,,,,0,0,,202
"ADDCODE","Add a new code",,,,,,,0,0,,203
"ADDNEW","<Add New>",,,"11112001 GRA Added",,,,0,0,,775
"ADVGP","Multiple Select",,,,,,,0,0,,204
