CowKey,Herd,CowExternalKey,LifetimeID,PedigreeNumber,ElectronicID,ElectronicFreq,CowNumber,RemovalDate,BirthDate,BoughtDate,ToCullDate,ToCullReason,LactationNumber,LactNumberEst,BW,BWReliability,Name,Breed,Sire,Dam,DamExternalKey,comment,InitialLactationStatus,InitialDueSire,InitialDueDate,RemovalFate,RemovalReason1,RemovalReason2,RemovalReason3,RemovalComment,StockClass,ABVFat,ABVProtein,ABVMilk,TransferID,PW,PWRel,ExpCalfPW,ExpCalfPWRel,ExpCalfBW,ExpCalfBWRel,WithholdStatus,MilkHoldDate,MeatHoldDate,DCTStatus
1,"9/9999",,"ABCD-90-58",,,,"      9058","10/22/06 00:00:00","04/04/05 00:00:00",,,,,0,,,,"F     ","83274","81101",,,,,,"SOLD","FTC",,,,"HEIFER",,,,,,,,,,,,,,
2,"9/9999",,"ABCD-90-69",,,,"      9069","10/22/06 00:00:00","04/19/05 00:00:00",,,,,0,,,,"F12   ","83256","8791",,,,,,"SOLD","FTC",,,,"HEIFER",,,,,,,,,,,,,,
3,"9/9999",,"ABCD-90-32",,,,"      9032","09/25/06 00:00:00","03/15/05 00:00:00",,,,,0,,,,"F     ","84223","866",,,,,,"SOLD",,,,,"HEIFER",,,,,,,,,,,,,,
4,"9/9999",,"ABCD-90-53",,,,"      9053","10/22/06 00:00:00","03/29/05 00:00:00",,,,,0,,,,"F     ","83284","872",,,,,,"SOLD","FTC",,,,"HEIFER",,,,,,,,,,,,,,
5,"9/9999",,"ABCD-90-68",,,,"      9068","10/22/06 00:00:00","04/18/05 00:00:00",,,,,0,,,,"F     ","84284","8558",,,,,,"SOLD","FTC",,,,"HEIFER",,,,,,,,,,,,,,
6,"9/9999",,"ABCD-90-23",,,,"      9023","10/22/06 00:00:00","03/12/05 00:00:00",,,,,0,,,,"F     ","83202","8714",,,,,,"SOLD","FTC",,,,"HEIFER",,,,,,,,,,,,,,
7,"9/9999",,"ABCD-90-35",,,,"      9035","10/22/06 00:00:00","03/16/05 00:00:00",,,,,0,,,,"F     ","83274","8547",,,,,,"SOLD","FTC",,,,"HEIFER",,,,,,,,,,,,,,
8,"9/9999",,"ABCD-90-33",,,,"      9033","09/25/06 00:00:00","03/15/05 00:00:00",,,,,0,,,,"F12   ","84264","8542",,,,,,"SOLD",,,,,"HEIFER",,,,,,,,,,,,,,
9,"9/9999",,"ABCD-84-82",,,,"        10","08/23/07 00:00:00","08/10/99 00:00:00",,,,3,1,,,"PURPLE - 92","F     ","76219",,,,,,,"DIED","UNKNWN",,,,"COW",,,,,,,,,,,,,,
10,"9/9999",6740973,"ABCD-88-5",,,,"        11","02/17/07 00:00:00","03/21/03 00:00:00",,,,2,0,,,"BLUE - 5","F     ","78229","9/9999/DAISY",,,,,,"CULLED","FTC",,,,"COW",,,,,,,,,,,,,,
11,"9/9999",6740981,"ABCD-88-6",,,,"        15","02/17/07 00:00:00","03/24/03 00:00:00",,,,2,0,,,"BLUE - 6","F     ","82266","9/9999/DAISY",,,,,,"CULLED","FTC",,,,"COW",,,,,,,,,,,,,,
12,"9/9999",7304640,"ABCD-89-2",,,,"        17","02/17/07 00:00:00","03/03/04 00:00:00",,,,1,0,,,,"F12   ","83256","ABCD-85-68",,,,,,"CULLED","FTC",,,,"COW",,,,,,,,,,,,,,
13,"9/9999",7264551,"ABCD-87-7",,,,"        18","02/17/07 00:00:00","03/29/02 00:00:00",,,,3,0,,,"ORANGE - 7","F     ","81221","260564",,,,,,"CULLED","FTC",,,,"COW",,,,,,,,,,,,,,
14,"9/9999",6001187,"ABCD-85-40",,,,"        22","02/25/07 00:00:00","01/29/00 00:00:00",,"02/17/07 00:00:00","ABORT",5,0,,,"GREEN - 40","F8    ",,"9/9999/DAISY",,,,,,"CULLED","FTC",,,,"COW",,,,,,,,,,,,,,
15,"9/9999",2447589,"9/9999/82/8243",,,,"        24","02/25/07 00:00:00","03/17/97 00:00:00",,,,7,0,,,"BLUE - 43","F     ","76245",,,,,,,"CULLED","FTC",,,,"COW",,,,,,,,,,,,,,
16,"9/9999",5522419,"ABCD-86-45",,,,"        34","03/15/07 00:00:00","08/22/01 00:00:00",,,,4,0,,,"YELLOW - 45","F     ","81252","9/9999/DAISY",,,,,,"DIED","MLKFEV","BLOATREM",,,"COW",,,,,,,,,,,,,,
17,"9/9999",1851509,"9/9999/79/7926",,,,"        42","02/25/07 00:00:00","04/13/94 00:00:00",,,,7,0,,,"PURPLE - 26","F8 X8 ","73245",,,,,,,"CULLED","FTC",,,,"COW",,,,,,,,,,,,,,
18,"9/9999",2447615,"9/9999/82/8292",,,,"        49","02/17/07 00:00:00","08/12/97 00:00:00",,,,6,0,,,"PURPLE - 92","F     ","76219",,,,,,,"CULLED","FTC",,,,"COW",,,,,,,,,,,,,,
