diseaseKey,cowKey,disDate,disType,VF,TechnicianID,Reason,Quarter,Comment,EventCode,EventKey
1,36,"02/04/07 00:00:00","DMAST","FARMER",,"MAST",,,,
2,39,"04/18/07 00:00:00","DMISC",,,"FOGFEV",,"(Suspected)",,
3,41,"03/31/07 00:00:00","DLAME","FARMER",,"LAME","FLEFT",,,
4,65,"06/22/07 00:00:00","DLAME","FARMER",,"LAME","FRIGHT","opened/cleaned",,
5,65,"12/23/07 00:00:00","DLAME","FARMER",,"LAME","BRIGHT",,,
6,67,"11/03/07 00:00:00","DMAST","FARMER",,"MAST","BLEFT",,,
7,69,"03/24/07 00:00:00","DMAST","FARMER",,"MAST","BLEFT",,,
8,70,"04/22/07 00:00:00","DLAME","FARMER",,"LAME","BRIGHT","Tendon injury",,
9,70,"06/22/07 00:00:00","DLAME","FARMER",,"LAME","BRIGHT","opened/cleaned",,
10,72,"03/11/07 00:00:00","DMAST",,,"MAST","BRIGHT",,,
11,72,"08/19/07 00:00:00","DLAME","FARMER",,"LAME","BLEFT",,,
12,73,"02/04/07 00:00:00","DMAST","FARMER",,"MAST",,,,
13,74,"05/07/08 00:00:00","DLAME","FARMER",,"LAME","BRIGHT","opened/cleaned",,
14,74,"08/15/07 00:00:00","DLAME","FARMER",,"LAME","BRIGHT","opened/cleaned",,
15,75,"05/11/07 00:00:00","DLAME","FARMER",,"LAME","FRIGHT","cleaned/opened",,
16,76,"05/04/07 00:00:00","DMISC","FARMER",,"MALCAT",,,,
17,77,"07/21/07 00:00:00","DLAME","FARMER",,"LAME","BLEFT","opened/cleaned",,
18,78,"07/13/07 00:00:00","DLAME","FARMER",,"LAME","FRIGHT",,,
19,79,"10/20/07 00:00:00","DLAME","FARMER",,"FTROT","BRIGHT",,,
20,79,"11/04/07 00:00:00","DLAME","FARMER",,"LAME","FRIGHT",,,
21,80,"06/15/07 00:00:00","DLAME","FARMER",,"LAME","FRIGHT","opened/cleaned",,
22,83,"06/26/07 00:00:00","DMAST","FARMER",,"MAST","BRIGHT","opened/cleaned",,
23,83,"08/15/07 00:00:00","DMAST","FARMER",,"MAST","BLEFT",,,
24,84,"05/11/07 00:00:00","DLAME","FARMER",,"LAME","BLEFT","opened/cleaned",,
25,84,"06/30/07 00:00:00","DLAME","FARMER",,"LAME","BRIGHT","opened/cleaned",,
26,84,"12/09/07 00:00:00","DMAST","FARMER",,"MAST","BLEFT",,,
27,85,"03/15/07 00:00:00","DMETAB","FARMER",,"MLKFEV",,,,
28,85,"03/19/07 00:00:00","DLAME","FARMER",,"LAME","BRIGHT",,,
29,85,"06/28/07 00:00:00","DLAME","FARMER",,"LAME","BLEFT","opened/cleaned",,
30,85,"08/12/07 00:00:00","DLAME","FARMER",,"LAME","BLEFT","opened/cleaned",,
31,86,"09/25/07 00:00:00","DLAME","FARMER",,"LAME","BLEFT",,,
32,89,"08/11/07 00:00:00","DLAME","FARMER",,"LAME","BLEFT","cleaned/clear",,
33,89,"08/14/07 00:00:00","DLAME","FARMER",,"LAME","BLEFT",,,
34,91,"03/28/07 00:00:00","DMAST","FARMER",,"MAST","BRIGHT",,,
35,91,"08/03/07 00:00:00","DLAME","FARMER",,"LAME","BRIGHT","opened/cleaned",,
36,93,"06/23/07 00:00:00","DMAST","FARMER",,"MAST","FLEFT",,,
37,93,"08/19/07 00:00:00","DMAST","FARMER",,"MAST","BLEFT",,,
38,93,"09/10/07 00:00:00","DLAME","FARMER",,"LAME","BRIGHT","opened/cleaned",,
39,93,"12/13/06 00:00:00","DLAME","FARMER",,"LAME","BRIGHT",,,
40,95,"03/19/07 00:00:00","DMETAB","FARMER",,"MLKFEV",,,,
41,95,"08/10/07 00:00:00","DLAME","FARMER",,"LAME","BRIGHT","opened/cleaned",,
42,95,"08/12/07 00:00:00","DLAME","FARMER",,"LAME","BRIGHT",,,
43,96,"04/08/08 00:00:00","DMAST","FARMER",,"MAST","FLEFT",,,
44,96,"04/09/08 00:00:00","DMETAB","FARMER",,"MLKFEV",,,,
45,96,"02/04/07 00:00:00","DMAST","FARMER",,"MAST","FRIGHT",,,
46,97,"08/07/07 00:00:00","DLAME","FARMER",,"LAME","BRIGHT",,,
47,99,"02/04/07 00:00:00","DMAST","FARMER",,"MAST","FLEFT",,,
48,100,"08/17/07 00:00:00","DLAME","FARMER",,"LAME","FLEFT",,,
49,100,"09/21/07 00:00:00","DLAME","FARMER",,"LAME","BRIGHT","opened/cleaned",,
50,100,"12/23/07 00:00:00","DLAME","FARMER",,"LAME","BRIGHT","opened/cleaned",,
51,100,"03/04/07 00:00:00","DLAME","FARMER",,"LAME","BRIGHT","20ml Mylipen",,
52,101,"09/23/08 00:00:00","DMAST","FARMER",,"MAST","BLEFT",,,
53,101,"09/25/08 00:00:00","DMAST","FARMER",,"MAST","BLEFT",,,
54,101,"08/11/07 00:00:00","DLAME","FARMER",,"LAME","BRIGHT","opned/cleaned",,
55,102,"04/08/08 00:00:00","DREPRO","FARMER",,"RETMEM",,,,
56,103,"03/11/07 00:00:00","DREPRO","FARMER",,"RETMEM",,,,
57,104,"04/26/08 00:00:00","DLAME","FARMER",,"LAME","BRIGHT",,,
58,104,"06/07/08 00:00:00","DMAST","FARMER",,"MAST","FLEFT",,,
59,104,"05/11/07 00:00:00","DMETAB","FARMER",,"MLKFEV",,,,
60,104,"08/12/07 00:00:00","DLAME","FARMER",,"LAME","BLEFT","opened/cleaned",,
61,104,"08/23/07 00:00:00","DLAME","FARMER",,"LAME","BRIGHT",,,
62,104,"10/09/07 00:00:00","DLAME","FARMER",,"WTLINE","BRIGHT",,,
63,105,"08/10/07 00:00:00","DLAME","FARMER",,"LAME","FRIGHT","opened/cleaned",,
64,106,"03/15/08 00:00:00","DREPRO","FARMER",,"RETMEM",,,,
65,106,"03/24/07 00:00:00","DMAST","FARMER",,"MAST","FRIGHT",,,
66,109,"07/22/08 00:00:00","DLAME","FARMER",,"LAME","BLEFT",,,
67,109,"05/05/07 00:00:00","DMETAB","FARMER",,"MLKFEV",,,,
68,109,"05/08/07 00:00:00","DREPRO","FARMER",,"RETMEM",,,,
69,111,"07/22/08 00:00:00","DLAME","FARMER",,"LAME","BRIGHT",,,
70,111,"08/07/08 00:00:00","DLAME","FARMER",,"LAME","BRIGHT",,,
71,111,"04/27/07 00:00:00","DMAST","FARMER",,"MAST","BLEFT",,,
72,111,"05/03/07 00:00:00","DMAST","FARMER",,"MAST","BLEFT",,,
73,113,"09/09/07 00:00:00","DLAME","FARMER",,"BRUISE","BRIGHT",,,
74,113,"09/24/07 00:00:00","DLAME","FARMER",,"LAME","FRIGHT",,,
76,115,"05/11/07 00:00:00","DLAME","FARMER",,"LAME","BRIGHT","opened/cleaned",,
79,118,"04/05/08 00:00:00","DREPRO","FARMER",,"RETMEM",,,,
80,120,"06/29/08 00:00:00","DLAME","FARMER",,"LAME","BLEFT","opened/cleaned",,
81,120,"12/09/08 00:00:00","DLAME","FARMER",,"LAME","BLEFT",,,
82,120,"12/29/08 00:00:00","DLAME","FARMER",,"LAME","BLEFT",,,
83,120,"05/16/07 00:00:00","DLAME","FARMER",,"LAME","BRIGHT",,,
84,120,"09/21/07 00:00:00","DLAME","FARMER",,"LAME","FRIGHT","opened/cleaned",,
85,120,"09/25/07 00:00:00","DLAME","FARMER",,"LAME","BLEFT",,,
86,120,"02/15/08 00:00:00","DMAST","FARMER",,"MAST","BLEFT",,,
87,122,"07/05/08 00:00:00","DLAME","FARMER",,"LAME","BRIGHT","opened/cleaned",,
88,122,"09/10/07 00:00:00","DLAME","FARMER",,"LAME","BLEFT","opened/cleaned",,
89,124,"07/26/08 00:00:00","DLAME","FARMER",,"LAME","BLEFT","opened/cleaned",,
90,124,"08/31/08 00:00:00","DLAME","FARMER",,"LAME","BRIGHT","opened/cleaned",,
91,124,"04/30/07 00:00:00","DMETAB","FARMER",,"MLKFEV",,,,
92,124,"02/04/07 00:00:00","DMAST","FARMER",,"MAST","BLEFT",,,
93,127,"08/14/07 00:00:00","DLAME","FARMER",,"BRUISE","FLEFT",,,
94,128,"03/18/08 00:00:00","DMAST","FARMER",,"MAST","BRIGHT",,,
95,128,"04/23/08 00:00:00","DLAME","FARMER",,"LAME","FLEFT","opened/cleaned",,
96,128,"05/11/07 00:00:00","DREPRO","VET",,"OSTDYS",,,,
97,128,"06/24/07 00:00:00","DLAME","FARMER",,"LAME","FLEFT","checked/nothing",,
98,128,"08/11/07 00:00:00","DLAME","FARMER",,"LAME","BRIGHT","opened/cleaned",,
99,130,"04/23/08 00:00:00","DLAME","FARMER",,"LAME","BRIGHT","opened/cleaned",,
100,132,"03/25/08 00:00:00","DMETAB","FARMER",,"MLKFEV",,,,
101,132,"04/05/07 00:00:00","DMETAB","FARMER",,"MLKFEV",,,,
103,134,"01/04/09 00:00:00","DMAST","FARMER",,"MAST","BLEFT",,,
104,134,"08/20/07 00:00:00","DMAST","FARMER",,"MAST","FLEFT",,,
105,134,"08/27/07 00:00:00","DMAST","FARMER",,"MAST","FLEFT",,,
106,135,"02/01/09 00:00:00","DMAST","FARMER",,"MAST",,,,
107,135,"04/01/07 00:00:00","DREPRO","FARMER",,"RETMEM",,,,
108,135,"08/27/07 00:00:00","DMAST","FARMER",,"MAST","BRIGHT",,,
110,137,"05/21/08 00:00:00","DREPRO","FARMER",,"METRIT",,,,
112,139,"07/24/07 00:00:00","DLAME","FARMER",,"LAME","FRIGHT","clear",,
113,139,"03/26/08 00:00:00","DMETAB","FARMER",,"MLKFEV",,,,
114,140,"04/05/08 00:00:00","DMETAB","FARMER",,"MLKFEV",,,,
115,140,"08/04/08 00:00:00","DMISC","VET",,"WGTLOS",,"Unknown diag",,
116,140,"08/14/07 00:00:00","DLAME","FARMER",,"LAME","BLEFT","opened/cleaned",,
117,140,"02/03/07 00:00:00","DMAST","FARMER",,"MAST",,,,
118,141,"05/27/08 00:00:00","DLAME","FARMER",,"BRUISE","BRIGHT",,,
119,143,"11/03/08 00:00:00","DLAME","FARMER",,"LAME","BLEFT","opened/cleaned",,
120,143,"05/18/07 00:00:00","DLAME","FARMER",,"LAME","BRIGHT","opened/cleaned",,
121,144,"02/01/09 00:00:00","DMAST","FARMER",,"MAST","BRIGHT",,,
122,144,"08/25/07 00:00:00","DLAME","FARMER",,"BRUISE","FLEFT",,,
123,145,"06/29/08 00:00:00","DLAME","FARMER",,"LAME","BLEFT","opened/cleaned",,
124,145,"07/22/08 00:00:00","DLAME","FARMER",,"LAME","BLEFT",,,
125,145,"08/12/08 00:00:00","DLAME","FARMER",,"LAME","BLEFT",,,
126,145,"02/04/07 00:00:00","DMAST","FARMER",,"MAST","FLEFT",,,
127,146,"09/25/07 00:00:00","DLAME","FARMER",,"LAME","BLEFT",,,
128,147,"02/01/09 00:00:00","DMAST","FARMER",,"MAST","BLEFT",,,
129,149,"07/02/08 00:00:00","DLAME","FARMER",,"LAME",,"opened/cleaned",,
130,149,"01/24/06 00:00:00","DLAME","FARMER",,"LAME","FLEFT",,,
