doKey,cowKey,doDate,comment,reason
1,10,"01/27/07 00:00:00",,
2,11,"01/27/07 00:00:00",,
3,12,"01/27/07 00:00:00",,
4,13,"01/27/07 00:00:00",,
5,14,"01/27/07 00:00:00",,
6,15,"01/27/07 00:00:00",,
7,16,"01/27/07 00:00:00",,
8,17,"01/27/07 00:00:00",,
9,18,"01/27/07 00:00:00",,
10,19,"01/27/07 00:00:00",,
11,20,"01/27/07 00:00:00",,
12,22,"01/27/07 00:00:00",,
13,23,"01/27/07 00:00:00",,
14,24,"01/27/07 00:00:00",,
15,25,"01/27/07 00:00:00",,
16,26,"01/27/07 00:00:00",,
17,27,"01/27/07 00:00:00",,
18,28,"01/27/07 00:00:00",,
19,29,"01/17/07 00:00:00",,
20,30,"01/27/07 00:00:00",,
21,31,"01/27/07 00:00:00",,
22,32,"01/27/07 00:00:00",,
23,33,"01/27/07 00:00:00",,
24,34,"01/27/07 00:00:00",,
25,35,"01/27/07 00:00:00",,
26,36,"01/27/07 00:00:00",,
27,37,"01/27/07 00:00:00",,
28,38,"01/27/07 00:00:00",,
29,40,"01/27/07 00:00:00",,
30,43,"01/27/07 00:00:00",,
31,44,"01/27/07 00:00:00",,
32,65,"01/15/08 00:00:00",,
33,65,"01/17/07 00:00:00",,
34,65,"01/17/06 00:00:00",,
35,66,"02/05/08 00:00:00",,
36,66,"01/27/07 00:00:00",,
37,67,"02/05/08 00:00:00",,
38,67,"01/27/07 00:00:00",,
39,68,"02/05/08 00:00:00",,
40,68,"01/27/07 00:00:00",,
41,69,"02/05/08 00:00:00",,
42,69,"01/27/07 00:00:00",,
43,70,"01/15/08 00:00:00",,
44,70,"01/17/07 00:00:00",,
45,71,"09/09/07 00:00:00",,
46,71,"01/17/07 00:00:00",,
47,72,"02/05/08 00:00:00",,
48,72,"01/17/07 00:00:00",,
49,73,"02/05/08 00:00:00",,
50,73,"01/17/07 00:00:00",,
51,74,"01/15/08 00:00:00",,
52,74,"01/27/07 00:00:00",,
53,75,"11/04/07 00:00:00",,
54,75,"01/17/07 00:00:00",,
