HeatKey,CowKey,heatDate,comment,HeatObservedBy,HeatDetectionMethod,HeatDetectionCertainty,TechnicianID
1,10,"05/28/06 00:00:00",,,,,
2,11,"05/24/06 00:00:00",,,,,
3,12,"04/22/06 00:00:00",,,,,
4,12,"05/13/06 00:00:00",,,,,
5,13,"05/05/06 00:00:00",,,,,
6,13,"05/27/06 00:00:00",,,,,
7,14,"04/21/06 00:00:00",,,,,
8,14,"05/14/06 00:00:00",,,,,
9,15,"05/27/06 00:00:00",,,,,
10,16,"04/29/06 00:00:00",,,,,
11,16,"05/21/06 00:00:00",,,,,
12,17,"04/28/06 00:00:00",,,,,
13,17,"05/15/06 00:00:00",,,,,
14,18,"05/17/06 00:00:00",,,,,
15,19,"05/10/06 00:00:00",,,,,
16,20,"05/05/06 00:00:00",,,,,
17,21,"05/30/07 00:00:00",,,,,
18,22,"05/27/06 00:00:00",,,,,
19,27,"04/22/06 00:00:00",,,,,
20,27,"05/11/06 00:00:00",,,,,
21,29,"04/26/06 00:00:00",,,,,
22,30,"05/06/06 00:00:00",,,,,
23,32,"04/22/06 00:00:00",,,,,
24,32,"05/13/06 00:00:00",,,,,
25,33,"05/28/06 00:00:00",,,,,
26,34,"05/23/06 00:00:00",,,,,
27,35,"04/30/06 00:00:00",,,,,
28,38,"05/24/06 00:00:00",,,,,
29,40,"05/28/06 00:00:00",,,,,
30,65,"05/13/08 00:00:00",,,,,
31,66,"05/18/07 00:00:00",,,,,
32,66,"05/31/07 00:00:00",,,,,
33,66,"04/29/06 00:00:00",,,,,
34,66,"05/27/06 00:00:00",,,,,
35,67,"05/23/08 00:00:00",,,,,
36,67,"05/14/07 00:00:00",,,,,
37,67,"05/31/07 00:00:00",,,,,
38,68,"05/21/06 00:00:00",,,,,
39,69,"04/30/06 00:00:00",,,,,
40,69,"05/24/06 00:00:00",,,,,
41,70,"05/24/07 00:00:00",,,,,
42,70,"04/30/06 00:00:00",,,,,
43,71,"05/18/07 00:00:00",,,,,
44,71,"05/18/06 00:00:00",,,,,
45,72,"04/18/06 00:00:00",,,,,
46,72,"05/13/06 00:00:00",,,,,
47,73,"05/18/07 00:00:00",,,,,
48,73,"05/27/07 00:00:00",,,,,
49,73,"05/31/07 00:00:00",,,,,
50,73,"05/04/06 00:00:00",,,,,
51,73,"05/21/06 00:00:00",,,,,
52,74,"05/12/08 00:00:00",,,,,
53,74,"05/29/08 00:00:00",,,,,
54,74,"05/22/07 00:00:00",,,,,
55,74,"04/17/06 00:00:00",,,,,
56,74,"05/09/06 00:00:00",,,,,
57,74,"05/29/06 00:00:00",,,,,
58,75,"05/16/07 00:00:00",,,,,
59,75,"05/23/07 00:00:00",,,,,
60,75,"04/18/06 00:00:00",,,,,
61,75,"04/28/06 00:00:00",,,,,
62,75,"05/18/06 00:00:00",,,,,
63,76,"05/28/07 00:00:00",,,,,
64,77,"05/12/07 00:00:00",,,,,
65,77,"05/07/06 00:00:00",,,,,
66,77,"05/08/06 00:00:00",,,,,
67,77,"05/29/06 00:00:00",,,,,
68,78,"05/18/07 00:00:00",,,,,
69,79,"04/25/06 00:00:00",,,,,
70,80,"05/24/07 00:00:00",,,,,
71,80,"05/04/06 00:00:00",,,,,
72,80,"05/22/06 00:00:00",,,,,
73,81,"05/12/08 00:00:00",,,,,
74,81,"05/21/06 00:00:00",,,,,
75,82,"05/05/06 00:00:00",,,,,
76,83,"05/13/08 00:00:00",,,,,
77,83,"05/14/07 00:00:00",,,,,
78,83,"04/30/06 00:00:00",,,,,
79,83,"05/23/06 00:00:00",,,,,
80,84,"05/06/06 00:00:00",,,,,
81,84,"05/27/06 00:00:00",,,,,
82,85,"04/30/06 00:00:00",,,,,
83,85,"05/22/06 00:00:00",,,,,
84,89,"05/21/07 00:00:00",,,,,
85,89,"05/29/06 00:00:00",,,,,
86,90,"05/26/07 00:00:00",,,,,
87,90,"05/27/07 00:00:00",,,,,
88,91,"05/12/07 00:00:00",,,,,
89,91,"05/09/06 00:00:00",,,,,
90,92,"05/30/07 00:00:00",,,,,
91,93,"05/26/07 00:00:00",,,,,
92,93,"05/02/06 00:00:00",,,,,
93,93,"05/24/06 00:00:00",,,,,
94,94,"05/29/08 00:00:00",,,,,
95,94,"05/29/07 00:00:00",,,,,
96,94,"04/22/06 00:00:00",,,,,
97,94,"05/11/06 00:00:00",,,,,
98,95,"05/23/07 00:00:00",,,,,
99,95,"05/31/07 00:00:00",,,,,
100,95,"05/25/06 00:00:00",,,,,
101,96,"05/06/06 00:00:00",,,,,
102,96,"05/13/06 00:00:00",,,,,
103,97,"05/01/06 00:00:00",,,,,
