joinKey,cowKey,jsDate,jeDate,joinSire,jsComment,jeComment
1,9,"07/13/07 00:00:00",,"000000",,
2,65,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
3,66,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
4,67,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
5,68,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
6,69,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
7,70,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
8,71,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
9,72,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
10,73,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
11,74,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
12,75,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
13,76,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
14,77,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
15,78,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
16,79,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
17,80,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
18,81,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
19,82,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
20,83,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
21,84,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
22,85,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
23,86,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
24,87,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
25,88,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
26,89,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
27,90,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
28,91,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
29,92,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
30,93,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
31,94,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
32,95,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
33,96,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
34,97,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
35,98,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
36,99,"07/13/07 00:00:00","08/24/07 00:00:00",,,
37,100,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
38,101,"07/12/08 00:00:00","08/27/08 00:00:00",,,
39,101,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
40,102,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
41,103,"07/12/08 00:00:00","08/27/08 00:00:00",,,
42,103,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
43,104,"07/12/08 00:00:00",,,,
44,104,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
45,105,"07/12/08 00:00:00","08/27/08 00:00:00",,,
46,105,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
47,106,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
48,107,"07/12/08 00:00:00","08/27/08 00:00:00",,,
49,107,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
50,108,"07/12/08 00:00:00","08/27/08 00:00:00",,,
51,108,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
52,109,"07/12/08 00:00:00","08/27/08 00:00:00",,,
53,109,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
54,110,"07/12/08 00:00:00","08/27/08 00:00:00",,,
55,111,"07/12/08 00:00:00","08/27/08 00:00:00",,,
56,111,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
57,112,"07/12/08 00:00:00","08/27/08 00:00:00",,,
58,112,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
59,113,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
60,114,"07/12/08 00:00:00","08/27/08 00:00:00",,,
61,114,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
62,115,"07/12/08 00:00:00","08/27/08 00:00:00",,,
63,115,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
64,116,"07/12/08 00:00:00","08/27/08 00:00:00",,,
65,116,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
66,117,"07/12/08 00:00:00","08/27/08 00:00:00",,,
67,117,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
68,118,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
69,119,"07/12/08 00:00:00","08/27/08 00:00:00",,,
70,119,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
71,120,"07/12/08 00:00:00","08/27/08 00:00:00",,,
72,120,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
73,121,"07/12/08 00:00:00",,,,
74,121,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
75,122,"07/12/08 00:00:00","08/27/08 00:00:00",,,
76,122,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
77,123,"07/12/08 00:00:00","08/27/08 00:00:00",,,
78,123,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
79,124,"07/12/08 00:00:00","08/27/08 00:00:00",,,
80,124,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
81,125,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
82,126,"07/12/08 00:00:00","08/27/08 00:00:00",,,
83,126,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
84,127,"07/12/08 00:00:00","08/27/08 00:00:00",,,
85,127,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
86,128,"07/12/08 00:00:00","08/27/08 00:00:00",,,
