EventKey,CowKey,evDate,evType,VF,TechnicianID,Reason,Diagnosis,Extra,Comment,LinkedEvent
1,43,"01/17/07 00:00:00","GRAZOF",,,,,,,0
2,44,"01/17/07 00:00:00","GRAZOF",,,,,,,0
3,129,"01/17/07 00:00:00","GRAZOF",,,,,,,0
4,201,"01/17/07 00:00:00","GRAZOF",,,,,,,0
5,226,"01/17/07 00:00:00","GRAZOF",,,,,,,0
6,270,"01/17/07 00:00:00","GRAZOF",,,,,,,0
7,277,"01/17/07 00:00:00","GRAZOF",,,,,,,0
8,294,"01/17/07 00:00:00","GRAZOF",,,,,,,0
9,315,"01/17/07 00:00:00","GRAZOF",,,,,,,0
10,316,"01/17/07 00:00:00","GRAZOF",,,,,,,0
11,507,"01/17/07 00:00:00","GRAZOF",,,,,,,0
12,651,"01/17/07 00:00:00","GRAZOF",,,,,,,0
