type,name,fKey,ServDetailID
"BATCH","EB622",0,1
"BATCH","ea136",0,2
"BATCH","8688",0,3
"BATCH","Hu6097",0,4
"BATCH","EB804",0,5
"BATCH","NQ98",0,6
"BATCH","AA278",0,7
"BATCH","ED275",0,8
"BATCH","EA398",0,9
"BATCH","EB507",0,10
"BATCH","ED244",0,11
"BATCH","ED224",0,12
"BATCH","ED542",0,13
"BATCH","AO17",0,14
"BATCH","A018",0,15
"BATCH","XM94",0,16
"BATCH","AO19",0,17
"BATCH","AO21",0,18
"BATCH","AO22",0,19
"BATCH","AO23",0,20
"BATCH","AO24",0,21
"BATCH","AO25",0,22
"BATCH","AO26",0,23
"BATCH","AO28",0,24
"BATCH","EC857",0,25
"BATCH","AO31",0,26
"BATCH","AO33",0,27
"BATCH","AO35",0,28
"BATCH","AO36",0,29
"BATCH","AO37",0,30
"BATCH","AO97",0,31
"BATCH","AO99",0,32
"BATCH","AI01",0,33
"BATCH","AI14",0,34
"BATCH","AI10",0,35
"BATCH","A125",0,36
"BATCH","A127",0,37
"BATCH","A130",0,38
"BATCH","A142",0,39
"BATCH","A145",0,40
"BATCH","AI45",0,41
"BATCH","AI66",0,42
"BATCH","AI65",0,43
"BATCH","AI69",0,44
"BATCH","F354",0,45
"BATCH","EA372",0,46
"BATCH","AI96",0,47
"BATCH","A202",0,48
"BATCH","A221",0,49
"BATCH","A224",0,50
"BATCH","A225",0,51
"BATCH","A251",0,52
"BATCH","A249",0,53
"BATCH","A277",0,54
"BATCH","A281",0,55
"BATCH","A278",0,56
"BATCH","A302",0,57
"BATCH","A303",0,58
"BATCH","A308",0,59
"BATCH","A326",0,60
"BATCH","A328",0,61
"BATCH","A332",0,62
"BATCH","A349",0,63
"BATCH","M937",0,64
"BATCH","A345",0,65
"BATCH","E A372",0,66
"BATCH","A368",0,67
"BATCH","M937",0,68
"BATCH","M937",0,69
"BATCH","A373",0,70
"BATCH","A387",0,71
"BATCH","A406",0,72
"TECH","ctgw",0,73
"TECH","jpwp",0,74
"TECH","cydx",0,75
"TECH","cvcx",0,76
"TECH","JQPM",0,77
