LifetimeID,Name,PedigreeName,Breed,DamLifetimeID,SireLifetimeID,BWRel,FatRel,ProteinRel,MilkRel,WeightRel,SurvivalRel,BW,FatBV,ProteinBV,MilkBV,WeightBV,SurvivalBV,DateBWUpdated,FirstDateUsed,LastDateUsed,FatProtRel,FatProtABV,CodeID
"000000",,,,,,,,,,,,,,,,,,"06/28/92 00:00:00","11/30/97 00:00:00",,,,1
"20274",,,,,,,,,,,,,,,,,,"06/12/96 00:00:00","06/12/96 00:00:00",,,,2
"21208",,,,,,,,,,,,,,,,,,"06/11/96 00:00:00","06/11/96 00:00:00",,,,3
"24205",,,,,,,,,,,,,,,,,,"10/13/98 00:00:00","10/14/98 00:00:00",,,,4
"290274",,,,,,,,,,,,,,,,,,"11/22/97 00:00:00","11/22/97 00:00:00",,,,5
"608746",,,,,"32.9",,,,,,-3.2000,,,,,,35888.0000,,,,,,6
"63684",,,,,"99",,,,,,58.6000,,,,,,35653.0000,,,,,,7
"662033",,,,,"93.1",,,,,,104.5000,,,,,,35888.0000,,,,,,8
"662163",,,,,,,,,,,,,,,,,,"11/02/95 00:00:00","11/02/95 00:00:00",,,,9
"662637",,,,,"94.6",,,,,,91.0000,,,,,,35888.0000,,,,,,10
"666050",,"Swedish Red",,,,,,,,,,,,,,,,"06/03/98 00:00:00","06/09/98 00:00:00",,,,11
"71285",,,,,,,,,,,,,,,,,,"10/24/98 00:00:00","10/24/98 00:00:00",,,,12
"75217",,,,,,,,,,,,,,,,,,"11/12/98 00:00:00","11/12/98 00:00:00",,,,13
"76264",,,,,"99",,,,,,8.1000,,,,,,35888.0000,,,,,,14
"77209",,,,,"99",,,,,,30.2000,,,,,,35888.0000,,,,,,15
"80224",,,,,"99",,,,,,9.9000,,,,,,35888.0000,,,,,,16
"80241",,,,,"99",,,,,,13.2000,,,,,,35888.0000,,,,,,17
"80279",,,,,,,,,,,,,,,,,,"06/03/92 00:00:00","06/03/92 00:00:00",,,,18
"81246",,,,,"99",,,,,,14.5000,,,,,,35804.0000,,,,,,19
"81252",,,,,"99",,,,,,39.5000,,,,,,35678.0000,,,,,,20
"82228",,,,,"99",,,,,,11.5000,,,,,,35888.0000,,,,,,21
"82252",,,,,"99",,,,,,-9.1000,,,,,,35888.0000,,,,,,22
"82279",,,,,"99",,,,,,39.3000,,,,,,35678.0000,,,,,,23
"82282",,,,,"99",,,,,,10.2000,,,,,,35804.0000,,,,,,24
"83209",,,,,"99",,,,,,-5.9000,,,,,,35888.0000,,,,,,25
"83246",,,,,"99",,,,,,21.9000,,,,,,35804.0000,,,,,,26
"83253",,,,,"99",,,,,,-27.9000,,,,,,35888.0000,,,,,,27
"83256",,,,,"99",,,,,,7.2000,,,,,,35888.0000,,,,,,28
"83274",,,,,"99",,,,,,50.7000,,,,,,35888.0000,,,,,,29
"83283",,,,,"99",,,,,,37.1000,,,,,,35888.0000,,,,,,30
"84223",,,,,"99",,,,,,41.4000,,,,,,35888.0000,,,,,,31
"84260",,,,,"99",,,,,,47.3000,,,,,,35888.0000,,,,,,32
"84264",,,,,"99",,,,,,62.1000,,,,,,35888.0000,,,,,,33
"84284",,,,,"99",,,,,,18.1000,,,,,,35888.0000,,,,,,34
"85203",,,,,"99",,,,,,53.6000,,,,,,35888.0000,,,,,,35
"85210",,,,,"99",,,,,,67.9000,,,,,,35888.0000,,,,,,36
"85264",,,,,"99",,,,,,60.9000,,,,,,35888.0000,,,,,,37
"85268",,,,,"99",,,,,,79.4000,,,,,,35888.0000,,,,,,38
"85273",,,,,"99",,,,,,39.3000,,,,,,35888.0000,,,,,,39
"86202",,,,,"99",,,,,,26.6000,,,,,,35888.0000,,,,,,40
"86279",,,,,"99",,,,,,61.2000,,,,,,35888.0000,"06/04/92 00:00:00","06/11/92 00:00:00",,,,41
"87203",,,,,"99",,,,,,44.3000,,,,,,35888.0000,"06/02/92 00:00:00","11/16/95 00:00:00",,,,42
"87205",,,,,"99",,,,,,30.4000,,,,,,35888.0000,,,,,,43
"87208",,,,,"99",,,,,,59.6000,,,,,,35888.0000,"06/03/92 00:00:00","06/10/92 00:00:00",,,,44
"87224",,,,,"99",,,,,,57.9000,,,,,,35888.0000,"06/01/92 00:00:00","11/05/93 00:00:00",,,,45
"87233",,,,,"99",,,,,,53.0000,,,,,,35888.0000,"06/03/92 00:00:00","06/20/94 00:00:00",,,,46
"87268",,,,,"99",,,,,,27.3000,,,,,,35888.0000,"06/04/92 00:00:00","07/04/92 00:00:00",,,,47
"87284",,,,,"98.9",,,,,,27.3000,,,,,,35888.0000,"06/28/93 00:00:00","06/28/93 00:00:00",,,,48
"88215",,,,,"97.5",,,,,,32.2000,,,,,,35864.0000,,,,,,49
"88224",,,,,,,,,,,,,,,,,,"07/06/92 00:00:00","07/06/92 00:00:00",,,,50
"88225",,,,,"99",,,,,,72.9000,,,,,,35888.0000,"07/10/92 00:00:00","07/06/94 00:00:00",,,,51
"88241",,,,,"99",,,,,,49.2000,,,,,,35888.0000,"06/04/93 00:00:00","07/12/93 00:00:00",,,,52
"88264",,,,,"98.8",,,,,,11.9000,,,,,,35888.0000,,,,,,53
"88269",,,,,"99",,,,,,40.8000,,,,,,35888.0000,"07/08/92 00:00:00","07/11/93 00:00:00",,,,54
"89202",,,,,"99",,,,,,38.2000,,,,,,35888.0000,"06/01/94 00:00:00","07/13/94 00:00:00",,,,55
"89208","BARTONS APOSTLE               ",,,,"99",,,,,,35.9000,,,,,,35888.0000,"06/03/94 00:00:00","11/06/96 00:00:00",,,,56
"89219",,,,,"99",,,,,,55.2000,,,,,,35888.0000,,,,,,57
"89243",,,,,"99",,,,,,47.7000,,,,,,35888.0000,,,,,,58
"89248",,,,,"99",,,,,,46.2000,,,,,,35888.0000,"06/01/94 00:00:00","07/10/94 00:00:00",,,,59
"89287",,,,,"99",,,,,,33.9000,,,,,,35888.0000,"06/01/94 00:00:00","07/08/94 00:00:00",,,,60
"89294",,,,,,,,,,,,,,,,,,"11/04/93 00:00:00","11/04/93 00:00:00",,,,61
"90207",,,,,"92.7",,,,,,50.8000,,,,,,35864.0000,,,,,,62
"90242",,,,,"98.8",,,,,,70.0000,,,,,,35888.0000,"06/21/94 00:00:00","11/03/95 00:00:00",,,,63
"90251",,,,,,,,,,,,,,,,,,"06/21/95 00:00:00","06/21/95 00:00:00",,,,64
"90258","MCHARDYS BIRCH                ",,,,"99",,,,,,70.5000,,,,,,35888.0000,"06/01/94 00:00:00","11/21/96 00:00:00",,,,65
"90274","SR DAWSONS BELVEDERE          ",,,,"99",,,,,,84.3000,,,,,,35888.0000,"06/09/94 00:00:00","06/10/98 00:00:00",,,,66
"90281","KINGSMILL P A WALESA          ",,,,"99",,,,,,90.9000,,,,,,35888.0000,"06/01/94 00:00:00","06/11/98 00:00:00",,,,67
"90293",,,,,,,,,,,,,,,,,,"06/24/95 00:00:00","06/24/95 00:00:00",,,,68
"90302",,,,,"97.6",,,,,,46.6000,,,,,,35888.0000,,,,,,69
"91201","WELBURN A V HERMES            ",,,,"92",,,,,,72.8000,,,,,,35888.0000,"06/05/95 00:00:00","11/18/96 00:00:00",,,,70
"91207",,,,,"89.3",,,,,,54.2000,,,,,,35888.0000,"06/03/95 00:00:00","06/05/95 00:00:00",,,,71
"91208",,,,,"93.4",,,,,,83.3000,,,,,,35888.0000,"06/07/95 00:00:00","06/11/96 00:00:00",,,,72
"91217",,,,,"91.1",,,,,,33.2000,,,,,,35888.0000,"07/01/95 00:00:00","11/12/95 00:00:00",,,,73
"91228",,,,,,,,,,,,,,,,,,"07/06/95 00:00:00","07/06/95 00:00:00",,,,74
"91229","FORDS CASANOVA                ",,,,"89.7",,,,,,62.0000,,,,,,35888.0000,"06/22/95 00:00:00","10/18/96 00:00:00",,,,75
"91236",,,,,"89.9",,,,,,81.1000,,,,,,35888.0000,"06/07/96 00:00:00","07/12/96 00:00:00",,,,76
"91288",,,,,,,,,,,,,,,,,,"07/06/95 00:00:00","07/06/95 00:00:00",,,,77
