treatKey,cowKey,treatDate,treatType,VF,reason,diseaseKey,comment,Cost,EventCode,EventKey,StartTime,TechnicianID,EndDate,EndTime,AdminMethodCode,DoseAmount,DoseUOMCode,TreatOnce,DoseFrequency,DosePeriodCode,DoseCount,TreatmentRegime,WithholdPeriodMilk,WithholdPeriodMeat,MilkOverrideAmount,MeatOverrideAmount,TechnicianWithheldID,DateCreated,WitholdingPeriod
1,9,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
2,15,"09/24/06 00:00:00","T_INTR","FARMER","CLOXAG",,"cut teat stitch",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
3,21,"05/11/07 00:00:00","T_ANTB","VET","PESSAR",,"2x Terramycin",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
4,21,"05/11/07 00:00:00","T_HORM","FARMER","PROSTA",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
5,21,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
6,29,"09/26/06 00:00:00","T_ANTB","FARMER","STRETP",,"mouth infection",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
7,39,"04/18/07 00:00:00","T_MISC","FARMER","ANTHIS",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
8,39,"04/18/07 00:00:00","T_ANTB","FARMER","OXYTET",,"25ml Terramycin",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
9,39,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
10,41,"03/31/07 00:00:00","T_ANTB","FARMER","PENSA",,"Mylipen",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
11,41,"04/01/07 00:00:00","T_ANTB","FARMER","CEPORX",,"25ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
12,48,"05/19/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
13,51,"05/19/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
14,65,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
15,65,"12/23/07 00:00:00","T_ANTB","FARMER","PENSA",,"Mylipen",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
16,65,"01/15/08 00:00:00","T_DCT","FARMER","ORB DC",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
17,66,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
18,66,"02/05/08 00:00:00","T_DCT","FARMER","ORB DC",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
19,67,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
20,67,"11/03/07 00:00:00","T_INTR","FARMER","MASTAL",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
