ProdKey,CowKey,testDate,LTDDate,HTFatPC,HTProtPC,HTLactPC,HTLitreAM,HTLitrePM,HTLitreTot,LtdLitre,LtdFatKg,LtdProtKg,LtdLactKg,StdLacDays,SCC,LW,LWRel,PayPW,PayPWRel,AbCode,Assessed,Withheld,comment,LtdDays,MilkPI,FatPI,ProteinPI,LtdVol305,LtdVolEx,LtdFatKg305,LtdFatKgEx,LtdProtKg305,LtdProtKgEx,LtdLactKg305,LtdLactKgEx,DL_LTDDate,DL_LtdLitre,DL_LtdFatKg,DL_LtdProtKg,DL_LtdLactKg,DL_LtdDays,BSTFlag
1,5872,20/01/2016,20/01/2016,,,,,,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
2,5876,20/01/2016,20/01/2016,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
3,849,20/01/2016,20/01/2016,,,,,,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
4,82,20/01/2016,20/01/2016,,,,,,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
5,854,20/01/2016,20/01/2016,,,,,,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
6,867,20/01/2016,20/01/2016,,,,,,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
7,908,20/01/2016,20/01/2016,,,,,,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
8,89,20/01/2016,20/01/2016,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
9,3968,20/01/2016,20/01/2016,,,,,,5.53,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
10,3970,20/01/2016,20/01/2016,,,,,,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
11,3971,20/01/2016,20/01/2016,,,,,,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
12,923,20/01/2016,20/01/2016,,,,,,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
13,3972,20/01/2016,20/01/2016,,,,,,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
14,3973,20/01/2016,20/01/2016,,,,,,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
15,3974,20/01/2016,20/01/2016,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
16,3975,20/01/2016,20/01/2016,,,,,,5.27,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
17,3976,20/01/2016,20/01/2016,,,,,,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
18,925,20/01/2016,20/01/2016,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
19,3978,20/01/2016,20/01/2016,,,,,,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
20,3987,20/01/2016,20/01/2016,,,,,,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
21,930,20/01/2016,20/01/2016,,,,,,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
22,3988,20/01/2016,20/01/2016,,,,,,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
23,3989,20/01/2016,20/01/2016,,,,,,5.19,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
24,7515,20/01/2016,20/01/2016,,,,,,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
25,7516,20/01/2016,20/01/2016,,,,,,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
26,940,20/01/2016,20/01/2016,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
27,5891,20/01/2016,20/01/2016,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
28,5906,20/01/2016,20/01/2016,,,,,,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
29,5908,20/01/2016,20/01/2016,,,,,,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
30,5914,20/01/2016,20/01/2016,,,,,,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
31,5919,20/01/2016,20/01/2016,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
32,5920,20/01/2016,20/01/2016,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
33,5930,20/01/2016,20/01/2016,,,,,,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
34,5931,20/01/2016,20/01/2016,,,,,,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
35,5932,20/01/2016,20/01/2016,,,,,,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
36,5940,20/01/2016,20/01/2016,,,,,,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
37,5953,20/01/2016,20/01/2016,,,,,,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
38,5960,20/01/2016,20/01/2016,,,,,,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
39,5964,20/01/2016,20/01/2016,,,,,,8.18,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
40,953,20/01/2016,20/01/2016,,,,,,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
41,956,20/01/2016,20/01/2016,,,,,,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
42,959,20/01/2016,20/01/2016,,,,,,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
