CalvKey,CowKey,calvDate,calvType,assist,estimated,comment,VF,TechnicianID,ObservedFM,AbortionCause,CalvingEase,LactNo
1,1,2013-03-08,NORMAL,NONE,0,,,,,,,3
2,1,2015-04-04,NORMAL,NONE,0,,,,,,,5
3,1,2016-03-12,NORMAL,NONE,0,,,,,,,6
4,2,2012-11-08,NORMAL,NONE,0,,,,,,,2
5,2,2013-11-11,NORMAL,NONE,0,,,,,,,3
6,2,2015-09-15,NORMAL,NONE,0,,,,,,,4
7,3,2013-02-28,NORMAL,NONE,0,,,,,,,3
8,3,2015-04-11,NORMAL,NONE,0,,,,,,,5
9,3,2016-03-08,NORMAL,NONE,0,,,,,,,6
10,4,2012-09-05,NORMAL,NONE,0,,,,,,,2
11,4,2015-07-05,NORMAL,NONE,0,,,,,,,5
12,4,2016-06-05,NORMAL,NONE,0,,,,,,,3
13,5,2012-09-06,NORMAL,NONE,0,,,,,,,2
14,5,2013-09-01,NORMAL,NONE,0,,,,,,,3
15,5,2015-09-03,NORMAL,NONE,0,,,,,,,4
16,5,2016-09-05,NORMAL,NONE,0,,,,,,,3
17,6,2013-02-25,NORMAL,NONE,0,,,,,,,3
18,6,2015-04-05,NORMAL,NONE,0,,,,,,,5
19,6,2016-03-08,NORMAL,NONE,0,,,,,,,6
20,7,2012-11-15,NORMAL,NONE,0,,,,,,,2
21,7,2015-07-18,NORMAL,NONE,0,,,,,,,4
22,8,2013-03-06,NORMAL,NONE,0,,,,,,,3
23,8,2014-10-01,NORMAL,NONE,0,,,,,,,4
24,8,2015-09-08,NORMAL,NONE,0,,,,,,,5
25,8,2016-06-20,NORMAL,NONE,0,,,,,,,4
26,9,2013-03-10,NORMAL,NONE,0,,,,,,,3
27,9,2015-04-06,NORMAL,NONE,0,,,,,,,5
28,10,2013-03-05,NORMAL,NONE,0,,,,,,,3
29,10,2015-04-05,NORMAL,NONE,0,,,,,,,5
30,10,2016-03-08,NORMAL,NONE,0,,,,,,,6
31,11,2013-03-29,NORMAL,NONE,0,,,,,,,3
32,11,2015-04-04,NORMAL,NONE,0,,,,,,,6
33,11,2016-03-06,NORMAL,NONE,0,,,,,,,7
34,12,2013-03-12,NORMAL,NONE,0,,,,,,,3
35,12,2015-04-03,NORMAL,NONE,0,,,,,,,5
36,12,2015-11-13,NORMAL,NONE,0,,,,,,,6
37,13,2013-02-25,NORMAL,NONE,0,,,,,,,3
38,13,2014-03-26,NORMAL,NONE,0,,,,,,,4
39,14,2012-11-06,NORMAL,NONE,0,,,,,,,2
40,14,2015-04-06,NORMAL,NONE,0,,,,,,,5
41,14,2016-02-25,NORMAL,NONE,0,,,,,,,6
42,15,2013-03-05,NORMAL,NONE,0,,,,,,,3
43,15,2015-04-03,NORMAL,NONE,0,,,,,,,5
44,15,2016-03-06,NORMAL,NONE,0,,,,,,,6
45,16,2012-09-07,NORMAL,NONE,0,,,,,,,2
46,16,2015-06-30,NORMAL,NONE,0,,,,,,,5
47,16,2016-06-05,NORMAL,NONE,0,,,,,,,3
48,17,2013-02-28,NORMAL,NONE,0,,,,,,,3
49,17,2015-04-10,NORMAL,NONE,0,,,,,,,5
50,17,2016-09-05,NORMAL,NONE,0,,,,,,,4
51,18,2013-03-14,NORMAL,NONE,0,,,,,,,3
52,18,2015-04-01,NORMAL,NONE,0,,,,,,,5
53,18,2016-03-04,NORMAL,NONE,0,,,,,,,6
54,19,2012-09-13,NORMAL,NONE,0,,,,,,,2
55,19,2014-11-11,NORMAL,NONE,0,,,,,,,4
56,19,2015-11-16,NORMAL,NONE,0,,,,,,,5
57,20,2012-09-19,NORMAL,NONE,0,,,,,,,2
60,21,2012-09-16,NORMAL,NONE,0,,,,,,,2
61,21,2013-09-08,NORMAL,NONE,0,,,,,,,3
62,21,2015-11-12,NORMAL,NONE,0,,,,,,,4
63,22,2013-03-01,NORMAL,NONE,0,,,,,,,3
64,22,2015-04-02,NORMAL,NONE,0,,,,,,,5
