CowKey,Herd,CowExternalKey,LifetimeID,PedigreeNumber,ElectronicID,ElectronicFreq,CowNumber,RemovalDate,BirthDate,BoughtDate,ToCullDate,ToCullReason,LactationNumber,LactNumberEst,BW,BWReliability,Name,Breed,Sire,Dam,DamExternalKey,comment,InitialLactationStatus,InitialDueSire,InitialDueDate,RemovalFate,RemovalReason1,RemovalReason2,RemovalReason3,RemovalComment,StockClass,ABVFat,ABVProtein,ABVMilk,TransferID,PW,PWRel,ExpCalfPW,ExpCalfPWRel,ExpCalfBW,ExpCalfBWRel,WithholdStatus,MilkHoldDate,MeatHoldDate,DCTStatus
1,1,,1,,982000134317979,,8,,2010-03-29,,,,,FALSE,,,G8,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
2,1,,2,,982000134317815,,14,,2010-03-20,,,,,FALSE,,,G14,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
3,1,,3,,982123499628474,,17,,2010-03-29,,,,,FALSE,,,G17,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
4,1,,4,,982000134318083,,32,,2010-03-22,,,,,FALSE,,,G32,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
5,1,,5,,982000134318289,,45,,2010-03-23,,,,,FALSE,,,G45,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
6,1,,6,,982000134318037,,61,,2010-03-25,,,,,FALSE,,,G61,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
7,1,,7,,982123490086975,,69,,2010-03-25,,,,,FALSE,,,G69,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
8,1,,8,,982123499600238,,71,,2010-03-25,,,,,FALSE,,,G71,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
9,1,,9,,982000134604547,,75,,2010-03-25,,,,,FALSE,,,G75,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
10,1,,10,,982000134317918,,76,,2010-03-25,,,,,FALSE,,,G76,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
11,1,,11,,982000134318377,,79,,2010-03-25,,,,,FALSE,,,G79,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
12,1,,12,,982000134318255,,81,,2010-03-25,,,,,FALSE,,,G81,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
13,1,,13,,982000134317995,,92,,2010-03-26,,,,,FALSE,,,G92,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
14,1,,14,,982000134318127,,106,,2010-03-26,,,,,FALSE,,,G106,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
15,1,,15,,982000134317868,,118,,2010-03-27,,,,,FALSE,,,G118,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
16,1,,16,,982000134318278,,127,,2010-03-27,,,,,FALSE,,,G127,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
17,1,,17,,982123490349457,,129,,2010-03-28,,,,,FALSE,,,G129,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
18,1,,18,,982123499659844,,135,,2010-03-28,,,,,FALSE,,,G135,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
19,1,,19,,982123490086839,,145,,2010-03-28,,,,,FALSE,,,G145,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
20,1,,20,,982000134335615,,148,,2010-03-28,,,,,FALSE,,,G148,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
21,1,,21,,982123490349856,,154,,2010-03-28,,,,,FALSE,,,G154,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
22,1,,22,,982123462105559,,174,,2010-03-29,,,,,FALSE,,,G174,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
