vreKey,cowKey,vreDate,reason,diagnosis,extra,vetKey,comment
1,2,2016-05-24,,-,,,
2,5,2016-06-24,,Yes,,,
3,7,2016-03-01,,Yes,,,
4,17,2016-06-24,,Yes,,,
5,23,2016-06-24,,Yes,,,
6,31,2016-01-01,,-,,,
7,33,2016-05-24,,-,,,
8,34,2016-06-24,,Yes,,,
9,44,2016-06-24,,Yes,,,
10,45,2016-01-01,,-,,,
11,56,2016-01-01,,-,,,
12,58,2016-05-24,,-,,,
13,62,2016-05-24,,-,,,
14,65,2016-06-24,,Yes,,,
15,66,2016-03-01,,Yes,,,
16,79,2016-03-01,,Yes,,,
17,88,2016-06-24,,Yes,,,
18,93,2016-06-24,,Yes,,,
19,102,2016-06-24,,Yes,,,
20,103,2016-01-01,,-,,,
21,104,2016-06-24,,Yes,,,
22,110,2016-06-24,,Yes,,,
23,112,2016-06-24,,Yes,,,
24,119,2016-06-24,,Yes,,,
25,121,2016-06-24,,Yes,,,
26,132,2016-05-24,,-,,,
27,134,2016-06-24,,-,,,
28,141,2016-06-24,,Yes,,,
29,144,2016-06-24,,Yes,,,
30,147,2016-06-24,,Yes,,,
31,150,2016-06-24,,Yes,,,
32,157,2016-06-24,,-,,,
33,160,2016-06-24,,Yes,,,
34,165,2016-06-24,,Yes,,,
35,171,2016-06-24,,-,,,
36,181,2016-06-24,,Yes,,,
37,182,2016-05-24,,-,,,
38,184,2013-04-25,,Yes,,,
39,188,2016-06-24,,Yes,,,
40,190,2016-06-24,,Yes,,,
41,192,2016-06-24,,-,,,
42,200,2016-06-24,,Yes,,,
43,203,2016-06-24,,-,,,
44,214,2013-04-23,,Yes,,,
45,216,2016-06-24,,-,,,
46,219,2016-06-24,,Yes,,,
47,220,2016-06-24,,-,,,
48,222,2016-06-24,,Yes,,,
49,229,2016-06-24,,Yes,,,
50,236,2016-06-24,,-,,,
51,238,2016-06-24,,Yes,,,
52,239,2016-06-24,,Yes,,,
53,243,2016-06-24,,Yes,,,
54,251,2016-05-24,,-,,,
55,252,2016-06-24,,Yes,,,
56,260,2016-06-24,,-,,,
57,261,2016-06-24,,-,,,
58,264,2016-06-24,,Yes,,,
59,267,2016-06-24,,Yes,,,
60,272,2016-06-24,,Yes,,,
61,274,2016-06-24,,Yes,,,
62,279,2016-01-01,,-,,,
63,295,2016-06-24,,Yes,,,
64,296,2016-06-24,,Yes,,,
65,298,2016-01-01,,-,,,
66,302,2016-05-24,,-,,,
67,311,2016-01-01,,-,,,
68,314,2016-05-24,,-,,,
69,325,2016-05-24,,-,,,
70,326,2016-05-24,,-,,,
71,332,2016-06-24,,Yes,,,
72,333,2016-01-01,,-,,,
73,338,2016-06-24,,Yes,,,
74,347,2016-05-24,,-,,,
75,348,2016-06-24,,Yes,,,
76,353,2016-06-24,,Yes,,,
77,356,2016-06-24,,Yes,,,
78,357,2016-06-24,,Yes,,,
79,366,2016-06-24,,Yes,,,
80,370,2016-06-24,,Yes,,,
81,371,2016-06-24,,Yes,,,
82,372,2016-06-24,,Yes,,,
83,379,2016-06-24,,Yes,,,
84,381,2013-04-25,,Yes,,,
85,382,2016-05-24,,-,,,
86,383,2016-06-24,,Yes,,,
87,386,2016-06-24,,Yes,,,
88,388,2016-05-24,,-,,,
89,390,2016-06-24,,-,,,
90,393,2016-06-28,,Yes,,,
91,395,2016-05-24,,-,,,
92,400,2016-06-24,,Yes,,,
93,405,2016-06-24,,Yes,,,
94,406,2016-06-24,,Yes,,,
95,407,2016-05-24,,-,,,
96,409,2016-06-24,,Yes,,,
97,411,2016-05-24,,-,,,
98,412,2016-06-24,,Yes,,,
99,414,2016-06-24,,Yes,,,
100,415,2016-05-24,,-,,,
101,417,2013-04-25,,Yes,,,
102,418,2016-06-24,,-,,,
103,419,2016-06-24,,Yes,,,
104,420,2016-05-24,,-,,,
105,424,2016-05-24,,-,,,
106,427,2016-06-24,,Yes,,,
107,428,2016-06-24,,-,,,
108,431,2016-06-24,,Yes,,,
109,435,2016-06-24,,Yes,,,
110,440,2016-06-24,,-,,,
111,441,2016-05-24,,-,,,
112,443,2016-06-24,,Yes,,,
113,444,2016-06-24,,Yes,,,
114,445,2016-05-24,,-,,,
115,447,2016-06-24,,Yes,,,
116,449,2016-06-24,,Yes,,,
117,450,2016-06-24,,-,,,
118,451,2016-06-24,,-,,,
119,452,2016-06-24,,Yes,,,
120,453,2016-06-24,,Yes,,,
121,454,2016-06-24,,Yes,,,
122,455,2016-06-24,,Yes,,,
123,458,2016-06-24,,Yes,,,
124,459,2013-04-25,,Yes,,,
125,460,2016-05-24,,-,,,
126,463,2016-06-28,,Yes,,,
127,464,2016-05-24,,-,,,
128,465,2016-06-24,,-,,,
129,467,2016-06-24,,-,,,
130,468,2016-06-24,,Yes,,,
131,471,2016-05-24,,-,,,
132,472,2016-06-24,,-,,,
133,474,2016-06-24,,Yes,,,
134,475,2016-06-24,,Yes,,,
135,476,2016-06-24,,Yes,,,
136,477,2016-06-24,,-,,,
137,478,2016-06-24,,-,,,
138,480,2016-06-24,,Yes,,,
139,484,2016-06-24,,Yes,,,
140,486,2016-06-24,,Yes,,,
141,487,2016-06-24,,Yes,,,
142,492,2013-04-23,,Yes,,,
143,493,2016-06-24,,Yes,,,
144,494,2016-06-24,,Yes,,,
145,496,2016-06-24,,-,,,
146,497,2016-06-24,,Yes,,,
147,498,2016-06-24,,Yes,,,
148,499,2016-06-24,,Yes,,,
149,501,2016-06-24,,Yes,,,
150,503,2016-06-24,,-,,,
151,504,2016-06-24,,Yes,,,
152,506,2016-06-24,,-,,,
153,509,2016-06-24,,Yes,,,
154,510,2016-06-24,,Yes,,,
155,511,2016-06-24,,Yes,,,
156,519,2016-06-24,,-,,,
157,521,2016-06-24,,-,,,
158,522,2016-06-24,,Yes,,,
159,523,2016-06-24,,Yes,,,
160,524,2016-06-24,,-,,,
161,525,2016-06-24,,Yes,,,
162,527,2016-06-24,,Yes,,,
163,529,2016-06-24,,-,,,
164,530,2016-06-24,,Yes,,,
165,532,2016-06-24,,-,,,
166,533,2016-06-28,,Yes,,,
167,534,2016-06-24,,-,,,
168,535,2016-06-24,,-,,,
169,3627,2016-06-24,,-,,,
170,539,2016-06-24,,Yes,,,
171,541,2016-06-24,,Yes,,,
172,3630,2016-06-24,,Yes,,,
173,544,2016-06-24,,Yes,,,
174,546,2016-06-24,,Yes,,,
175,547,2016-05-24,,-,,,
176,548,2016-06-24,,-,,,
177,549,2016-06-24,,-,,,
178,550,2016-06-24,,-,,,
179,553,2016-06-24,,-,,,
180,555,2016-06-24,,Yes,,,
181,561,2016-06-24,,Yes,,,
182,562,2016-06-24,,Yes,,,
183,563,2016-06-24,,-,,,
184,567,2016-06-24,,Yes,,,
185,568,2016-06-24,,Yes,,,
186,570,2016-06-24,,Yes,,,
187,571,2016-06-24,,Yes,,,
188,573,2016-06-24,,-,,,
189,577,2016-06-24,,-,,,
190,581,2016-06-24,,Yes,,,
191,582,2016-06-24,,-,,,
192,583,2016-06-24,,Yes,,,
193,585,2016-06-24,,-,,,
194,586,2016-06-24,,Yes,,,
195,589,2016-06-24,,Yes,,,
196,594,2016-06-24,,-,,,
197,595,2016-06-24,,Yes,,,
198,596,2016-05-24,,-,,,
199,598,2016-06-24,,-,,,
200,601,2016-06-24,,Yes,,,
201,604,2016-06-24,,Yes,,,
202,605,2016-06-24,,Yes,,,
203,611,2016-06-24,,Yes,,,
204,614,2016-05-24,,-,,,
205,615,2016-06-24,,-,,,
206,628,2016-06-24,,Yes,,,
207,632,2016-06-24,,-,,,
208,636,2016-06-24,,-,,,
209,643,2016-06-24,,Yes,,,
210,644,2016-06-24,,Yes,,,
211,646,2016-06-24,,Yes,,,
212,647,2016-06-24,,Yes,,,
213,649,2016-06-24,,Yes,,,
214,653,2016-05-24,,-,,,
215,658,2016-05-24,,-,,,
216,659,2016-06-24,,Yes,,,
217,662,2016-05-24,,-,,,
