VID,EID,Weight,DOB,TestDate,Result,Month_Yr
142312,982123500492959,72,1/09/2014,24/06/2016,Pregnant,2016-06
142603,982123500499364,77,1/11/2014,24/06/2016,Pregnant,2016-06
142697,982123500495967,70.5,1/11/2014,25/06/2016,Pregnant,2016-06
152010,982123516604115,45,1/09/2015,24/06/2016,Pregnant,2016-06
15485,982123500577615,69,1/03/2015,24/06/2016,Pregnant,2016-06
151096,982123516186987,45.5,1/09/2015,24/06/2016,Pregnant,2016-06
151317,982123516603955,54.5,1/09/2015,24/06/2016,Pregnant,2016-06
15809,982123500507723,63,1/06/2015,24/06/2016,Pregnant,2016-06
151180,982123516186801,55.5,1/09/2015,24/06/2016,Pregnant,2016-06
15681,982123487641410,79.5,1/06/2015,24/06/2016,Pregnant,2016-06
15884,982123519264663,44.5,1/09/2015,24/06/2016,Pregnant,2016-06
15919,982123516187253,49,1/09/2015,24/06/2016,Pregnant,2016-06
15896,982123516186900,49,1/09/2015,24/06/2016,Pregnant,2016-06
153592,982123516187272,50.5,1/09/2015,24/06/2016,Pregnant,2016-06
151169,982123516187266,50.5,1/09/2015,24/06/2016,Pregnant,2016-06
151936,982123516603810,44,1/09/2015,24/06/2016,Pregnant,2016-06
151190,982123516186841,48.5,1/09/2015,24/06/2016,Pregnant,2016-06
142735,982123500488407,70.5,1/11/2014,24/06/2016,Pregnant,2016-06
15474,982123500577769,73.5,1/03/2015,24/06/2016,Pregnant,2016-06
151051,982123516186863,55.5,1/09/2015,24/06/2016,Pregnant,2016-06
15993,982123516186865,49,1/09/2015,24/06/2016,Pregnant,2016-06
151120,982123516187019,48,1/09/2015,24/06/2016,Pregnant,2016-06
153517,982123517529102,59.5,1/06/2015,24/06/2016,Pregnant,2016-06
153441,982123500586556,62.5,1/04/2015,24/06/2016,Pregnant,2016-06
152040,982123516604016,47,1/09/2015,24/06/2016,Pregnant,2016-06
15918,982123516186875,49.5,1/09/2015,24/06/2016,Pregnant,2016-06
151288,982123516604037,49.5,1/09/2015,24/06/2016,Pregnant,2016-06
151946,982123516603813,52.5,1/09/2015,24/06/2016,Pregnant,2016-06
152025,982123516603797,49,1/09/2015,24/06/2016,Pregnant,2016-06
151309,982123516603958,45,1/09/2015,24/06/2016,Pregnant,2016-06
151029,982123516187377,44.5,1/09/2015,24/06/2016,Pregnant,2016-06
15901,982123516186595,44,1/09/2015,24/06/2016,Pregnant,2016-06
15853,982123516187004,56,1/09/2015,24/06/2016,Pregnant,2016-06
15836,982123516186915,49,1/09/2015,24/06/2016,Pregnant,2016-06
15866,982123516186815,69,1/09/2015,24/06/2016,Pregnant,2016-06
142751,982123500546117,94,1/11/2014,24/06/2016,Pregnant,2016-06
151249,982123516187356,46,1/09/2015,24/06/2016,Pregnant,2016-06
15934,982123516186813,52,1/09/2015,24/06/2016,Pregnant,2016-06
151067,982123516186973,47.5,1/09/2015,24/06/2016,Pregnant,2016-06
151419,982123516604017,46.5,1/09/2015,24/06/2016,Pregnant,2016-06
151072,982123516186559,50.5,1/09/2015,24/06/2016,Pregnant,2016-06
