CalvKey,CowKey,calvDate,calvType,assist,estimated,comment,VF,TechnicianID,ObservedFM,AbortionCause,CalvingEase,LactNo
1,1,3/09/11,NORMAL,NONE,0,,,,,,,1
2,5,8/03/13,NORMAL,NONE,0,,,,,,,3
3,6,23/02/15,NORMAL,NONE,0,,,,,,,1
4,7,8/11/12,NORMAL,NONE,0,,,,,,,2
5,8,20/11/12,NORMAL,NONE,0,,,,,,,2
6,10,28/02/13,NORMAL,NONE,0,,,,,,,3
7,11,31/03/11,NORMAL,NONE,0,,,,,,,1
8,12,15/03/11,NORMAL,NONE,0,,,,,,,1
9,13,17/03/15,NORMAL,NONE,0,,,,,,,5
10,15,19/03/15,NORMAL,NONE,0,,,,,,,5
11,15,7/03/16,NORMAL,NONE,0,,,,,,,6
12,16,26/09/11,NORMAL,NONE,0,,,,,,,1
13,17,18/11/14,NORMAL,NONE,0,,,,,,,4
14,17,15/09/15,NORMAL,NONE,0,,,,,,,5
15,21,1/03/13,NORMAL,NONE,0,,,,,,,3
16,24,5/09/12,NORMAL,NONE,0,,,,,,,2
17,26,5/03/12,NORMAL,NONE,0,,,,,,,2
18,29,25/11/13,NORMAL,NONE,0,,,,,,,3
19,32,16/03/11,NORMAL,NONE,0,,,,,,,1
20,34,6/09/12,NORMAL,NONE,0,,,,,,,2
21,35,5/03/13,NORMAL,NONE,0,,,,,,,3
22,37,6/06/13,NORMAL,NONE,0,,,,,,,3
23,38,14/11/15,NORMAL,NONE,0,,,,,,,6
24,38,3/11/14,NORMAL,NONE,0,,,,,,,5
25,39,8/03/13,NORMAL,NONE,0,,,,,,,3
26,41,24/10/12,NORMAL,NONE,0,,,,,,,2
27,45,30/09/13,NORMAL,NONE,0,,,,,,,3
28,47,25/02/13,NORMAL,NONE,0,,,,,,,3
29,48,15/06/16,NORMAL,NONE,0,,,,,,,6
30,48,5/11/14,NORMAL,NONE,0,,,,,,,5
31,50,6/09/15,NORMAL,NONE,0,,,,,,,6
32,50,6/09/14,NORMAL,NONE,0,,,,,,,5
33,53,10/11/12,NORMAL,NONE,0,,,,,,,2
34,54,15/11/12,NORMAL,NONE,0,,,,,,,2
35,56,6/03/13,NORMAL,NONE,0,,,,,,,3
36,59,10/03/13,NORMAL,NONE,0,,,,,,,3
37,60,5/03/13,NORMAL,NONE,0,,,,,,,3
38,61,25/11/12,NORMAL,NONE,0,,,,,,,2
39,63,29/03/13,NORMAL,NONE,0,,,,,,,3
40,65,12/03/13,NORMAL,NONE,0,,,,,,,3
41,67,13/06/24,NORMAL,NONE,0,,,,,,,3
42,74,25/02/13,NORMAL,NONE,0,,,,,,,3
43,76,12/03/13,NORMAL,NONE,0,,,,,,,3
44,77,19/03/11,NORMAL,NONE,0,,,,,,,1
45,79,11/11/14,NORMAL,NONE,0,,,,,,,6
46,82,4/01/13,NORMAL,NONE,0,,,,,,,2
47,82,7/09/15,NORMAL,NONE,0,,,,,,,3
48,84,1/03/13,NORMAL,NONE,0,,,,,,,2
49,86,14/03/15,NORMAL,NONE,0,,,,,,,5
50,87,6/11/12,NORMAL,NONE,0,,,,,,,2
51,89,31/10/14,NORMAL,NONE,0,,,,,,,5
52,89,16/11/15,NORMAL,NONE,0,,,,,,,6
53,91,1/03/13,NORMAL,NONE,0,,,,,,,3
54,94,22/09/12,NORMAL,NONE,0,,,,,,,3
55,96,5/03/13,NORMAL,NONE,0,,,,,,,3
56,97,16/03/11,NORMAL,NONE,0,,,,,,,1
57,99,1/10/14,NORMAL,NONE,0,,,,,,,3
58,99,2/09/15,NORMAL,NONE,0,,,,,,,4
59,101,13/06/16,NORMAL,NONE,0,,,,,,,4
60,101,8/06/15,NORMAL,NONE,0,,,,,,,3
61,103,4/09/14,NORMAL,NONE,0,,,,,,,4
62,103,3/09/15,NORMAL,NONE,0,,,,,,,5
63,104,7/09/12,NORMAL,NONE,0,,,,,,,2
64,105,4/03/13,NORMAL,NONE,0,,,,,,,3
65,106,28/02/13,NORMAL,NONE,0,,,,,,,3
66,107,20/06/11,NORMAL,NONE,0,,,,,,,1
67,108,12/09/13,NORMAL,NONE,0,,,,,,,3
68,109,9/09/14,NORMAL,NONE,0,,,,,,,4
69,109,5/09/15,NORMAL,NONE,0,,,,,,,5
70,112,14/03/13,NORMAL,NONE,0,,,,,,,3
71,113,8/02/12,NORMAL,NONE,0,,,,,,,2
72,114,7/03/14,NORMAL,NONE,0,,,,,,,3
73,115,23/09/15,NORMAL,NONE,0,,,,,,,3
74,115,14/11/12,NORMAL,NONE,0,,,,,,,2
75,116,23/06/14,NORMAL,NONE,0,,,,,,,5
76,118,18/09/12,NORMAL,NONE,0,,,,,,,2
77,119,13/09/12,NORMAL,NONE,0,,,,,,,2
78,121,5/06/15,NORMAL,NONE,0,,,,,,,5
79,122,19/09/12,NORMAL,NONE,0,,,,,,,2
80,123,27/06/15,NORMAL,NONE,0,,,,,,,5
81,124,17/12/12,NORMAL,NONE,0,,,,,,,3
82,126,10/06/14,NORMAL,NONE,0,,,,,,,4
83,127,12/06/14,NORMAL,NONE,0,,,,,,,4
84,128,16/09/12,NORMAL,NONE,0,,,,,,,2
85,129,9/03/14,NORMAL,NONE,0,,,,,,,4
86,130,1/09/12,NORMAL,NONE,0,,,,,,,2
87,132,17/02/13,NORMAL,NONE,0,,,,,,,3
88,133,3/12/12,NORMAL,NONE,0,,,,,,,1
89,135,5/03/13,NORMAL,NONE,0,,,,,,,3
90,136,5/09/11,NORMAL,NONE,0,,,,,,,1
91,138,2/06/14,NORMAL,NONE,0,,,,,,,4
92,139,1/11/12,NORMAL,NONE,0,,,,,,,3
93,141,13/09/11,NORMAL,NONE,0,,,,,,,1
94,144,10/06/14,NORMAL,NONE,0,,,,,,,4
95,145,1/11/09,NORMAL,NONE,0,,,,,,,1
96,147,1/03/13,NORMAL,NONE,0,,,,,,,3
97,150,11/09/12,NORMAL,NONE,0,,,,,,,2
98,151,8/09/13,NORMAL,NONE,0,,,,,,,3
99,152,7/09/13,NORMAL,NONE,0,,,,,,,4
100,153,9/09/12,NORMAL,NONE,0,,,,,,,2
101,154,27/03/13,NORMAL,NONE,0,,,,,,,3
102,155,4/09/12,NORMAL,NONE,0,,,,,,,2
103,156,7/06/12,NORMAL,NONE,0,,,,,,,2
104,158,9/06/14,NORMAL,NONE,0,,,,,,,4
105,160,1/03/13,NORMAL,NONE,0,,,,,,,3
106,162,13/11/14,NORMAL,NONE,0,,,,,,,4
107,163,9/04/13,NORMAL,NONE,0,,,,,,,3
108,164,12/06/11,NORMAL,NONE,0,,,,,,,1
109,165,18/03/11,NORMAL,NONE,0,,,,,,,1
110,168,22/03/11,NORMAL,NONE,0,,,,,,,1
111,169,28/11/12,NORMAL,NONE,0,,,,,,,2
112,170,26/09/11,NORMAL,NONE,0,,,,,,,1
113,171,1/04/11,NORMAL,NONE,0,,,,,,,1
114,173,6/06/15,NORMAL,NONE,0,,,,,,,5
115,174,27/03/13,NORMAL,NONE,0,,,,,,,3
116,177,7/06/12,NORMAL,NONE,0,,,,,,,2
117,178,11/11/14,NORMAL,NONE,0,,,,,,,4
118,179,29/09/11,NORMAL,NONE,0,,,,,,,1
119,181,5/03/12,NORMAL,NONE,0,,,,,,,2
120,182,12/09/12,NORMAL,NONE,0,,,,,,,1
121,182,1/03/16,NORMAL,NONE,0,,,,,,,1
122,186,9/06/15,NORMAL,NONE,0,,,,,,,5
123,186,6/06/16,NORMAL,NONE,0,,,,,,,6
124,188,22/02/13,NORMAL,NONE,0,,,,,,,3
125,189,6/11/14,NORMAL,NONE,0,,,,,,,4
126,191,1/09/12,NORMAL,NONE,0,,,,,,,2
127,196,10/03/14,NORMAL,NONE,0,,,,,,,4
128,197,5/03/13,NORMAL,NONE,0,,,,,,,3
129,198,14/03/14,NORMAL,NONE,0,,,,,,,4
130,199,8/09/12,NORMAL,NONE,0,,,,,,,2
131,201,8/06/14,NORMAL,NONE,0,,,,,,,4
132,203,1/04/11,NORMAL,NONE,0,,,,,,,1
133,206,29/03/15,NORMAL,NONE,0,,,,,,,5
134,206,5/03/16,NORMAL,NONE,0,,,,,,,6
135,207,5/09/12,NORMAL,NONE,0,,,,,,,2
136,209,25/11/15,NORMAL,NONE,0,,,,,,,6
137,209,15/11/14,NORMAL,NONE,0,,,,,,,5
138,213,23/02/14,NORMAL,NONE,0,,,,,,,2
139,215,5/03/13,NORMAL,NONE,0,,,,,,,3
140,216,10/09/11,NORMAL,NONE,0,,,,,,,1
141,217,12/06/16,NORMAL,NONE,0,,,,,,,7
142,217,7/06/15,NORMAL,NONE,0,,,,,,,6
143,218,13/03/12,NORMAL,NONE,0,,,,,,,2
144,220,21/11/11,NORMAL,NONE,0,,,,,,,1
145,221,1/03/13,NORMAL,NONE,0,,,,,,,3
146,222,5/03/13,NORMAL,NONE,0,,,,,,,3
147,223,27/11/15,NORMAL,NONE,0,,,,,,,5
148,223,20/11/14,NORMAL,NONE,0,,,,,,,4
149,226,6/09/11,NORMAL,NONE,0,,,,,,,1
150,227,16/09/12,NORMAL,NONE,0,,,,,,,2
151,229,14/09/14,NORMAL,NONE,0,,,,,,,5
152,232,28/03/14,NORMAL,NONE,0,,,,,,,6
153,233,4/03/13,NORMAL,NONE,0,,,,,,,3
154,236,6/09/13,NORMAL,NONE,0,,,,,,,2
155,237,5/09/12,NORMAL,NONE,0,,,,,,,2
156,238,8/09/12,NORMAL,NONE,0,,,,,,,2
157,239,14/02/13,NORMAL,NONE,0,,,,,,,2
158,239,4/09/15,NORMAL,NONE,0,,,,,,,3
159,240,12/09/12,NORMAL,NONE,0,,,,,,,2
160,241,7/11/12,NORMAL,NONE,0,,,,,,,2
161,243,1/03/13,NORMAL,NONE,0,,,,,,,1
162,246,7/09/12,NORMAL,NONE,0,,,,,,,2
163,249,27/10/11,NORMAL,NONE,0,,,,,,,1
164,252,11/09/12,NORMAL,NONE,0,,,,,,,2
165,255,1/09/11,NORMAL,NONE,0,,,,,,,1
166,258,11/03/13,NORMAL,NONE,0,,,,,,,3
167,259,6/03/13,NORMAL,NONE,0,,,,,,,3
168,260,23/03/15,NORMAL,NONE,0,,,,,,,5
169,260,2/03/16,NORMAL,NONE,0,,,,,,,6
170,262,8/03/12,NORMAL,NONE,0,,,,,,,2
171,263,5/03/13,NORMAL,NONE,0,,,,,,,3
172,264,15/06/11,NORMAL,NONE,0,,,,,,,1
173,267,28/03/11,NORMAL,NONE,0,,,,,,,1
174,268,21/02/13,NORMAL,NONE,0,,,,,,,5
175,270,7/03/15,NORMAL,NONE,0,,,,,,,5
176,271,16/03/14,NORMAL,NONE,0,,,,,,,4
177,273,1/03/13,NORMAL,NONE,0,,,,,,,3
178,274,15/03/14,NORMAL,NONE,0,,,,,,,4
179,275,5/03/13,NORMAL,NONE,0,,,,,,,3
180,278,15/03/12,NORMAL,NONE,0,,,,,,,2
181,279,16/03/14,NORMAL,NONE,0,,,,,,,3
182,280,7/09/15,NORMAL,NONE,0,,,,,,,5
183,280,6/09/14,NORMAL,NONE,0,,,,,,,4
184,281,2/09/11,NORMAL,NONE,0,,,,,,,1
185,282,6/06/15,NORMAL,NONE,0,,,,,,,3
186,285,5/09/15,NORMAL,NONE,0,,,,,,,5
187,285,2/09/14,NORMAL,NONE,0,,,,,,,4
