CowKey,Herd,CowExternalKey,LifetimeID,PedigreeNumber,ElectronicID,ElectronicFreq,CowNumber,RemovalDate,BirthDate,BoughtDate,ToCullDate,ToCullReason,LactationNumber,LactNumberEst,BW,BWReliability,Name,Breed,Sire,Dam,DamExternalKey,comment,InitialLactationStatus,InitialDueSire,InitialDueDate,RemovalFate,RemovalReason1,RemovalReason2,RemovalReason3,RemovalComment,StockClass,ABVFat,ABVProtein,ABVMilk,TransferID,PW,PWRel,ExpCalfPW,ExpCalfPWRel,ExpCalfBW,ExpCalfBWRel,WithholdStatus,MilkHoldDate,MeatHoldDate,DCTStatus
10377,1,,1,,982123526377277,,16344,,2016-11-01,,,,,FALSE,,,L16344,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
10378,1,,2,,982123526377690,,129000,,NA,,,,,FALSE,,,L129000,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
10379,1,,3,,982123500492840,,148000,,2014-03-01,,,,,FALSE,,,L148000,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
10380,1,,4,,982123516187241,,153238,,NA,,,,,FALSE,,,L153238,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
10381,1,,5,,982123526377689,,153758,,2015-09-01,,,,,FALSE,,,L153758,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
10382,1,,6,,982123526377412,,163009,,2016-11-01,,,,,FALSE,,,L163009,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
10383,1,,7,,982123526377463,,163010,,2016-11-01,,,,,FALSE,,,L163010,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
10384,1,,8,,982123526377191,,163011,,2016-11-01,,,,,FALSE,,,L163011,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
10385,1,,9,,982123526377390,,163012,,2016-11-01,,,,,FALSE,,,L163012,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
10386,1,,10,,982123526377134,,163013,,2016-11-01,,,,,FALSE,,,L163013,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
10387,1,,11,,982123526377377,,163014,,2016-11-01,,,,,FALSE,,,L163014,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
10388,1,,12,,982123526377422,,163015,,2016-11-01,,,,,FALSE,,,L163015,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
10389,1,,13,,982123526377225,,163016,,2016-11-01,,,,,FALSE,,,L163016,,,,,,,,,,,,,,COW,,,,,,,,,,,,,,
