vreKey,cowKey,vreDate,reason,diagnosis,extra,vetKey,comment
1,8093,24/06/16,PREGD,PREG,LASTSERVICE,,
2,8403,24/06/16,PREGD,PREG,LASTSERVICE,,
3,8906,24/06/16,PREGD,PREG,LASTSERVICE,,
4,7892,24/06/16,PREGD,PREG,LASTSERVICE,,
5,8023,24/06/16,PREGD,PREG,LASTSERVICE,,
6,7967,24/06/16,PREGD,PREG,LASTSERVICE,,
7,7945,24/06/16,PREGD,PREG,LASTSERVICE,,
8,7653,24/06/16,PREGD,PREG,LASTSERVICE,,
9,7893,24/06/16,PREGD,PREG,LASTSERVICE,,
10,8215,24/06/16,PREGD,PREG,LASTSERVICE,,
11,7861,24/06/16,PREGD,PREG,LASTSERVICE,,
12,8385,24/06/16,PREGD,PREG,LASTSERVICE,,
13,8168,24/06/16,PREGD,PREG,LASTSERVICE,,
14,7971,24/06/16,PREGD,PREG,LASTSERVICE,,
15,8032,24/06/16,PREGD,PREG,LASTSERVICE,,
16,7754,24/06/16,PREGD,PREG,LASTSERVICE,,
17,8457,24/06/16,PREGD,PREG,LASTSERVICE,,
18,8025,24/06/16,PREGD,PREG,LASTSERVICE,,
19,9066,24/06/16,PREGD,PREG,LASTSERVICE,,
20,7862,24/06/16,PREGD,PREG,LASTSERVICE,,
21,7838,24/06/16,PREGD,PREG,LASTSERVICE,,
22,7842,24/06/16,PREGD,PREG,LASTSERVICE,,
23,8148,24/06/16,PREGD,PREG,LASTSERVICE,,
24,7833,24/06/16,PREGD,PREG,LASTSERVICE,,
25,8174,24/06/16,PREGD,PREG,LASTSERVICE,,
26,7822,24/06/16,PREGD,PREG,LASTSERVICE,,
27,7826,24/06/16,PREGD,PREG,LASTSERVICE,,
28,7959,24/06/16,PREGD,PREG,LASTSERVICE,,
29,8244,24/06/16,PREGD,PREG,LASTSERVICE,,
30,8211,24/06/16,PREGD,PREG,LASTSERVICE,,
31,8282,24/06/16,PREGD,PREG,LASTSERVICE,,
32,7877,24/06/16,PREGD,PREG,LASTSERVICE,,
33,8268,24/06/16,PREGD,PREG,LASTSERVICE,,
34,8223,24/06/16,PREGD,PREG,LASTSERVICE,,
35,8231,24/06/16,PREGD,PREG,LASTSERVICE,,
36,8021,24/06/16,PREGD,PREG,LASTSERVICE,,
37,7692,24/06/16,PREGD,PREG,LASTSERVICE,,
38,9019,24/06/16,PREGD,PREG,LASTSERVICE,,
39,8149,24/06/16,PREGD,PREG,LASTSERVICE,,
40,9077,24/06/16,PREGD,PREG,LASTSERVICE,,
41,8976,24/06/16,PREGD,PREG,LASTSERVICE,,
42,8405,24/06/16,PREGD,PREG,LASTSERVICE,,
43,8038,24/06/16,PREGD,PREG,LASTSERVICE,,
44,9076,24/06/16,PREGD,PREG,LASTSERVICE,,
45,7840,24/06/16,PREGD,PREG,LASTSERVICE,,
46,7946,24/06/16,PREGD,PREG,LASTSERVICE,,
47,7972,24/06/16,PREGD,PREG,LASTSERVICE,,
48,8045,24/06/16,PREGD,PREG,LASTSERVICE,,
49,8051,24/06/16,PREGD,PREG,LASTSERVICE,,
50,9083,24/06/16,PREGD,PREG,LASTSERVICE,,
51,8307,24/06/16,PREGD,PREG,LASTSERVICE,,
52,8936,24/06/16,PREGD,PREG,LASTSERVICE,,
53,7683,24/06/16,PREGD,PREG,LASTSERVICE,,
54,8448,24/06/16,PREGD,PREG,LASTSERVICE,,
55,8112,24/06/16,PREGD,PREG,LASTSERVICE,,
56,8301,24/06/16,PREGD,PREG,LASTSERVICE,,
57,7816,24/06/16,PREGD,PREG,LASTSERVICE,,
58,8192,24/06/16,PREGD,PREG,LASTSERVICE,,
59,7707,24/06/16,PREGD,PREG,LASTSERVICE,,
60,7914,24/06/16,PREGD,PREG,LASTSERVICE,,
61,7894,24/06/16,PREGD,PREG,LASTSERVICE,,
62,9090,24/06/16,PREGD,PREG,LASTSERVICE,,
63,8181,24/06/16,PREGD,PREG,LASTSERVICE,,
64,8393,24/06/16,PREGD,PREG,LASTSERVICE,,
65,8202,24/06/16,PREGD,PREG,LASTSERVICE,,
66,8070,24/06/16,PREGD,PREG,LASTSERVICE,,
67,7974,24/06/16,PREGD,PREG,LASTSERVICE,,
68,8133,24/06/16,PREGD,PREG,LASTSERVICE,,
69,9015,24/06/16,PREGD,PREG,LASTSERVICE,,
70,8940,24/06/16,PREGD,PREG,LASTSERVICE,,
71,8473,24/06/16,PREGD,PREG,LASTSERVICE,,
72,7913,24/06/16,PREGD,PREG,LASTSERVICE,,
73,8279,24/06/16,PREGD,PREG,LASTSERVICE,,
74,8400,24/06/16,PREGD,PREG,LASTSERVICE,,
75,8462,24/06/16,PREGD,PREG,LASTSERVICE,,
76,8294,24/06/16,PREGD,PREG,LASTSERVICE,,
77,8049,24/06/16,PREGD,PREG,LASTSERVICE,,
78,7898,24/06/16,PREGD,PREG,LASTSERVICE,,
79,7853,24/06/16,PREGD,PREG,LASTSERVICE,,
80,7836,24/06/16,PREGD,PREG,LASTSERVICE,,
81,7865,24/06/16,PREGD,PREG,LASTSERVICE,,
82,8252,24/06/16,PREGD,PREG,LASTSERVICE,,
83,7924,24/06/16,PREGD,PREG,LASTSERVICE,,
84,8085,24/06/16,PREGD,PREG,LASTSERVICE,,
85,8354,24/06/16,PREGD,PREG,LASTSERVICE,,
86,8090,24/06/16,PREGD,PREG,LASTSERVICE,,
