"vreKey","cowKey","vreDate","reason","diagnosis","extra","vetKey","comment"
NA,6407,2017-03-24,NA,"empty",NA,NA,NA
NA,7152,2017-03-24,NA,"empty",NA,NA,NA
NA,6227,2017-03-24,NA,"empty",NA,NA,NA
NA,7495,2017-03-24,NA,"empty",NA,NA,NA
NA,7636,2017-03-24,NA,"empty",NA,NA,NA
NA,6267,2017-03-24,NA,"empty",NA,NA,NA
NA,6570,2017-03-24,NA,"empty",NA,NA,NA
NA,7633,2017-03-24,NA,"empty",NA,NA,NA
NA,7622,2017-03-24,NA,"empty",NA,NA,NA
NA,7265,2017-03-24,NA,"empty",NA,NA,NA
NA,7366,2017-03-24,NA,"empty",NA,NA,NA
NA,5744,2017-03-24,NA,"empty",NA,NA,NA
NA,7061,2017-03-24,NA,"empty",NA,NA,NA
NA,5638,2017-03-24,NA,"empty",NA,NA,NA
NA,7021,2017-03-24,NA,"empty",NA,NA,NA
NA,6698,2017-03-24,NA,"empty",NA,NA,NA
NA,7682,2017-03-24,NA,"empty",NA,NA,NA
NA,7992,2017-03-24,NA,"empty",NA,NA,NA
NA,8994,2017-03-24,NA,"empty",NA,NA,NA
NA,6238,2017-03-24,NA,"empty",NA,NA,NA
NA,5666,2017-03-24,NA,"empty",NA,NA,NA
NA,7730,2017-03-24,NA,"empty",NA,NA,NA
NA,4611,2017-03-24,NA,"empty",NA,NA,NA
NA,7051,2017-03-24,NA,"empty",NA,NA,NA
NA,5662,2017-03-24,NA,"empty",NA,NA,NA
NA,7645,2017-03-24,NA,"empty",NA,NA,NA
NA,7561,2017-03-24,NA,"empty",NA,NA,NA
NA,7074,2017-03-24,NA,"empty",NA,NA,NA
NA,5732,2017-03-24,NA,"empty",NA,NA,NA
NA,6480,2017-03-24,NA,"empty",NA,NA,NA
NA,6936,2017-03-24,NA,"empty",NA,NA,NA
NA,7630,2017-03-24,NA,"empty",NA,NA,NA
NA,7640,2017-03-24,NA,"empty",NA,NA,NA
NA,6499,2017-03-24,NA,"empty",NA,NA,NA
NA,5346,2017-03-24,NA,"empty",NA,NA,NA
NA,6464,2017-03-24,NA,"empty",NA,NA,NA
NA,5715,2017-03-24,NA,"empty",NA,NA,NA
NA,7142,2017-03-24,NA,"empty",NA,NA,NA
NA,7126,2017-03-24,NA,"empty",NA,NA,NA
NA,6990,2017-03-24,NA,"empty",NA,NA,NA
NA,6850,2017-03-24,NA,"empty",NA,NA,NA
NA,7641,2017-03-24,NA,"empty",NA,NA,NA
NA,9009,2017-03-24,NA,"empty",NA,NA,NA
NA,5746,2017-03-24,NA,"empty",NA,NA,NA
NA,7690,2017-03-24,NA,"empty",NA,NA,NA
NA,6845,2017-03-24,NA,"empty",NA,NA,NA
NA,6345,2017-03-24,NA,"empty",NA,NA,NA
NA,7488,2017-03-24,NA,"empty",NA,NA,NA
NA,6423,2017-03-24,NA,"empty",NA,NA,NA
NA,6418,2017-03-24,NA,"empty",NA,NA,NA
NA,5770,2017-03-24,NA,"empty",NA,NA,NA
NA,7178,2017-03-24,NA,"empty",NA,NA,NA
NA,6739,2017-03-24,NA,"empty",NA,NA,NA
NA,9036,2017-03-24,NA,"empty",NA,NA,NA
NA,7800,2017-03-24,NA,"empty",NA,NA,NA
NA,5729,2017-03-24,NA,"empty",NA,NA,NA
NA,7596,2017-03-24,NA,"empty",NA,NA,NA
NA,7638,2017-03-24,NA,"empty",NA,NA,NA
NA,7164,2017-03-24,NA,"empty",NA,NA,NA
NA,7179,2017-03-24,NA,"empty",NA,NA,NA
NA,7141,2017-03-24,NA,"empty",NA,NA,NA
NA,7339,2017-03-24,NA,"empty",NA,NA,NA
NA,8926,2017-03-24,NA,"empty",NA,NA,NA
NA,7101,2017-03-24,NA,"empty",NA,NA,NA
NA,7704,2017-03-24,NA,"empty",NA,NA,NA
NA,9002,2017-03-24,NA,"empty",NA,NA,NA
NA,6343,2017-03-24,NA,"empty",NA,NA,NA
NA,5651,2017-03-24,NA,"empty",NA,NA,NA
NA,7220,2017-03-24,NA,"empty",NA,NA,NA
NA,5852,2017-03-24,NA,"empty",NA,NA,NA
NA,7118,2017-03-24,NA,"empty",NA,NA,NA
NA,7718,2017-03-24,NA,"empty",NA,NA,NA
NA,5749,2017-03-24,NA,"empty",NA,NA,NA
NA,6242,2017-03-24,NA,"empty",NA,NA,NA
NA,7734,2017-03-24,NA,"empty",NA,NA,NA
NA,6947,2017-03-24,NA,"empty",NA,NA,NA
NA,7789,2017-03-24,NA,"empty",NA,NA,NA
NA,7676,2017-03-24,NA,"empty",NA,NA,NA
NA,7273,2017-03-24,NA,"empty",NA,NA,NA
NA,9030,2017-03-24,NA,"empty",NA,NA,NA
NA,6968,2017-03-24,NA,"empty",NA,NA,NA
NA,6384,2017-03-24,NA,"empty",NA,NA,NA
NA,5751,2017-03-24,NA,"empty",NA,NA,NA
NA,7172,2017-03-24,NA,"empty",NA,NA,NA
NA,7006,2017-03-24,NA,"empty",NA,NA,NA
NA,6479,2017-03-24,NA,"empty",NA,NA,NA
NA,7140,2017-03-24,NA,"empty",NA,NA,NA
NA,6919,2017-03-24,NA,"empty",NA,NA,NA
NA,6868,2017-03-24,NA,"empty",NA,NA,NA
NA,5719,2017-03-24,NA,"empty",NA,NA,NA
NA,7328,2017-03-24,NA,"empty",NA,NA,NA
NA,6348,2017-03-24,NA,"empty",NA,NA,NA
NA,6583,2017-03-24,NA,"empty",NA,NA,NA
NA,5740,2017-03-24,NA,"empty",NA,NA,NA
NA,6774,2017-03-24,NA,"empty",NA,NA,NA
NA,8019,2017-03-24,NA,"empty",NA,NA,NA
NA,6949,2017-03-24,NA,"empty",NA,NA,NA
NA,8355,2017-03-24,NA,"empty",NA,NA,NA
NA,7186,2017-03-24,NA,"empty",NA,NA,NA
NA,9026,2017-03-24,NA,"empty",NA,NA,NA
NA,6592,2017-03-24,NA,"empty",NA,NA,NA
NA,8188,2017-03-24,NA,"empty",NA,NA,NA
NA,7053,2017-03-24,NA,"empty",NA,NA,NA
NA,6386,2017-03-24,NA,"empty",NA,NA,NA
NA,5572,2017-03-24,NA,"empty",NA,NA,NA
NA,6688,2017-03-24,NA,"empty",NA,NA,NA
NA,6236,2017-03-24,NA,"empty",NA,NA,NA
NA,7073,2017-03-24,NA,"empty",NA,NA,NA
NA,7781,2017-03-24,NA,"empty",NA,NA,NA
NA,9017,2017-03-24,NA,"empty",NA,NA,NA
NA,6765,2017-03-24,NA,"empty",NA,NA,NA
NA,6256,2017-03-24,NA,"empty",NA,NA,NA
