CalvKey,CowKey,calvDate,calvType,assist,estimated,comment,VF,TechnicianID,ObservedFM,AbortionCause,CalvingEase
1,1, 03/09/11,NORMAL,NONE,0,,,,,,
2,5, 08/03/13,NORMAL,NONE,0,,,,,,
3,6, 23/02/15,NORMAL,NONE,0,,,,,,
4,7, 08/11/12,NORMAL,NONE,0,,,,,,
5,8, 20/11/12,NORMAL,NONE,0,,,,,,
6,10, 28/02/13,NORMAL,NONE,0,,,,,,
7,11, 31/03/11,NORMAL,NONE,0,,,,,,
8,12, 15/03/11,NORMAL,NONE,0,,,,,,
9,13, 17/03/15,NORMAL,NONE,0,,,,,,
10,15, 19/03/15,NORMAL,NONE,0,,,,,,
11,15, 07/03/16,NORMAL,NONE,0,,,,,,
12,16, 26/09/11,NORMAL,NONE,0,,,,,,
13,17, 18/11/14,NORMAL,NONE,0,,,,,,
14,17, 15/09/15,NORMAL,NONE,0,,,,,,
15,21, 01/03/13,NORMAL,NONE,0,,,,,,
16,24, 05/09/12,NORMAL,NONE,0,,,,,,
17,26, 05/03/12,NORMAL,NONE,0,,,,,,
18,29, 25/11/13,NORMAL,NONE,0,,,,,,
19,32, 16/03/11,NORMAL,NONE,0,,,,,,
20,34, 06/09/12,NORMAL,NONE,0,,,,,,
21,35, 05/03/13,NORMAL,NONE,0,,,,,,
22,37, 06/06/13,NORMAL,NONE,0,,,,,,
23,38, 14/11/15,NORMAL,NONE,0,,,,,,
24,38, 03/11/14,NORMAL,NONE,0,,,,,,
25,39, 08/03/13,NORMAL,NONE,0,,,,,,
26,41, 24/10/12,NORMAL,NONE,0,,,,,,
27,45, 30/09/13,NORMAL,NONE,0,,,,,,
28,47, 25/02/13,NORMAL,NONE,0,,,,,,
29,48, 15/06/16,NORMAL,NONE,0,,,,,,
30,48, 05/11/14,NORMAL,NONE,0,,,,,,
31,50, 06/09/15,NORMAL,NONE,0,,,,,,
32,50, 06/09/14,NORMAL,NONE,0,,,,,,
33,53, 10/11/12,NORMAL,NONE,0,,,,,,
34,54, 15/11/12,NORMAL,NONE,0,,,,,,
35,56, 06/03/13,NORMAL,NONE,0,,,,,,
36,59, 10/03/13,NORMAL,NONE,0,,,,,,
37,60, 05/03/13,NORMAL,NONE,0,,,,,,
38,61, 25/11/12,NORMAL,NONE,0,,,,,,
39,63, 29/03/13,NORMAL,NONE,0,,,,,,
40,65, 12/03/13,NORMAL,NONE,0,,,,,,
41,67, 13/06/14,NORMAL,NONE,0,,,,,,
42,74, 25/02/13,NORMAL,NONE,0,,,,,,
43,76, 12/03/13,NORMAL,NONE,0,,,,,,
44,77, 19/03/11,NORMAL,NONE,0,,,,,,
45,79, 11/11/14,NORMAL,NONE,0,,,,,,
46,82, 04/01/13,NORMAL,NONE,0,,,,,,
47,82, 07/09/15,NORMAL,NONE,0,,,,,,
48,84, 01/03/13,NORMAL,NONE,0,,,,,,
49,86, 14/03/15,NORMAL,NONE,0,,,,,,
50,87, 06/11/12,NORMAL,NONE,0,,,,,,
51,89, 31/10/14,NORMAL,NONE,0,,,,,,
52,89, 16/11/15,NORMAL,NONE,0,,,,,,
53,91, 01/03/13,NORMAL,NONE,0,,,,,,
54,94, 22/09/12,NORMAL,NONE,0,,,,,,
55,96, 05/03/13,NORMAL,NONE,0,,,,,,
56,97, 16/03/11,NORMAL,NONE,0,,,,,,
57,99, 01/10/14,NORMAL,NONE,0,,,,,,
58,99, 02/09/15,NORMAL,NONE,0,,,,,,
59,101, 13/06/16,NORMAL,NONE,0,,,,,,
60,101, 08/06/15,NORMAL,NONE,0,,,,,,
61,103, 04/09/14,NORMAL,NONE,0,,,,,,
62,103, 03/09/15,NORMAL,NONE,0,,,,,,
63,104, 07/09/12,NORMAL,NONE,0,,,,,,
64,105, 04/03/13,NORMAL,NONE,0,,,,,,
65,106, 28/02/13,NORMAL,NONE,0,,,,,,
66,107, 20/06/11,NORMAL,NONE,0,,,,,,
67,108, 12/09/13,NORMAL,NONE,0,,,,,,
68,109, 09/09/14,NORMAL,NONE,0,,,,,,
69,109, 05/09/15,NORMAL,NONE,0,,,,,,
70,112, 14/03/13,NORMAL,NONE,0,,,,,,
71,113, 08/02/12,NORMAL,NONE,0,,,,,,
72,114, 07/03/14,NORMAL,NONE,0,,,,,,
73,115, 23/09/15,NORMAL,NONE,0,,,,,,
74,115, 14/11/12,NORMAL,NONE,0,,,,,,
75,116, 23/06/14,NORMAL,NONE,0,,,,,,
76,118, 18/09/12,NORMAL,NONE,0,,,,,,
77,119, 13/09/12,NORMAL,NONE,0,,,,,,
78,121, 05/06/15,NORMAL,NONE,0,,,,,,
79,122, 19/09/12,NORMAL,NONE,0,,,,,,
80,123, 27/06/15,NORMAL,NONE,0,,,,,,
81,124, 17/12/12,NORMAL,NONE,0,,,,,,
82,126, 10/06/14,NORMAL,NONE,0,,,,,,
83,127, 12/06/14,NORMAL,NONE,0,,,,,,
84,128, 16/09/12,NORMAL,NONE,0,,,,,,
85,129, 09/03/14,NORMAL,NONE,0,,,,,,
86,130, 01/09/12,NORMAL,NONE,0,,,,,,
87,132, 17/02/13,NORMAL,NONE,0,,,,,,
88,133, 03/12/12,NORMAL,NONE,0,,,,,,
89,135, 05/03/13,NORMAL,NONE,0,,,,,,
90,136, 05/09/11,NORMAL,NONE,0,,,,,,
91,138, 02/06/14,NORMAL,NONE,0,,,,,,
92,139, 01/11/12,NORMAL,NONE,0,,,,,,
93,141, 13/09/11,NORMAL,NONE,0,,,,,,
94,144, 10/06/14,NORMAL,NONE,0,,,,,,
95,145, 01/11/09,NORMAL,NONE,0,,,,,,
96,147, 01/03/13,NORMAL,NONE,0,,,,,,
97,150, 11/09/12,NORMAL,NONE,0,,,,,,
98,151, 08/09/13,NORMAL,NONE,0,,,,,,
99,152, 07/09/13,NORMAL,NONE,0,,,,,,
100,153, 09/09/12,NORMAL,NONE,0,,,,,,
101,154, 27/03/13,NORMAL,NONE,0,,,,,,
102,155, 04/09/12,NORMAL,NONE,0,,,,,,
103,156, 07/06/12,NORMAL,NONE,0,,,,,,
104,158, 09/06/14,NORMAL,NONE,0,,,,,,
105,160, 01/03/13,NORMAL,NONE,0,,,,,,
106,162, 13/11/14,NORMAL,NONE,0,,,,,,
107,163, 09/04/13,NORMAL,NONE,0,,,,,,
108,164, 12/06/11,NORMAL,NONE,0,,,,,,
109,165, 18/03/11,NORMAL,NONE,0,,,,,,
110,168, 22/03/11,NORMAL,NONE,0,,,,,,
111,169, 28/11/12,NORMAL,NONE,0,,,,,,
112,170, 26/09/11,NORMAL,NONE,0,,,,,,
113,171, 01/04/11,NORMAL,NONE,0,,,,,,
114,173, 06/06/15,NORMAL,NONE,0,,,,,,
115,174, 27/03/13,NORMAL,NONE,0,,,,,,
116,177, 07/06/12,NORMAL,NONE,0,,,,,,
117,178, 11/11/14,NORMAL,NONE,0,,,,,,
118,179, 29/09/11,NORMAL,NONE,0,,,,,,
119,181, 05/03/12,NORMAL,NONE,0,,,,,,
120,182, 12/09/12,NORMAL,NONE,0,,,,,,
121,182, 01/03/16,NORMAL,NONE,0,,,,,,
122,186, 09/06/15,NORMAL,NONE,0,,,,,,
123,186, 06/06/16,NORMAL,NONE,0,,,,,,
124,188, 22/02/13,NORMAL,NONE,0,,,,,,
125,189, 06/11/14,NORMAL,NONE,0,,,,,,
126,191, 01/09/12,NORMAL,NONE,0,,,,,,
127,196, 10/03/14,NORMAL,NONE,0,,,,,,
