doKey,CowKey,doDate,comment,reason
1,1, 19/07/12,,
2,6, 21/04/15,,
3,8, 01/07/13,,
4,11, 16/01/12,,
5,12, 20/03/11,,
6,15, 12/01/16,,
7,17, 20/08/15,,
8,24, 10/05/13,,
9,26, 01/09/12,,
10,32, 03/06/11,,
11,37, 21/04/14,,
12,38, 17/09/15,,
13,39, 09/03/13,,
14,41, 26/10/12,,
15,48, 04/04/16,,
16,50, 14/07/15,,
17,61, 13/07/15,,
18,67, 01/09/13,,
19,77, 14/11/11,,
20,82, 04/02/14,,
21,86, 13/08/15,,
22,89, 17/09/15,,
23,97, 24/03/11,,
24,99, 29/06/15,,
25,101, 04/04/16,,
26,103, 14/07/15,,
27,104, 10/05/13,,
28,107, 10/07/11,,
29,108, 14/07/14,,
30,109, 14/07/15,,
31,113, 15/02/12,,
32,114, 24/09/14,,
33,115, 14/07/15,,
34,121, 22/03/16,,
35,122, 10/05/13,,
36,123, 29/05/16,,
37,124, 01/07/13,,
38,126, 09/12/14,,
39,127, 09/12/14,,
40,136, 16/09/12,,
41,139, 20/08/13,,
42,141, 01/10/11,,
43,144, 13/07/15,,
44,145, 01/11/09,,
45,150, 10/05/13,,
46,151, 03/10/14,,
47,153, 10/05/13,,
48,155, 07/02/13,,
49,158, 13/07/15,,
50,162, 21/04/15,,
51,164, 29/10/12,,
52,165, 22/01/12,,
53,168, 17/07/12,,
54,170, 11/07/12,,
55,171, 16/01/12,,
56,173, 29/09/15,,
57,179, 19/07/12,,
58,181, 31/08/12,,
59,182, 16/09/12,,
60,186, 04/04/16,,
61,189, 20/04/15,,
62,191, 29/05/13,,
63,196, 03/12/14,,
64,199, 10/05/13,,
65,201, 10/05/15,,
66,203, 19/09/11,,
67,206, 26/07/16,,
68,206, 12/01/16,,
69,207, 13/10/12,,
70,209, 20/08/15,,
71,216, 23/08/12,,
72,217, 04/04/16,,
73,220, 19/07/12,,
74,223, 17/09/15,,
75,226, 06/01/12,,
76,229, 03/02/15,,
77,233, 30/08/13,,
78,236, 21/02/14,,
79,237, 10/05/13,,
80,238, 10/05/13,,
81,239, 14/07/15,,
82,240, 10/05/13,,
83,241, 03/04/13,,
84,243, 13/07/15,,
85,246, 10/05/13,,
86,249, 11/09/12,,
87,252, 10/05/13,,
88,255, 11/09/12,,
89,260, 12/01/16,,
90,262, 20/12/12,,
91,264, 16/01/12,,
92,271, 03/12/14,,
93,274, 12/08/14,,
94,278, 26/08/12,,
95,280, 14/07/15,,
96,281, 11/09/12,,
97,285, 14/07/15,,
98,292, 10/05/13,,
99,293, 18/03/12,,
100,294, 23/05/13,,
101,298, 22/11/13,,
102,307, 17/09/15,,
103,309, 12/08/14,,
104,310, 24/09/14,,
105,311, 30/08/13,,
106,314, 26/07/16,,
107,321, 01/09/14,,
108,323, 09/12/14,,
109,325, 20/08/15,,
110,327, 24/09/14,,
111,329, 16/05/12,,
112,332, 03/04/12,,
113,334, 29/08/11,,
114,337, 17/07/12,,
115,348, 12/01/16,,
116,349, 17/09/15,,
117,354, 10/05/13,,
118,356, 24/09/14,,
119,362, 06/04/11,,
120,364, 04/04/16,,
121,371, 11/09/12,,
122,375, 07/11/12,,
123,378, 14/07/15,,
124,379, 20/08/15,,
125,381, 26/07/16,,
126,381, 04/04/16,,
127,385, 17/09/15,,
128,388, 29/06/15,,
129,390, 04/04/16,,
130,393, 22/08/15,,
131,395, 03/12/14,,
132,402, 17/09/15,,
133,403, 24/09/14,,
134,412, 08/07/15,,
135,413, 13/07/15,,
136,420, 10/05/13,,
137,425, 29/06/15,,
138,429, 17/09/15,,
139,431, 19/07/12,,
140,432, 04/04/16,,
141,433, 26/07/12,,
142,435, 20/08/15,,
143,438, 20/12/12,,
144,439, 10/05/13,,
145,440, 17/09/15,,
146,441, 10/05/13,,
147,443, 10/05/13,,
148,448, 25/04/13,,
149,450, 19/07/12,,
150,453, 29/06/15,,
151,457, 03/02/15,,
152,461, 04/04/16,,
153,463, 26/07/16,,
154,463, 14/01/16,,
155,467, 26/07/16,,
156,471, 12/01/16,,
157,472, 03/08/13,,
158,477, 02/10/11,,
159,484, 20/08/15,,
160,489, 01/09/13,,
161,490, 10/05/13,,
162,491, 21/04/15,,
163,493, 14/07/15,,
164,496, 28/10/13,,
165,501, 03/02/15,,
166,507, 10/05/13,,
167,509, 19/07/12,,
168,511, 11/06/13,,
169,512, 26/07/16,,
170,512, 17/09/15,,
171,513, 17/09/15,,
172,515, 10/05/13,,
173,517, 17/09/15,,
174,518, 19/07/12,,
175,519, 21/04/15,,
176,520, 20/08/15,,
177,521, 10/05/13,,
178,522, 05/07/15,,
179,525, 17/09/15,,
180,528, 19/07/12,,
181,529, 15/04/13,,
182,537, 17/01/12,,
183,538, 10/05/13,,
184,543, 14/01/13,,
185,545, 09/05/12,,
186,549, 22/03/16,,
187,550, 25/11/12,,
188,555, 13/07/15,,
189,557, 20/08/15,,
190,558, 10/05/13,,
191,559, 25/12/15,,
192,559, 17/09/15,,
193,561, 03/02/15,,
194,567, 22/03/16,,
195,568, 05/07/15,,
196,569, 09/12/14,,
197,575, 29/05/16,,
198,575, 12/01/16,,
199,578, 20/12/12,,
200,582, 26/07/16,,
201,582, 22/03/16,,
202,585, 27/11/12,,
203,586, 29/05/16,,
204,586, 20/08/15,,
205,589, 03/02/15,,
206,591, 17/09/15,,
207,592, 03/12/14,,
208,596, 10/05/13,,
209,602, 10/05/13,,
210,604, 10/05/13,,
211,611, 04/04/16,,
212,615, 10/05/13,,
213,622, 14/07/15,,
214,623, 03/12/12,,
215,624, 03/08/13,,
216,628, 21/04/12,,
217,630, 16/05/13,,
218,639, 21/04/15,,
219,640, 24/09/14,,
220,641, 16/05/13,,
221,643, 20/08/15,,
222,644, 10/05/13,,
223,663, 17/09/15,,
224,665, 12/08/14,,
225,666, 22/03/16,,
226,675, 10/05/13,,
227,677, 20/08/15,,
228,678, 10/05/13,,
229,684, 24/09/14,,
230,689, 19/09/12,,
231,690, 10/05/13,,
232,694, 05/07/15,,
233,696, 10/05/13,,
234,698, 26/07/16,,
235,699, 09/09/13,,
236,701, 31/08/15,,
237,723, 10/05/13,,
238,728, 02/02/14,,
239,735, 26/02/14,,
240,736, 10/05/13,,
241,738, 04/04/16,,
242,739, 01/09/13,,
243,741, 05/04/16,,
244,745, 13/02/13,,
245,750, 10/05/13,,
246,751, 12/01/16,,
247,752, 18/11/12,,
248,754, 31/03/12,,
249,756, 21/04/15,,
250,757, 16/05/13,,
251,761, 29/06/15,,
252,765, 17/09/15,,
253,767, 20/03/12,,
254,772, 29/06/15,,
255,772, 05/06/15,,
256,773, 14/07/15,,
257,777, 06/12/12,,
258,778, 10/05/13,,
259,781, 14/07/15,,
260,782, 12/08/14,,
261,784, 04/04/16,,
262,799, 10/05/13,,
263,801, 13/07/15,,
264,806, 13/07/15,,
265,807, 24/09/14,,
266,814, 07/11/12,,
267,817, 29/06/15,,
268,821, 20/03/14,,
269,825, 05/07/15,,
270,849, 17/09/15,,
271,854, 14/07/15,,
272,859, 10/05/13,,
273,860, 03/12/14,,
274,861, 13/07/15,,
275,867, 17/09/15,,
276,874, 05/07/15,,
277,876, 03/02/15,,
278,900, 13/07/15,,
279,908, 20/08/15,,
280,911, 13/07/15,,
281,913, 12/08/14,,
282,915, 10/05/13,,
283,919, 24/09/14,,
284,923, 17/09/15,,
285,929, 13/02/13,,
286,930, 04/04/16,,
287,932, 10/05/13,,
288,933, 25/12/15,,
289,933, 14/07/15,,
290,938, 10/05/13,,
291,939, 31/08/15,,
292,944, 12/08/14,,
293,950, 20/12/12,,
294,952, 23/08/12,,
295,953, 26/07/16,,
296,953, 29/06/15,,
297,956, 22/03/16,,
298,958, 17/09/15,,
299,959, 29/06/15,,
300,960, 15/11/12,,
301,966, 21/04/15,,
302,967, 20/04/15,,
303,968, 29/09/15,,
304,970, 23/05/13,,
305,975, 13/07/15,,
306,976, 29/06/15,,
307,983, 26/07/16,,
308,983, 29/06/15,,
309,985, 13/07/15,,
310,986, 21/04/15,,
311,996, 25/04/13,,
312,997, 13/07/15,,
313,1000, 24/09/14,,
314,1010, 20/08/15,,
315,1011, 19/09/12,,
316,1014, 10/05/13,,
317,1015, 24/09/14,,
318,1020, 26/07/16,,
319,1020, 12/01/16,,
320,1022, 17/09/15,,
321,1024, 05/07/15,,
322,1027, 26/07/16,,
323,1027, 14/07/15,,
324,1028, 29/06/15,,
325,1029, 24/09/14,,
326,1033, 04/04/16,,
327,1039, 25/05/13,,
328,1042, 14/07/15,,
329,1047, 04/04/16,,
330,1049, 01/04/12,,
331,1051, 04/04/16,,
332,1055, 10/05/13,,
333,1059, 17/09/15,,
334,1064, 14/07/15,,
335,1067, 12/01/16,,
336,1068, 19/09/12,,
337,1070, 17/09/15,,
338,1071, 10/05/13,,
339,1073, 04/04/16,,
340,1076, 21/04/15,,
341,1081, 29/09/15,,
342,1086, 20/08/15,,
343,1095, 10/05/13,,
344,1097, 14/07/15,,
345,1098, 29/05/16,,
346,1098, 20/08/15,,
347,1102, 10/05/13,,
348,1106, 09/12/14,,
349,1107, 25/04/13,,
350,1108, 03/10/14,,
351,1111, 03/12/14,,
352,1113, 14/07/14,,
353,1116, 04/04/16,,
354,1120, 13/07/15,,
355,1122, 26/07/16,,
356,1122, 17/09/15,,
357,1125, 26/07/16,,
358,1125, 12/01/16,,
359,1126, 17/09/15,,
360,1127, 14/07/15,,
361,1135, 19/09/12,,
362,1137, 15/11/12,,
363,1140, 17/09/15,,
364,1141, 10/05/13,,
365,1142, 17/09/15,,
366,1143, 14/07/15,,
367,1145, 25/04/13,,
368,1146, 05/09/12,,
369,1150, 10/05/13,,
