ServKey,CowKey,servDate,servType,Sire,Technician
1,1, 01/04/12,AI,,
2,6, 01/10/14,AI,,
3,8, 01/04/13,AI,,
4,11, 03/10/11,AI,,
5,12, 01/01/10,AI,,
6,13, 24/09/15,AI,,
7,15, 18/10/15,AI,,
8,16, 01/10/12,AI,,
9,17, 10/06/15,AI,,
10,24, 07/01/13,AI,,
11,26, 01/10/12,AI,,
12,29, 01/06/14,AI,,
13,32, 01/01/10,AI,,
14,34, 15/01/13,AI,,
15,37, 01/01/14,AI,,
16,38, 10/06/15,AI,,
17,39, 09/03/13,AI,,
18,41, 26/10/12,AI,,
19,45, 07/05/14,AI,,
20,48, 18/10/15,AI,,
21,48, 10/06/15,AI,,
22,48, 01/01/16,AI,,
23,50, 01/04/15,AI,,
24,61, 24/07/15,AI,,
25,66, 01/04/12,AI,,
26,67, 01/09/13,AI,,
27,77, 01/06/11,AI,,
28,82, 01/04/15,AI,,
29,86, 13/08/15,AI,,
30,88, 01/01/12,AI,,
31,89, 10/06/15,AI,,
32,93, 01/01/12,AI,,
33,94, 01/04/13,AI,,
34,97, 01/04/11,AI,,
35,99, 01/04/15,AI,,
36,101, 01/01/16,AI,,
37,103, 23/03/16,AI,,
38,103, 01/04/15,AI,,
39,104, 07/01/13,AI,,
40,107, 01/01/10,AI,,
41,108, 30/05/14,AI,,
42,109, 01/04/15,AI,,
43,113, 15/02/12,AI,,
44,114, 24/09/14,AI,,
45,115, 23/03/16,AI,,
46,115, 01/04/15,AI,,
47,118, 01/04/13,AI,,
48,119, 03/04/13,AI,,
49,120, 01/01/12,AI,,
50,121, 01/01/16,AI,,
51,122, 07/01/13,AI,,
52,123, 29/05/16,AI,,
53,123, 01/01/16,AI,,
54,124, 01/07/13,AI,,
55,126, 09/12/14,AI,,
56,127, 09/12/14,AI,,
57,128, 01/04/13,AI,,
58,129, 18/10/15,AI,,
59,129, 10/06/15,AI,,
60,130, 01/04/13,AI,,
61,133, 01/06/13,AI,,
62,136, 01/06/12,AI,,
63,139, 01/04/13,AI,,
64,141, 01/10/11,AI,,
65,142, 01/01/11,AI,,
66,144, 24/07/15,AI,,
67,145, 01/06/09,AI,,
68,150, 07/01/13,AI,,
69,151, 01/06/14,AI,,
70,152, 01/06/14,AI,,
71,153, 07/01/13,AI,,
72,155, 07/02/13,AI,,
73,156, 15/01/13,AI,,
74,158, 24/07/15,AI,,
75,162, 21/04/15,AI,,
76,163, 11/05/14,AI,,
77,164, 01/01/12,AI,,
78,165, 01/01/12,AI,,
79,168, 01/01/12,AI,,
80,170, 11/07/12,AI,,
81,171, 03/10/11,AI,,
82,173, 29/09/15,AI,,
83,177, 15/01/13,AI,,
84,178, 18/10/15,AI,,
85,178, 10/06/15,AI,,
86,178, 01/01/16,AI,,
87,179, 01/04/12,AI,,
88,181, 01/04/12,AI,,
89,182, 16/09/12,AI,,
90,186, 01/01/16,AI,,
91,189, 21/04/15,AI,,
92,190, 01/01/12,AI,,
93,191, 01/04/13,AI,,
94,196, 01/10/14,AI,,
95,198, 01/10/14,AI,,
96,199, 07/01/13,AI,,
97,201, 24/07/15,AI,,
98,203, 01/06/11,AI,,
99,206, 26/07/16,AI,,
100,206, 18/10/15,AI,,
101,207, 13/10/12,AI,,
102,209, 10/06/15,AI,,
103,212, 01/04/12,AI,,
104,216, 01/06/12,AI,,
105,217, 01/01/16,AI,,
106,218, 28/09/12,AI,,
107,220, 01/04/12,AI,,
108,223, 23/03/16,AI,,
109,223, 10/06/15,AI,,
110,226, 01/12/11,AI,,
111,227, 01/04/13,AI,,
112,229, 03/02/15,AI,,
113,233, 30/08/13,AI,,
114,236, 21/02/14,AI,,
115,237, 07/01/13,AI,,
116,238, 07/01/13,AI,,
117,239, 23/03/16,AI,,
118,239, 01/04/15,AI,,
119,240, 07/01/13,AI,,
