vreKey,cowKey,vreDate,reason,diagnosis,extra,vetKey,comment
1,1,20/06/12,PREGD,PREG,LASTSERVICE,,
2,6,21/04/15,PREGD,PREG,LASTSERVICE,,
3,8,20/06/13,PREGD,PREG,LASTSERVICE,,
4,11,19/12/11,PREGD,PREG,LASTSERVICE,,
5,12,1/03/10,PREGD,PREG,LASTSERVICE,,
6,13,24/09/15,PREGD,PREG,LASTSERVICE,,
7,15,22/12/15,PREGD,PREG,LASTSERVICE,,
8,17,20/08/15,PREGD,PREG,LASTSERVICE,,
9,24,23/04/13,PREGD,PREG,LASTSERVICE,,
10,32,1/03/10,PREGD,PREG,LASTSERVICE,,
11,37,21/03/14,PREGD,PREG,LASTSERVICE,,
12,38,21/08/15,PREGD,PREG,LASTSERVICE,,
13,45,7/05/14,PREGD,PREG,LASTSERVICE,,
14,48,22/12/15,PREGD,EMPTY,,,
15,48,21/08/15,PREGD,EMPTY,,,
16,48,21/03/16,PREGD,PREG,LASTSERVICE,,
17,50,18/06/15,PREGD,PREG,LASTSERVICE,,
18,61,24/07/15,PREGD,PREG,LASTSERVICE,,
19,67,1/09/13,PREGD,PREG,LASTSERVICE,,
20,77,1/09/11,PREGD,PREG,LASTSERVICE,,
21,82,18/06/15,PREGD,PREG,LASTSERVICE,,
22,86,13/08/15,PREGD,PREG,LASTSERVICE,,
23,89,21/08/15,PREGD,PREG,LASTSERVICE,,
24,93,20/06/12,PREGD,PREG,LASTSERVICE,,
25,99,18/06/15,PREGD,PREG,LASTSERVICE,,
26,101,21/03/16,PREGD,PREG,LASTSERVICE,,
27,103,23/03/16,PREGD,PREG,LASTSERVICE,,
28,103,18/06/15,PREGD,PREG,LASTSERVICE,,
29,104,23/04/13,PREGD,PREG,LASTSERVICE,,
30,107,1/03/10,PREGD,PREG,LASTSERVICE,,
31,108,19/06/14,PREGD,PREG,LASTSERVICE,,
32,109,18/06/15,PREGD,PREG,LASTSERVICE,,
33,114,24/09/14,PREGD,PREG,LASTSERVICE,,
34,115,23/03/16,PREGD,PREG,LASTSERVICE,,
35,115,18/06/15,PREGD,PREG,LASTSERVICE,,
36,121,21/03/16,PREGD,PREG,LASTSERVICE,,
37,122,23/04/13,PREGD,PREG,LASTSERVICE,,
38,123,29/05/16,PREGD,PREG,LASTSERVICE,,
39,123,21/03/16,PREGD,EMPTY,,,
40,124,1/07/13,PREGD,PREG,LASTSERVICE,,
41,126,9/12/14,PREGD,PREG,LASTSERVICE,,
42,127,9/12/14,PREGD,PREG,LASTSERVICE,,
43,129,22/12/15,PREGD,EMPTY,,,
44,129,18/06/15,PREGD,EMPTY,,,
45,133,21/08/14,PREGD,EMPTY,,,
46,141,1/09/11,PREGD,PREG,LASTSERVICE,,
47,142,1/07/11,PREGD,PREG,LASTSERVICE,,
48,144,24/07/15,PREGD,PREG,LASTSERVICE,,
49,145,1/08/09,PREGD,PREG,LASTSERVICE,,
50,150,23/04/13,PREGD,PREG,LASTSERVICE,,
51,151,18/09/14,PREGD,PREG,LASTSERVICE,,
52,153,23/04/13,PREGD,PREG,LASTSERVICE,,
53,158,24/07/15,PREGD,PREG,LASTSERVICE,,
54,162,21/04/15,PREGD,PREG,LASTSERVICE,,
55,163,11/05/14,PREGD,PREG,LASTSERVICE,,
56,165,21/05/12,PREGD,PREG,LASTSERVICE,,
57,170,11/07/12,PREGD,PREG,LASTSERVICE,,
58,171,19/12/11,PREGD,PREG,LASTSERVICE,,
59,173,29/09/15,PREGD,PREG,LASTSERVICE,,
60,178,22/12/15,PREGD,EMPTY,,,
61,178,21/08/15,PREGD,EMPTY,,,
62,178,21/03/16,PREGD,EMPTY,,,
63,179,20/06/12,PREGD,PREG,LASTSERVICE,,
64,186,21/03/16,PREGD,PREG,LASTSERVICE,,
65,189,21/04/15,PREGD,PREG,LASTSERVICE,,
66,196,3/12/14,PREGD,PREG,LASTSERVICE,,
67,199,23/04/13,PREGD,PREG,LASTSERVICE,,
68,201,24/07/15,PREGD,PREG,LASTSERVICE,,
69,206,26/07/16,PREGD,PREG,LASTSERVICE,,
70,206,22/12/15,PREGD,PREG,LASTSERVICE,,
71,209,23/09/15,PREGD,PREG,LASTSERVICE,,
72,209,20/08/15,PREGD,PREG,LASTSERVICE,,
73,216,23/08/12,PREGD,PREG,LASTSERVICE,,
74,217,21/03/16,PREGD,PREG,LASTSERVICE,,
75,218,19/06/14,PREGD,PREG,LASTSERVICE,,
76,220,20/06/12,PREGD,PREG,LASTSERVICE,,
