CalvKey,CowKey,calvDate,calvType,assist,estimated,comment,VF,ObservedFM,AbortionCause,CalvingEase
1,193,20/08/1997,NORMAL,,0,,,,,
2,194,9/08/1997,NORMAL,,0,,,,,
3,195,4/09/1996,NORMAL,,0,,,,,
4,196,13/08/1997,NORMAL,,0,,,,,
5,197,13/08/1996,NORMAL,,0,,,,,
6,199,23/08/1997,NORMAL,,0,,,,,
7,200,21/08/1995,NORMAL,,0,,,,,
8,201,24/09/1996,NORMAL,,0,,,,,
9,202,23/09/1997,NORMAL,,0,,,,,
10,203,14/08/1997,NORMAL,,0,,,,,
11,204,9/08/1997,NORMAL,,0,,,,,
12,205,11/08/1997,NORMAL,,0,,,,,
13,206,6/09/1996,NORMAL,,0,,,,,
14,207,31/08/1997,NORMAL,,0,,,,,
15,208,4/08/1997,INDUCE,,0,,,,,
16,209,7/08/1997,NORMAL,,0,,,,,
17,210,6/08/1997,NORMAL,,0,,,,,
18,211,3/08/1997,NORMAL,,0,,,,,
19,212,5/08/1997,NORMAL,,0,,,,,
20,213,26/09/1997,INDUCE,,0,,,,,
21,214,4/08/1997,INDUCE,,0,,,,,
22,215,6/09/1997,NORMAL,,0,,,,,
23,216,11/08/1997,NORMAL,,0,,,,,
24,217,10/08/1997,NORMAL,,0,,,,,
25,218,4/08/1997,INDUCE,,0,,,,,
26,219,28/08/1996,NORMAL,,0,,,,,
27,220,2/08/1997,NORMAL,,0,,,,,
28,221,3/08/1997,NORMAL,,0,,,,,
29,222,21/08/1995,NORMAL,,0,,,,,
30,223,12/09/1997,INDUCE,,0,,,,,
31,224,24/08/1997,NORMAL,,0,,,,,
32,225,5/08/1997,NORMAL,,0,,,,,
33,226,13/09/1996,INDUCE,,0,,,,,
34,227,4/08/1997,NORMAL,,0,,,,,
35,228,31/08/1997,NORMAL,,0,,,,,
36,229,11/08/1996,PREM,,0,,,,,
37,230,26/08/1995,NORMAL,,0,,,,,
38,231,27/08/1997,NORMAL,,0,,,,,
39,232,17/08/1996,NORMAL,MINOR,0,,,,,
40,233,11/09/1997,NORMAL,,0,,,,,
41,234,10/09/1997,INDUCE,,0,,,,,
42,235,19/10/1995,NORMAL,,0,,,,,
43,236,6/08/1997,NORMAL,,0,,,,,
44,237,8/08/1997,NORMAL,,0,,,,,
45,238,9/08/1997,NORMAL,,0,,,,,
46,239,12/09/1996,NORMAL,,0,,,,,
47,240,3/08/1997,NORMAL,,0,,,,,
48,241,4/09/1997,NORMAL,,0,,,,,
49,242,4/09/1996,INDUCE,,0,,,,,
50,243,30/08/1997,NORMAL,,0,,,,,
51,244,11/08/1997,NORMAL,,0,,,,,
52,245,22/08/1996,NORMAL,,0,,,,,
53,246,22/08/1997,NORMAL,,0,,,,,
54,247,18/08/1996,NORMAL,,0,,,,,
55,248,31/07/1997,NORMAL,,0,,,,,
56,249,15/08/1997,NORMAL,,0,,,,,
