CowKey,Herd,CowExternalKey,LifetimeID,PedigreeNumber,ElectronicID,RemovalDate,BirthDate,BoughtDate,ToCullDate,LactationNumber,LactNumberEst,BW,BWReliability,Name,Breed,Sire,Dam,DamExternalKey,comment,InitialLactationStatus,InitialDueSire,InitialDueDate,RemovalFate,RemovalReason1,RemovalReason2,RemovalReason3,RemovalComment,StockClass,ABVFat,ABVProtein,ABVMilk,TransferID,PW,CowNumber,PWRel,ExpCalfPW,ExpCalfPWRel
1,2669680,12761257,XVX-95-64,,,2/06/1996,30/08/1995,,,,FALSE,37,33,,F8 J4,63684,XVX-89-27        ,8127111,,,,,SOLD,,,,,CALF,,,,,,85064,,,
2,2669680,12761254,XVX-95-57,,,5/03/1997,27/08/1995,,,,FALSE,24,34,,F,63684,XVX-88-43        ,8127201,,,,,SOLD,,,,,CALF,,,,,,85057,,,
3,2669680,12761259,XVX-95-20,,,5/03/1997,17/08/1995,,,,FALSE,17,38,,F,63622,XVX-91-28        ,9637464,,,,,SOLD,,,,,CALF,,,,,,85020,,,
4,2669680,12761261,XVX-95-35,,,5/03/1997,22/08/1995,,,,FALSE,24,36,,F,662224,XVX-90-38        ,8882607,,,,,SOLD,,,,,CALF,,,,,,85035,,,
5,2669680,12761262,XVX-95-74,,,2/06/1996,2/09/1995,,,,FALSE,41,34,,F,63895,XVX-89-33        ,8170652,,,,,SOLD,,,,,CALF,,,,,,85074,,,
6,2669680,13316433,XVX-95-39,,,5/03/1997,24/08/1995,,,,FALSE,25,37,,F13J1,63895,XVX-92-28        ,10489332,,,,,SOLD,,,,,CALF,,,,,,85039,,,
7,2669680,13191971,HHTV-95-34,,,5/03/1997,27/07/1995,,,,FALSE,27,14,,F8,,CQGL-87-87       ,6238249,,,,,SOLD,,,,,CALF,,,,,,85034,,,
8,2669680,13455849,FCLQ-95-34,,,5/03/1997,1/08/1995,,,,FALSE,38,0,,F,,,,,,,,SOLD,,,,,CALF,,,,,,75034,,,
9,2669680,13992635,JKRP-96-77,,,16/09/1997,24/09/1996,,,,FALSE,34,33,,F,662224,XVX-88-20        ,8127162,,,,,SOLD,,,,,CALF,,,,,,96077,,,
10,2669680,13992636,JKRP-96-47,,,,26/08/1996,,,2,FALSE,54,47,,F8 J4,662991,XVX-89-38        ,8127147,,,,,,,,,,COW,,,,,80.6,153,61.9,106.2,16.9
