"ProdKey","CowKey","testDate","LTDDate","HTFatPC","HTProtPC","HTLitreAM","HTLitrePM","HTLitreTot","LtdLitre","LtdFatKg","LtdProtKg","SCC","LW","LWRel","PayPW","PayPWRel","AbCode","Assessed","Withheld","comment","LtdDays","LtdVol305","LtdVolEx","LtdFatKg305","LtdFatKgEx","LtdProtKg305","LtdProtKgEx"
1,70,"15/09/1998","30/09/1998",0.0492,0.0365,6.5,8.5,15,780,38.38,28.47,286,44.4,,29.3,36.7,0,"0","","",52,,,,,,
2,71,"15/09/1998","30/09/1998",0.0302,0.0304,6.8,5.3,12.1,568.7,17.17,17.29,48,-149.2,,-26.3,36.3,0,"0","","",47,,,,,,
3,204,"15/09/1998","30/09/1998",0.0529,0.033,12.1,8.5,20.6,1153.6,61.03,38.07,40,112.7,,74.2,74.9,0,"0","","",56,,,,,,
4,205,"15/09/1998","30/09/1998",0.0426,0.0295,16.5,12.1,28.6,1487.2,63.35,43.87,16,63.6,,49.1,76.6,0,"0","","",52,,,,,,
5,207,"15/09/1998","30/09/1998",0.0325,0.0295,15.5,7.9,23.4,5572.4,246.21,213.7,17,47.6,,44.1,46.3,0,"0","","",380,,,,,,
6,208,"15/09/1998","30/09/1998",0.0429,0.0287,16.5,13.5,30,1590,68.21,45.63,16,74.9,,24.1,62.3,0,"0","","",53,,,,,,
7,209,"15/09/1998","30/09/1998",0.0382,0.0302,17.8,10.3,28.1,1264.5,48.3,38.19,18,35.1,,49.4,76.3,0,"0","","",45,,,,,,
8,210,"15/09/1998","30/09/1998",0.0548,0.035,4.4,9.7,14.1,4800.2,275.3,193.56,86,48.1,,35.5,72.1,3,"0","","",285,,,,,,
9,211,"15/09/1998","30/09/1998",0.0491,0.0319,14.2,7.6,21.8,1351.6,66.36,43.12,19,-15.7,,-4.6,74.6,0,"0","","",62,,,,,,
10,212,"15/09/1998","30/09/1998",0.0459,0.0312,12.3,7.7,20,1240,56.92,38.69,24,33.3,,-0.5,75.3,0,"0","","",62,,,,,,
11,216,"15/09/1998","30/09/1998",0.0443,0.0302,14.6,9.6,24.2,1137.4,50.39,34.35,27,-31.7,,-4.3,70.7,0,"0","","",47,,,,,,
12,217,"15/09/1998","30/09/1998",0.0386,0.0297,12.1,11.4,23.5,1269,48.98,37.69,119,-81.4,,-28.6,64.5,0,"0","","",54,,,,,,
13,218,"15/09/1998","30/09/1998",0.06,0.0436,13.7,8.2,21.9,6835.5,395.41,305.86,319,142.2,,102.2,62.3,0,"0","","",407,,,,,,
14,221,"15/09/1998","30/09/1998",0.0522,0.0394,15.3,9.3,24.6,4751,336.73,245.46,67,122.1,,80.5,49.5,0,"0","","",408,,,,,,
15,224,"15/09/1998","30/09/1998",0.0494,0.0326,17.1,9.1,26.2,5637.1,388.4,269.38,17,193.8,,85.9,73.5,0,"0","","",387,,,,,,
16,225,"15/09/1998","30/09/1998",0.0393,0.0326,14.2,8.3,22.5,1035,40.68,33.74,143,-31.7,,14.5,75.9,0,"0","","",46,,,,,,
17,227,"15/09/1998","30/09/1998",0.0444,0.0338,13.6,8.6,22.2,1132.2,50.27,38.27,30,108.3,,88.6,56.5,0,"0","","",51,,,,,,
18,228,"15/09/1998","30/09/1998",0.0465,0.0339,8.8,11.3,20.1,1065.3,49.54,36.11,29,66.3,,75.3,57,0,"0","","",53,,,,,,
19,627,"15/09/1998","30/09/1998",0.0449,0.0303,18.9,15.1,34,1700,76.33,51.51,20,158.6,,37.3,77,0,"0","","",50,,,,,,
20,233,"15/09/1998","30/09/1998",0.0454,0.0311,14.6,8.4,23,6758.4,384.21,262.99,11,127.2,,84.3,62.3,0,"0","","",369,,,,,,
21,236,"15/09/1998","30/09/1998",0.0569,0.0486,6.8,5,11.8,5209.3,353.64,244.71,897,75.2,,25.8,75.2,0,"0","","",405,,,,,,
22,237,"15/09/1998","30/09/1998",0.0464,0.034,15,7,22,7767.5,397.31,322.08,49,136.4,,97.3,72.8,0,"0","","",403,,,,,,
23,240,"15/09/1998","30/09/1998",0.041,0.0305,14.5,9.1,23.6,1085.6,44.51,33.11,39,40.2,,77.8,56.2,0,"0","","",46,,,,,,
24,241,"15/09/1998","30/09/1998",0.0419,0.0316,15.9,10.3,26.2,4550,247.83,176.27,16,-96.1,,-7.3,51,0,"0","","",376,,,,,,
25,244,"15/09/1998","30/09/1998",0.0364,0.0352,9.9,7.4,17.3,4953.1,266.29,226.27,36,-58.9,,20.3,62.5,0,"0","","",400,,,,,,
26,246,"15/09/1998","30/09/1998",0.0386,0.0309,14,10,24,1392,53.73,43.01,10,102.5,,85.7,55.1,0,"0","","",58,,,,,,
27,249,"15/09/1998","30/09/1998",0.0333,0.0313,14.9,16.8,31.7,1711.8,57,53.58,21,82.3,,29.1,70.1,0,"0","","",54,,,,,,
28,250,"15/09/1998","30/09/1998",0.0501,0.0345,13.6,8.9,22.5,6407.9,361.52,257.8,199,93.1,,66,73.8,0,"0","","",360,,,,,,
29,251,"15/09/1998","30/09/1998",0.0519,0.0281,15.7,10.7,26.4,1293.6,67.14,36.35,19,38.8,,12.5,71.1,0,"0","","",49,,,,,,
30,252,"15/09/1998","30/09/1998",0.0351,0.028,17.2,11.5,28.7,6698.1,392.2,279.83,13,64.4,,37.1,68.6,0,"0","","",391,,,,,,
31,253,"15/09/1998","30/09/1998",0.0426,0.0256,18.7,11.8,30.5,1616.5,68.86,41.38,19,-14.2,,4.1,74,0,"0","","",53,,,,,,
32,256,"15/09/1998","30/09/1998",0.0445,0.0333,17.2,11.5,28.7,6906.8,387.17,299.14,33,61.1,,42.1,61.6,0,"0","","",403,,,,,,
33,258,"15/09/1998","30/09/1998",0.0469,0.0309,14.6,13.9,28.5,6455.8,255.29,199.32,24,-31,,10.2,73.1,3,"0","","",277,,,,,,
34,260,"15/09/1998","30/09/1998",0.0462,0.0322,15.1,12.5,27.6,1324.8,61.21,42.66,20,228.2,,120.5,53,0,"0","","",48,,,,,,
35,261,"15/09/1998","30/09/1998",0.0416,0.0326,14.3,10.2,24.5,1274,53,41.53,14,43.3,,74.4,74.2,0,"0","","",52,,,,,,
36,262,"15/09/1998","30/09/1998",0.0551,0.0399,18,10.9,28.9,6518.8,399.19,324.8,24,87.5,,78.3,67,0,"0","","",406,,,,,,
37,263,"15/09/1998","30/09/1998",0.0483,0.0345,12.9,10,22.9,6822.1,312.15,283.33,308,-2.4,,32.9,62.5,0,"0","","",402,,,,,,
38,54,"15/09/1998","30/09/1998",0.0462,0.0328,13.1,8.4,21.5,1397.5,64.56,45.84,123,203.9,,93.9,37,0,"0","","",65,,,,,,
39,265,"15/09/1998","30/09/1998",0.0261,0.0313,15.4,5.9,21.3,1256.7,32.8,39.33,17,-61.8,,54,75,0,"0","","",59,,,,,,
40,266,"15/09/1998","30/09/1998",0.0355,0.0296,19.5,14.3,33.8,1994.2,70.79,59.03,44,97.9,,45.3,74.6,0,"0","","",59,,,,,,
41,267,"15/09/1998","30/09/1998",0.0609,0.0406,18.1,10.6,28.7,6442.6,385.21,295.14,69,-48.3,,14.1,69,0,"0","","",393,,,,,,
42,15,"15/09/1998","30/09/1998",0.0496,0.0283,12.7,6.9,19.6,1038.8,51.52,29.4,27,63.8,,57.1,35.5,0,"0","","",53,,,,,,
43,273,"15/09/1998","30/09/1998",0.046,0.031,15.1,9.5,24.6,5054.9,329.1,226.63,66,46.8,,38.6,49.4,0,"0","","",408,,,,,,
44,275,"15/09/1998","30/09/1998",0.0494,0.0321,15.3,10.5,25.8,6073,353.6,251.67,25,32.9,,56.2,61.6,0,"0","","",374,,,,,,
45,276,"15/09/1998","30/09/1998",0.0389,0.0309,18.5,9.7,28.2,1466.4,57.04,45.31,95,91.1,,56.8,76,0,"0","","",52,,,,,,
46,277,"15/09/1998","30/09/1998",0.0498,0.0358,14.7,8.1,22.8,1322.4,65.86,47.34,18,128.5,,81.2,75.1,0,"0","","",58,,,,,,
47,278,"15/09/1998","30/09/1998",0.0483,0.0316,14,9.5,23.5,1245.5,60.16,39.36,13,-3.4,,-0.9,76.7,0,"0","","",53,,,,,,
48,279,"15/09/1998","30/09/1998",0.0434,0.0289,15.3,11.5,26.8,1474,63.97,42.6,17,1.9,,-8.6,70.7,0,"0","","",55,,,,,,
49,44,"15/09/1998","30/09/1998",0.0423,0.0304,13.3,7.1,20.4,1244.4,52.64,37.83,20,111.9,,73.6,36.6,0,"0","","",61,,,,,,
50,283,"15/09/1998","30/09/1998",0.0579,0.0378,14.4,10.3,24.7,7430.2,453.59,307.95,184,210.3,,114.5,62.1,0,"0","","",380,,,,,,
51,284,"15/09/1998","30/09/1998",0.0568,0.0308,14.1,12.1,26.2,4925.9,378.74,236.68,24,-74.5,,-29,65.8,0,"0","","",404,,,,,,
52,285,"15/09/1998","30/09/1998",0.0579,0.0366,10.6,8.3,18.9,5605.1,360.74,254.05,612,59.1,,66.7,75.5,0,"0","","",405,,,,,,
53,286,"15/09/1998","30/09/1998",0.0523,0.0327,11.1,7.4,18.5,1091.5,57.09,35.69,37,-71.4,,-22.4,70.5,0,"0","","",59,,,,,,
54,287,"15/09/1998","30/09/1998",0.0456,0.0306,12.8,9.6,22.4,1321.6,60.26,40.44,13,-52.7,,-37.6,65.5,0,"0","","",59,,,,,,
55,291,"15/09/1998","30/09/1998",0.0482,0.0352,12.8,11.7,24.5,1445.5,69.67,50.88,21,79.3,,27.4,76.2,0,"0","","",59,,,,,,
56,293,"15/09/1998","30/09/1998",0.0321,0.0296,17.8,10.9,28.7,6087.4,309.43,253.42,14,156.2,,90.6,50.8,0,"0","","",383,,,,,,
57,294,"15/09/1998","30/09/1998",0.0483,0.0337,15.3,9,24.3,1385.1,66.9,46.68,10,116.3,,76.5,65.4,0,"0","","",57,,,,,,
58,295,"15/09/1998","30/09/1998",0.0584,0.035,16.4,11.6,28,1596,93.21,55.86,30,212,,61.2,76.1,0,"0","","",57,,,,,,
59,296,"15/09/1998","30/09/1998",0.0589,0.0388,15.3,9,24.3,6405.9,402.12,305.52,34,45.7,,51.1,75.7,0,"0","","",391,,,,,,
60,297,"15/09/1998","30/09/1998",0.0447,0.0319,13.1,9.9,23,1334,59.63,42.55,20,1.2,,13.8,74.3,0,"0","","",58,,,,,,
61,628,"15/09/1998","30/09/1998",0.0499,0.0307,16.8,12,28.8,5238.1,366.77,234.92,26,76.5,,29.3,75.3,0,"0","","",369,,,,,,
62,300,"15/09/1998","30/09/1998",0.0405,0.0312,13.1,11.4,24.5,1421,57.55,44.34,11,38,,45.5,65.3,0,"0","","",58,,,,,,
63,301,"15/09/1998","30/09/1998",0.0469,0.0318,15.3,10.1,25.4,1270,59.56,40.39,47,56.7,,21.4,74.5,0,"0","","",50,,,,,,
64,302,"15/09/1998","30/09/1998",0.0457,0.0373,14.9,9.1,24,6832.7,375.86,316.3,3642,101.8,,81.7,61.7,0,"0","","",399,,,,,,
